r,m,p_A,p_B,m_A,m_B
1e-06,0.0,5e-06,5.000000000000001e-07,0.0,0.0
0.001001,1.3715193813361775e-12,4.999999627348208e-06,4.999999366206785e-07,1.170904004816595e-12,2.0061537651958265e-13
0.002001,1.0955720965773538e-11,4.999998719479802e-06,4.999997822135626e-07,9.353201730669402e-12,1.6025192351041375e-12
0.003001,3.695707910856847e-11,4.999997213322791e-06,4.999995260515511e-07,3.155127913914351e-11,5.405799969424966e-12
0.004001,8.758006140144696e-11,4.999995106119907e-06,4.999991676656372e-07,7.476951542829359e-11,1.281054597315337e-11
0.005001,1.7102912529996372e-10,4.999992397395104e-06,4.999987069747717e-07,1.4601227966000307e-10,2.501684563996065e-11
0.006001,2.9550871474620425e-10,4.999989087014712e-06,4.999981439561111e-07,2.522839273826861e-10,4.322478736351811e-11
0.007001,4.692232567913302e-10,4.999985174930233e-06,4.99997478601274e-07,4.0058879725383315e-10,6.863445953749705e-11
0.008001000000000001,7.003771582181152e-10,4.999980661121309e-06,4.999967109066404e-07,5.979312076625464e-10,1.0244595055556877e-10
0.009001000000000002,9.971748021634926e-10,4.999975545578808e-06,4.999958408704751e-07,8.51315453352088e-10,1.4585934881140458e-10
0.010001000000000003,1.3678205447411222e-09,4.999969828298755e-06,4.999948684918961e-07,1.1677458020424466e-09,2.0007474269867578e-10
0.011001000000000004,1.8205187116639812e-09,4.999963509279832e-06,4.999937937704489e-07,1.5542264910529277e-09,2.6629222061105365e-10
0.012001000000000005,2.36347359486698e-09,4.999956588522239e-06,4.99992616705913e-07,2.0177617239247707e-09,3.4571187094220953e-10
0.013001000000000006,3.00488944912961e-09,4.999949066027129e-06,4.999913372982056e-07,2.5653556670437957e-09,4.395337820858147e-10
0.014001000000000006,3.752970488698623e-09,4.999940941796306e-06,4.999899555473307e-07,3.204012446263083e-09,5.489580424355406e-10
0.015001000000000007,4.615920883910746e-09,4.999932215832065e-06,4.999884714533513e-07,3.9407361435256886e-09,6.751847403850583e-10
0.01600100000000001,5.601944757815437e-09,4.999922888137087e-06,4.999868850163719e-07,4.782530793487399e-09,8.194139643280393e-10
0.01700100000000001,6.719246182797682e-09,4.999912958714387e-06,4.999851962365292e-07,5.736400380139528e-09,9.828458026581547e-10
0.01800100000000001,7.976029177200832e-09,4.999902427567268e-06,4.999834051139856e-07,6.809348833431757e-09,1.166680343769076e-09
0.01900100000000001,9.380497701949501e-09,4.999891294699306e-06,4.999815116489246e-07,8.008380025895028e-09,1.3721176760544744e-09
0.020001000000000012,1.0940855657172498e-08,4.99987956011433e-06,4.999795158415489e-07,9.340497769264478e-09,1.6003578879080213e-09
0.021001000000000013,1.2665306878825824e-08,4.999867223816407e-06,4.999774176920781e-07,1.0812705811102438e-08,1.8526010677233878e-09
0.022001000000000014,1.4562055135315725e-08,4.999854285809844e-06,4.999752172007473e-07,1.2432007831421482e-08,2.1300473038942452e-09
0.023001000000000014,1.6639304124121805e-08,4.999840746099174e-06,4.999729143678065e-07,1.4205407439307541e-08,2.433896684814265e-09
0.024001000000000015,1.890525746842019e-08,4.999826604689157e-06,4.999705091935196e-07,1.6139908169543076e-08,2.7653492988771184e-09
0.025001000000000016,2.1368118713706786e-08,4.999811861584775e-06,4.999680016781647e-07,1.824251347923031e-08,3.125605234476477e-09
0.026001000000000017,2.4036091324420567e-08,4.999796516791231e-06,4.999653918220326e-07,2.052022674441456e-08,3.5158645800060116e-09
0.027001000000000018,2.6917378680566975e-08,4.999780570313946e-06,4.999626796254273e-07,2.2980051256707586e-08,3.937327423859394e-09
0.02800100000000002,3.002018407434137e-08,4.999764022158562e-06,4.99959865088666e-07,2.5628990219911075e-08,4.391193854430295e-09
0.02900100000000002,3.335271070675254e-08,4.9997468723309345e-06,4.999569482120782e-07,2.847404674664016e-08,4.878663960112386e-09
0.03000100000000002,3.6923161684246365e-08,4.999729120837137e-06,4.99953928996006e-07,3.152222385494703e-08,5.400937829299339e-09
0.03100100000000002,4.073974001532947e-08,4.999710767683461e-06,4.99950807440804e-07,3.4780524464944656e-08,5.959215550384825e-09
0.03200100000000002,4.481064860719305e-08,4.99969181287641e-06,4.999475835468396e-07,3.8255951395430545e-08,6.554697211762514e-09
0.03300100000000002,4.9144090262336694e-08,4.999672256422703e-06,4.99944257314492e-07,4.195550736051062e-08,7.188582901826079e-09
0.034001000000000024,5.3748267675192404e-08,4.999652098329277e-06,4.99940828744153e-07,4.588619496622322e-08,7.86207270896919e-09
0.035001000000000025,5.863138342874864e-08,4.999631338603279e-06,4.999372978362267e-07,5.0055016707163124e-08,8.57636672158552e-09
0.036001000000000026,6.380163999117447e-08,4.999609977252076e-06,4.999336645911292e-07,5.446897496310573e-08,9.332665028068739e-09
0.03700100000000003,6.926723971244386e-08,4.999588014283243e-06,4.99929929009289e-07,5.913507199563134e-08,1.0132167716812519e-08
0.03800100000000003,7.503638482096002e-08,4.999565449704575e-06,4.99926091091147e-07,6.406030994474949e-08,1.097607487621053e-08
0.03900100000000003,8.11172774201799e-08,4.999542283524076e-06,4.999221508371558e-07,6.925169082552346e-08,1.1865586594656444e-08
0.04000100000000003,8.751811948523878e-08,4.999518515749968e-06,4.999181082477805e-07,7.471621652469486e-08,1.2801902960543933e-08
0.04100100000000003,9.424711285957497e-08,4.9994941463906845e-06,4.999139633234985e-07,8.04608887973083e-08,1.3786224062266668e-08
0.04200100000000003,1.013124592515546e-07,4.999469175454874e-06,4.999097160647989e-07,8.649270926333628e-08,1.481974998821832e-08
0.04300100000000003,1.0872236023109659e-07,4.999443602951399e-06,4.999053664721833e-07,9.281867940430403e-08,1.590368082679256e-08
0.04400100000000003,1.1648501722629773e-07,4.999417428889333e-06,4.999009145461654e-07,9.944580055991466e-08,1.703921666638306e-08
0.045001000000000034,1.246086315200578e-07,4.999390653277967e-06,4.998963602872707e-07,1.0638107392467432e-07,1.8227557595383493e-08
0.046001000000000035,1.3310140424670502e-07,4.999363276126804e-06,4.998917036960372e-07,1.1363150054451749e-07,1.9469903702187525e-08
0.047001000000000036,1.4197153638862132e-07,4.999335297445561e-06,4.998869447730149e-07,1.2120408131343248e-07,2.076745507518883e-08
0.04800100000000004,1.5122722877286803e-07,4.999306717244167e-06,4.998820835187658e-07,1.2910581697008694e-07,2.2121411802781083e-08
0.04900100000000004,1.6087668206781163e-07,4.999277535532766e-06,4.998771199338643e-07,1.3734370809445366e-07,2.353297397335795e-08
0.05000100000000004,1.7092809677974953e-07,4.999247752321716e-06,4.998720540188965e-07,1.4592475510443643e-07,2.5003341675313106e-08
0.05100100000000004,1.8138967324953613e-07,4.999217367621588e-06,4.998668857744609e-07,1.5485595825249592e-07,2.6533714997040222e-08
0.05200100000000004,1.9226961164920896e-07,4.999186381443166e-06,4.998616152011681e-07,1.64144317622276e-07,2.8125294026932967e-08
0.05300100000000004,2.03576111978615e-07,4.999154793797448e-06,4.998562422996406e-07,1.7379683312523e-07,2.9779278853385014e-08
0.05400100000000004,2.1531737406203704e-07,4.999122604695646e-06,4.998507670705132e-07,1.8382050449724703e-07,3.149686956479003e-08
0.05500100000000004,2.2750159754482045e-07,4.9990898141491835e-06,4.998451895144326e-07,1.9422233129527877e-07,3.327926624954169e-08
0.056001000000000044,2.4013698188999984e-07,4.9990564221697e-06,4.998395096320579e-07,2.0500931289396617e-07,3.512766899603367e-08
0.057001000000000045,2.53231726374926e-07,4.999022428769048e-06,4.998337274240601e-07,2.1618844848226637e-07,3.704327789265963e-08
0.058001000000000046,2.6679403008789304e-07,4.998987833959291e-06,4.998278428911222e-07,2.2776673706007979e-07,3.9027293027813253e-08
0.059001000000000046,2.808320919247656e-07,4.998952637752709e-06,4.998218560339395e-07,2.397511774348774e-07,4.1080914489888203e-08
0.06000100000000005,2.953541105856064e-07,4.998916840161793e-06,4.998157668532192e-07,2.521487682183282e-07,4.3205342367278156e-08
0.06100100000000005,3.103682845713036e-07,4.9988804411992495e-06,4.998095753496808e-07,2.649665078229268e-07,4.540177674837678e-08
0.06200100000000005,3.25882812180199e-07,4.998843440877996e-06,4.998032815240557e-07,2.782113944586212e-07,4.7671417721577754e-08
