r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0001,1e-05,0.0,0.0,9.639001000000098
0.001001,2.4242594698375546e-12,9.999999795235917e-05,9.99999981208081e-06,2.2236440933179715e-12,2.0061537651958265e-13,9.639001000000098
0.002001,1.936502816157962e-11,9.999999263545684e-05,9.999999324130008e-06,1.776250892647548e-11,1.6025192351041375e-12,9.639001000000098
0.003001,6.532431283412245e-11,9.999998380200834e-05,9.999998513453406e-06,5.991851286469747e-11,5.405799969424966e-12,9.639001000000098
0.004001,1.5480411933287382e-10,9.999997144120156e-05,9.999997379058726e-06,1.4199357335972043e-10,1.281054597315337e-11,9.639001000000098
0.005001,3.0230645213390773e-10,9.999995555116756e-05,9.999995920774432e-06,2.772896064939471e-10,2.501684563996065e-11,9.639001000000098
0.006001,5.22333313887698e-10,9.999993613137901e-05,9.99999413855211e-06,4.791085265241798e-10,4.322478736351811e-11,9.639001000000098
0.007001,8.293867049628363e-10,9.999991318164181e-05,9.999992032373917e-06,7.607522454253392e-10,6.863445953749705e-11,9.639001000000098
0.008001000000000001,1.2379686229897493e-09,9.999988670187144e-05,9.99998960223207e-06,1.1355226724341805e-09,1.0244595055556877e-10,9.639001000000098
0.009001000000000002,1.762581062404414e-09,9.999985669202666e-05,9.999986848122747e-06,1.6167217135930093e-09,1.4585934881140458e-10,9.639001000000098
0.010001000000000003,2.417726013992074e-09,9.999982315208578e-05,9.999983770043918e-06,2.217651271293398e-09,2.0007474269867578e-10,9.639001000000098
0.011001000000000004,3.2179054644309565e-09,9.999978608203673e-05,9.999980367994432e-06,2.951613243819902e-09,2.6629222061105365e-10,9.639001000000098
0.012001000000000005,4.177621395835988e-09,9.999974548187274e-05,9.999976641973618e-06,3.831909524893777e-09,3.4571187094220953e-10,9.639001000000098
0.013001000000000006,5.311375785302512e-09,9.999970135159002e-05,9.999972591981074e-06,4.871842003216696e-09,4.395337820858147e-10,9.639001000000098
0.014001000000000006,6.633670604450007e-09,9.99996536911866e-05,9.999968218016562e-06,6.084712562014465e-09,5.489580424355406e-10,9.639001000000098
0.015001000000000007,8.159007818965804e-09,9.999960250066175e-05,9.999963520079949e-06,7.483823078580743e-09,6.751847403850583e-10,9.639001000000098
0.01600100000000001,9.901889388148802e-09,9.99995477800155e-05,9.999958498171172e-06,9.082475423820761e-09,8.194139643280393e-10,9.639001000000098
0.01700100000000001,1.1876817264453194e-08,9.999948952924845e-05,9.999953152290216e-06,1.0893971461795038e-08,9.828458026581547e-10,9.639001000000098
0.01800100000000001,1.409829339303218e-08,9.999942774836166e-05,9.999947482437098e-06,1.29316130492631e-08,1.166680343769076e-09,9.639001000000098
0.01900100000000001,1.6580819711281687e-08,9.999936243735651e-05,9.999941488611863e-06,1.520870203522721e-08,1.3721176760544744e-09,9.639001000000098
0.020001000000000012,1.9338898148384095e-08,9.999929359623463e-05,9.999935170814576e-06,1.773854026047607e-08,1.6003578879080213e-09,9.639001000000098
0.021001000000000013,2.2387030624851954e-08,9.999922122499792e-05,9.999928529045317e-06,2.0534429557128564e-08,1.8526010677233878e-09,9.639001000000098
0.022001000000000014,2.573971905207171e-08,9.999914532364842e-05,9.99992156330418e-06,2.360967174817746e-08,2.1300473038942452e-09,9.639001000000098
0.023001000000000014,2.941146533184742e-08,9.99990658921884e-05,9.999914273591273e-06,2.697756864703315e-08,2.433896684814265e-09,9.639001000000098
0.024001000000000015,3.3416771355944484e-08,9.999898293062025e-05,9.99990665990671e-06,3.065142205706736e-08,2.7653492988771184e-09,9.639001000000098
0.025001000000000016,3.7770139005633366e-08,9.999889643894655e-05,9.999898722250617e-06,3.4644533771156884e-08,3.125605234476477e-09,9.639001000000098
0.026001000000000017,4.248607015123332e-08,9.999880641717e-05,9.999890460623127e-06,3.89702055712273e-08,3.5158645800060116e-09,9.639001000000098
0.027001000000000018,4.7579066651656116e-08,9.999871286529345e-05,9.999881875024383e-06,4.364173922779671e-08,3.937327423859394e-09,9.639001000000098
0.02800100000000002,5.306363035394976e-08,9.999861578331986e-05,9.999872965454534e-06,4.867243649951945e-08,4.391193854430295e-09,9.639001000000098
0.02900100000000002,5.895426309284224e-08,9.999851517125234e-05,9.999863731913736e-06,5.407559913272984e-08,4.878663960112386e-09,9.639001000000098
0.03000100000000002,6.526546669028524e-08,9.999841102909412e-05,9.99985417440215e-06,5.986452886098589e-08,5.400937829299339e-09,9.639001000000098
0.03100100000000002,7.201174295499787e-08,9.999830335684855e-05,9.99984429291995e-06,6.605252740461303e-08,5.959215550384825e-09,9.639001000000098
0.03200100000000002,7.920759368201041e-08,9.999819215451912e-05,9.999834087467309e-06,7.265289647024788e-08,6.554697211762514e-09,9.639001000000098
0.03300100000000002,8.686752065220802e-08,9.999807742210941e-05,9.999823558044411e-06,7.967893775038193e-08,7.188582901826079e-09,9.639001000000098
0.034001000000000024,9.50060256318745e-08,9.999795915962316e-05,9.999812704651447e-06,8.714395292290529e-08,7.86207270896919e-09,9.639001000000098
0.035001000000000025,1.03637610372236e-07,9.99978373670642e-05,9.999801527288613e-06,9.506124365065046e-08,8.57636672158552e-09,9.639001000000098
0.036001000000000026,1.1277677660900479e-07,9.999771204443647e-05,9.999790025956108e-06,1.0344411158093603e-07,9.332665028068739e-09,9.639001000000098
0.03700100000000003,1.2243802606192294e-07,9.999758319174408e-05,9.999778200654142e-06,1.1230585834511041e-07,1.0132167716812519e-08,9.639001000000098
0.03800100000000003,1.3263586043430613e-07,9.99974508089912e-05,9.999766051382929e-06,1.216597855580956e-07,1.097607487621053e-08,9.639001000000098
0.03900100000000003,1.4338478141258735e-07,9.999731489618214e-05,9.999753578142689e-06,1.3151919481793087e-07,1.1865586594656444e-08,9.639001000000098
0.04000100000000003,1.546992906658606e-07,9.999717545332134e-05,9.99974078093365e-06,1.4189738770531662e-07,1.2801902960543933e-08,9.639001000000098
0.04100100000000003,1.665938898454247e-07,9.999703248041335e-05,9.999727659756044e-06,1.52807665783158e-07,1.3786224062266668e-08,9.639001000000098
0.04200100000000003,1.7908308058432707e-07,9.999688597746282e-05,9.999714214610109e-06,1.6426333059610873e-07,1.481974998821832e-08,9.639001000000098
0.04300100000000003,1.9218136449690731e-07,9.999673594447452e-05,9.99970044549609e-06,1.7627768367011474e-07,1.590368082679256e-08,9.639001000000098
0.04400100000000003,2.0590324317834117e-07,9.999658238145336e-05,9.999686352414236e-06,1.8886402651195807e-07,1.703921666638306e-08,9.639001000000098
0.045001000000000034,2.2026321820418408e-07,9.999642528840434e-05,9.999671935364805e-06,2.0203566060880054e-07,1.8227557595383493e-08,9.639001000000098
0.046001000000000035,2.3527579112991506e-07,9.99962646653326e-05,9.99965719434806e-06,2.1580588742772748e-07,1.9469903702187525e-08,9.639001000000098
0.047001000000000036,2.509554634904804e-07,9.999610051224338e-05,9.999642129364269e-06,2.301880084152915e-07,2.076745507518883e-08,9.639001000000098
0.04800100000000004,2.673167367998374e-07,9.999593282914204e-05,9.999626740413706e-06,2.451953249970562e-07,2.2121411802781083e-08,9.639001000000098
0.04900100000000004,2.843741125504982e-07,9.999576161603404e-05,9.999611027496651e-06,2.608411385771402e-07,2.353297397335795e-08,9.639001000000098
0.05000100000000004,3.0214209221307346e-07,9.999558687292498e-05,9.999594990613392e-06,2.7713875053776033e-07,2.5003341675313106e-08,9.639001000000098
0.05100100000000004,3.206351772358162e-07,9.999540859982057e-05,9.99957862976422e-06,2.9410146223877597e-07,2.6533714997040222e-08,9.639001000000098
0.05200100000000004,3.398678690441655e-07,9.999522679672663e-05,9.999561944949434e-06,3.117425750172325e-07,2.8125294026932967e-08,9.639001000000098
0.05300100000000004,3.5985466904029016e-07,9.999504146364909e-05,9.999544936169338e-06,3.3007539018690513e-07,2.9779278853385014e-08,9.639001000000098
0.05400100000000004,3.8061007860263274e-07,9.999485260059401e-05,9.999527603424242e-06,3.4911320903784265e-07,3.149686956479003e-08,9.639001000000098
0.05500100000000004,4.02148599085453e-07,9.999466020756756e-05,9.999509946714464e-06,3.6886933283591125e-07,3.327926624954169e-08,9.639001000000098
0.056001000000000044,4.24484731818372e-07,9.999446428457601e-05,9.999491966040323e-06,3.8935706282233825e-07,3.512766899603367e-08,9.639001000000098
0.057001000000000045,4.476329781059156e-07,9.999426483162578e-05,9.999473661402149e-06,4.1058970021325584e-07,3.704327789265963e-08,9.639001000000098
0.058001000000000046,4.716078392270583e-07,9.999406184872337e-05,9.999455032800275e-06,4.3258054619924496e-07,3.9027293027813253e-08,9.639001000000098
0.059001000000000046,4.964238164347672e-07,9.999385533587543e-05,9.999436080235041e-06,4.553429019448789e-07,4.1080914489888203e-08,9.639001000000098
0.06000100000000005,5.220954109555454e-07,9.999364529308869e-05,9.999416803706794e-06,4.788900685882672e-07,4.3205342367278156e-08,9.639001000000098
0.06100100000000005,5.486371239889762e-07,9.999343172037001e-05,9.999397203215884e-06,5.032353472405994e-07,4.540177674837678e-08,9.639001000000098
0.06200100000000005,5.760634567072667e-07,9.999321461772638e-05,9.999377278762668e-06,5.283920389856889e-07,4.7671417721577754e-08,9.639001000000098
0.06300100000000004,6.043889102547913e-07,9.999299398516489e-05,9.99935703034751e-06,5.543734448795166e-07,5.001546537527474e-08,9.639001000000098
0.06400100000000004,6.336279857476361e-07,9.999276982269273e-05,9.999336457970782e-06,5.811928659497748e-07,5.243511979786141e-08,9.639001000000098
0.06500100000000004,6.637951842731422e-07,9.999254213031726e-05,9.999315561632857e-06,6.088636031954108e-07,5.493158107773143e-08,9.639001000000098
0.06600100000000005,6.949050068894496e-07,9.999231090804588e-05,9.999294341334116e-06,6.373989575861711e-07,5.7506049303278484e-08,9.639001000000098
