r,m,p_A,p_B,m_A,m_B
1e-06,0.0,4.8e-06,4.8e-07,0.0,0.0
0.001001,1.3402436839198798e-12,4.799999645900861e-06,4.799999381340376e-07,1.1396283074002967e-12,2.0061537651958265e-13
0.002001,1.0705890158256083e-11,4.799998783366993e-06,4.79999787437562e-07,9.103370923151949e-12,1.6025192351041375e-12
0.003001,3.611432162621086e-11,4.799997352425387e-06,4.799995374324339e-07,3.07085216567859e-11,5.405799969424966e-12
0.004001,8.558291386521746e-11,4.7999953504542384e-06,4.799991876605307e-07,7.27723678920641e-11,1.281054597315337e-11
0.005001,1.6712903302273017e-10,4.7999927770008734e-06,4.79998738042683e-07,1.4211218738276955e-10,2.501684563996065e-11
0.006001,2.8877003240758574e-10,4.799989631938164e-06,4.799981885565761e-07,2.455452450440677e-10,4.322478736351811e-11
0.007001,4.585232492812158e-10,4.799985915219971e-06,4.799975391940214e-07,3.8988878974371874e-10,6.863445953749705e-11
0.008001000000000001,6.844060016488493e-10,4.7999816268269e-06,4.799967899514805e-07,5.819600510932805e-10,1.0244595055556877e-10
0.009001000000000002,9.744355850507265e-10,4.7999767667502285e-06,4.799959408272565e-07,8.285762362393219e-10,1.4585934881140458e-10
0.010001000000000003,1.3366292693533303e-09,4.799971334986133e-06,4.799949918204845e-07,1.1365545266546546e-09,2.0007474269867578e-10
0.011001000000000004,1.7790042955406392e-09,4.799965331533311e-06,4.799939429307178e-07,1.5127120749295857e-09,2.6629222061105365e-10
0.012001000000000005,2.309577872505405e-09,4.799958756391898e-06,4.799927941577374e-07,1.9638660015631957e-09,3.4571187094220953e-10
0.013001000000000006,2.936367173840459e-09,4.79995160956293e-06,4.799915455014586e-07,2.4968333917546444e-09,4.395337820858147e-10
0.014001000000000006,3.6673893346300453e-09,4.79994389104806e-06,4.799901969618815e-07,3.1184312921945053e-09,5.489580424355406e-10
0.015001000000000007,4.5106614482411934e-09,4.799935600849398e-06,4.799887485390628e-07,3.835476707856136e-09,6.751847403850583e-10
0.01600100000000001,5.474200563115122e-09,4.799926738969419e-06,4.799872002331001e-07,4.6547865987870835e-09,8.194139643280393e-10
0.01700100000000001,6.566023679558681e-09,4.799917305410907e-06,4.799855520441217e-07,5.583177876900527e-09,9.828458026581547e-10
0.01800100000000001,7.79414774653584e-09,4.799907300176919e-06,4.799838039722807e-07,6.627467402766767e-09,1.166680343769076e-09
0.01900100000000001,9.166589658459221e-09,4.799896723270764e-06,4.799819560177509e-07,7.794471982404748e-09,1.3721176760544744e-09
0.020001000000000012,1.0691366251981668e-08,4.799885574695985e-06,4.79980008180724e-07,9.091008364073648e-09,1.6003578879080213e-09
0.021001000000000013,1.2376494302787878e-08,4.7998738544563515e-06,4.79977960461408e-07,1.0523893235064492e-08,1.8526010677233878e-09
0.022001000000000014,1.4229990522386088e-08,4.799861562555849e-06,4.79975812860026e-07,1.2099943218491844e-08,2.1300473038942452e-09
0.023001000000000014,1.62598715548998e-08,4.799848698998678e-06,4.79973565376815e-07,1.3825974870085535e-08,2.433896684814265e-09
0.024001000000000015,1.847415397385958e-08,4.7998352637892466e-06,4.799712180120256e-07,1.5708804674982463e-08,2.7653492988771184e-09
0.025001000000000016,2.0880854278994918e-08,4.79982125693217e-06,4.799687707659214e-07,1.775524904451844e-08,3.125605234476477e-09
0.026001000000000017,2.3487988893026136e-08,4.799806678432269e-06,4.799662236387784e-07,1.997212431302012e-08,3.5158645800060116e-09
0.027001000000000018,2.630357415845638e-08,4.799791528294566e-06,4.799635766308855e-07,2.2366246734596982e-08,3.937327423859394e-09
0.02800100000000002,2.933562633436368e-08,4.799775806524286e-06,4.799608297425434e-07,2.494443247993338e-08,4.391193854430295e-09
0.02900100000000002,3.259216159319307e-08,4.799759513126856e-06,4.799579829740652e-07,2.7713497633080678e-08,4.878663960112386e-09
0.03000100000000002,3.608119601754879e-08,4.799742648107903e-06,4.799550363257757e-07,3.068025818824944e-08,5.400937829299339e-09
0.03100100000000002,3.981074559698657e-08,4.799725211473254e-06,4.799519897980115e-07,3.385153004660174e-08,5.959215550384825e-09
0.03200100000000002,4.378882622480599e-08,4.799707203228936e-06,4.799488433911213e-07,3.723412901304347e-08,6.554697211762514e-09
0.03300100000000002,4.8023453694842926e-08,4.799688623381175e-06,4.799455971054653e-07,4.083487079301684e-08,7.188582901826079e-09
0.034001000000000024,5.252264369826207e-08,4.7996694719363965e-06,4.799422509414155e-07,4.466057098929287e-08,7.86207270896919e-09
0.035001000000000025,5.7294411820349555e-08,4.799649748901225e-06,4.799388048993555e-07,4.871804509876403e-08,8.57636672158552e-09
0.036001000000000026,6.234677353730568e-08,4.799629454282482e-06,4.799352589796807e-07,5.301410850923694e-08,9.332665028068739e-09
0.03700100000000003,6.76877442130377e-08,4.79960858808719e-06,4.799316131827977e-07,5.7555576496225166e-08,1.0132167716812519e-08
0.03800100000000003,7.332533909595269e-08,4.799587150322569e-06,4.799278675091252e-07,6.234926421974216e-08,1.097607487621053e-08
0.03900100000000003,7.926757331575065e-08,4.799565140996036e-06,4.79924021959093e-07,6.740198672109421e-08,1.1865586594656444e-08
0.04000100000000003,8.55224618802175e-08,4.799542560115208e-06,4.799200765331429e-07,7.272055891967357e-08,1.2801902960543933e-08
