r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0001,0.0,0.0,0.0,10.117000999999833
0.001001,2.2236440939510503e-12,9.999999812705616e-05,0.0,2.2236440939510503e-12,0.0,10.117000999999833
0.002001,1.7762508938133093e-11,9.999999326586798e-05,0.0,1.7762508938133093e-11,0.0,10.117000999999833
0.003001,5.991851294722608e-11,9.999998518961438e-05,0.0,5.991851294722608e-11,0.0,10.117000999999833
0.004001,1.4199357370072492e-10,9.999997388837798e-05,0.0,1.4199357370072492e-10,0.0,10.117000999999833
0.005001,2.772896075261707e-10,9.999995936044448e-05,0.0,2.772896075261707e-10,0.0,10.117000999999833
0.006001,4.791085290819959e-10,9.999994160533014e-05,0.0,4.791085290819959e-10,0.0,10.117000999999833
0.007001,7.607522509403551e-10,9.999992062285688e-05,0.0,7.607522509403551e-10,0.0,10.117000999999833
0.008001000000000001,1.1355226831699548e-09,9.999989641294712e-05,0.0,1.1355226831699548e-09,0.0,10.117000999999833
0.009001000000000002,1.616721732918882e-09,9.999986897556299e-05,0.0,1.616721732918882e-09,0.0,10.117000999999833
0.010001000000000003,2.217651303997433e-09,9.999983831068449e-05,0.0,2.217651303997433e-09,0.0,10.117000999999833
0.011001000000000004,2.9516132964609434e-09,9.999980441830053e-05,0.0,2.9516132964609434e-09,0.0,10.117000999999833
0.012001000000000005,3.831909606192617e-09,9.999976729840477e-05,0.0,3.831909606192617e-09,0.0,10.117000999999833
0.013001000000000006,4.871842124486354e-09,9.999972695099365e-05,0.0,4.871842124486354e-09,0.0,10.117000999999833
0.014001000000000006,6.084712737629586e-09,9.999968337606529e-05,0.0,6.084712737629586e-09,0.0,10.117000999999833
0.015001000000000007,7.4838233264861e-09,9.999963657361888e-05,0.0,7.4838233264861e-09,0.0,10.117000999999833
0.01600100000000001,9.082475766078874e-09,9.999958654365435e-05,0.0,9.082475766078874e-09,0.0,10.117000999999833
0.01700100000000001,1.0893971925172908e-08,9.999953328617213e-05,0.0,1.0893971925172908e-08,0.0,10.117000999999833
0.01800100000000001,1.2931613665858055e-08,9.999947680117306e-05,0.0,1.2931613665858055e-08,0.0,10.117000999999833
0.01900100000000001,1.520870284313185e-08,9.999941708865826e-05,0.0,1.520870284313185e-08,0.0,10.117000999999833
0.020001000000000012,1.7738541304482345e-08,9.99993541486291e-05,0.0,1.7738541304482345e-08,0.0,10.117000999999833
0.021001000000000013,2.0534430889470948e-08,9.999928798108713e-05,0.0,2.0534430889470948e-08,0.0,10.117000999999833
0.022001000000000014,2.360967342931525e-08,9.999921858603408e-05,0.0,2.360967342931525e-08,0.0,10.117000999999833
0.023001000000000014,2.6977570746471866e-08,9.999914596347186e-05,0.0,2.6977570746471866e-08,0.0,10.117000999999833
0.024001000000000015,3.065142465421926e-08,9.99990701134025e-05,0.0,3.065142465421926e-08,0.0,10.117000999999833
0.025001000000000016,3.464453695624059e-08,9.999899103582816e-05,0.0,3.464453695624059e-08,0.0,10.117000999999833
0.026001000000000017,3.897020944620654e-08,9.999890873075113e-05,0.0,3.897020944620654e-08,0.0,10.117000999999833
0.027001000000000018,4.364174390735817e-08,9.999882319817381e-05,0.0,4.364174390735817e-08,0.0,10.117000999999833
0.02800100000000002,4.867244211208973e-08,9.999873443809872e-05,0.0,4.867244211208973e-08,0.0,10.117000999999833
0.02900100000000002,5.407560582153152e-08,9.999864245052849e-05,0.0,5.407560582153152e-08,0.0,10.117000999999833
0.03000100000000002,5.986453678513273e-08,9.999854723546586e-05,0.0,5.986453678513273e-08,0.0,10.117000999999833
0.03100100000000002,6.605253674024425e-08,9.999844879291367e-05,0.0,6.605253674024425e-08,0.0,10.117000999999833
0.03200100000000002,7.265290741170156e-08,9.999834712287486e-05,0.0,7.265290741170156e-08,0.0,10.117000999999833
0.03300100000000002,7.967895051140754e-08,9.99982422253525e-05,0.0,7.967895051140754e-08,0.0,10.117000999999833
0.034001000000000024,8.714396773791532e-08,9.999813410034972e-05,0.0,8.714396773791532e-08,0.0,10.117000999999833
0.035001000000000025,9.506126077601114e-08,9.999802274786979e-05,0.0,9.506126077601114e-08,0.0,10.117000999999833
0.036001000000000026,1.0344413129629716e-07,9.999790816791607e-05,0.0,1.0344413129629716e-07,0.0,10.117000999999833
0.03700100000000003,1.1230588095477436e-07,9.9997790360492e-05,0.0,1.1230588095477436e-07,0.0,10.117000999999833
0.03800100000000003,1.2165981139242533e-07,9.999766932560115e-05,0.0,1.2165981139242533e-07,0.0,10.117000999999833
0.03900100000000003,1.3151922423479716e-07,9.999754506324718e-05,0.0,1.3151922423479716e-07,0.0,10.117000999999833
0.04000100000000003,1.4189742109158425e-07,9.999741757343385e-05,0.0,1.4189742109158425e-07,0.0,10.117000999999833
0.04100100000000003,1.5280770355621126e-07,9.9997286856165e-05,0.0,1.5280770355621126e-07,0.0,10.117000999999833
0.04200100000000003,1.6426337320541578e-07,9.99971529114446e-05,0.0,1.6426337320541578e-07,0.0,10.117000999999833
0.04300100000000003,1.762777315988314e-07,9.999701573927669e-05,0.0,1.762777315988314e-07,0.0,10.117000999999833
0.04400100000000003,1.888640802785704e-07,9.999687533966544e-05,0.0,1.888640802785704e-07,0.0,10.117000999999833
0.045001000000000034,2.0203572076880672e-07,9.999673171261508e-05,0.0,2.0203572076880672e-07,0.0,10.117000999999833
0.046001000000000035,2.1580595457535868e-07,9.999658485812998e-05,0.0,2.1580595457535868e-07,0.0,10.117000999999833
0.047001000000000036,2.30188083185272e-07,9.999643477621458e-05,0.0,2.30188083185272e-07,0.0,10.117000999999833
0.04800100000000004,2.4519540806640253e-07,9.999628146687342e-05,0.0,2.4519540806640253e-07,0.0,10.117000999999833
0.04900100000000004,2.6084123066699923e-07,9.999612493011116e-05,0.0,2.6084123066699923e-07,0.0,10.117000999999833
0.05000100000000004,2.7713885241528694e-07,9.999596516593253e-05,0.0,2.7713885241528694e-07,0.0,10.117000999999833
0.05100100000000004,2.9410157471904925e-07,9.999580217434238e-05,0.0,2.9410157471904925e-07,0.0,10.117000999999833
0.05200100000000004,3.117426989652114e-07,9.999563595534564e-05,0.0,3.117426989652114e-07,0.0,10.117000999999833
0.05300100000000004,3.300755265194232e-07,9.999546650894736e-05,0.0,3.300755265194232e-07,0.0,10.117000999999833
0.05400100000000004,3.4911335872564173e-07,9.999529383515268e-05,0.0,3.4911335872564173e-07,0.0,10.117000999999833
0.05500100000000004,3.6886949690571446e-07,9.999511793396683e-05,0.0,3.6886949690571446e-07,0.0,10.117000999999833
0.056001000000000044,3.8935724235896186e-07,9.999493880539512e-05,0.0,3.8935724235896186e-07,0.0,10.117000999999833
0.057001000000000045,4.105898963617605e-07,9.9994756449443e-05,0.0,4.105898963617605e-07,0.0,10.117000999999833
0.058001000000000046,4.3258076016712577e-07,9.999457086611601e-05,0.0,4.3258076016712577e-07,0.0,10.117000999999833
0.059001000000000046,4.5534313500429487e-07,9.999438205541975e-05,0.0,4.5534313500429487e-07,0.0,10.117000999999833
0.06000100000000005,4.788903220783095e-07,9.999419001735997e-05,0.0,4.788903220783095e-07,0.0,10.117000999999833
