r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,3e-05,0.0,0.0,0.0,9.680001000000075
0.001001,1.8194652547202623e-12,2.999999909534122e-05,0.0,1.8194652547202623e-12,0.0,9.680001000000075
0.002001,1.453392109109902e-11,2.9999996836669282e-05,0.0,1.453392109109902e-11,0.0,9.680001000000075
0.003001,4.9027473472569285e-11,2.9999993087409855e-05,0.0,4.9027473472569285e-11,0.0,9.680001000000075
0.004001,1.1618422733607726e-10,2.9999987841591437e-05,0.0,1.1618422733607726e-10,0.0,9.680001000000075
0.005001,2.2688828608007598e-10,2.999998109818179e-05,0.0,2.2688828608007598e-10,0.0,9.680001000000075
0.006001,3.9202375105190326e-10,2.9999972856889633e-05,0.0,3.9202375105190326e-10,0.0,9.680001000000075
0.007001,6.224747210351372e-10,2.999996311760772e-05,0.0,6.224747210351372e-10,0.0,9.680001000000075
0.008001000000000001,9.291252917369492e-10,2.9999951880289314e-05,0.0,9.291252917369492e-10,0.0,9.680001000000075
0.009001000000000002,1.322859555275456e-09,2.999993914491159e-05,0.0,1.322859555275456e-09,0.0,9.680001000000075
0.010001000000000003,1.814561599667072e-09,2.999992491146248e-05,0.0,1.814561599667072e-09,0.0,9.680001000000075
0.011001000000000004,2.415115508313862e-09,2.9999909179935265e-05,0.0,2.415115508313862e-09,0.0,9.680001000000075
0.012001000000000005,3.135405359490894e-09,2.9999891950326097e-05,0.0,3.135405359490894e-09,0.0,9.680001000000075
0.013001000000000006,3.986315225833592e-09,2.9999873222632795e-05,0.0,3.986315225833592e-09,0.0,9.680001000000075
0.014001000000000006,4.978729173825093e-09,2.999985299685418e-05,0.0,4.978729173825093e-09,0.0,9.680001000000075
0.015001000000000007,6.123531263283596e-09,2.999983127298972e-05,0.0,6.123531263283596e-09,0.0,9.680001000000075
0.01600100000000001,7.431605546849723e-09,2.999980805103932e-05,0.0,7.431605546849723e-09,0.0,9.680001000000075
0.01700100000000001,8.913836069473871e-09,2.9999783331003197e-05,0.0,8.913836069473871e-09,0.0,9.680001000000075
0.01800100000000001,1.0581106867903569e-08,2.999975711288179e-05,0.0,1.0581106867903569e-08,0.0,9.680001000000075
0.01900100000000001,1.2444301970170839e-08,2.9999729396675717e-05,0.0,1.2444301970170839e-08,0.0,9.680001000000075
0.020001000000000012,1.4514305395079547e-08,2.9999700182385733e-05,0.0,1.4514305395079547e-08,0.0,9.680001000000075
0.021001000000000013,1.680200115169277e-08,2.9999669470012716e-05,0.0,1.680200115169277e-08,0.0,9.680001000000075
0.022001000000000014,1.9318273238820148e-08,2.999963725955764e-05,0.0,1.9318273238820148e-08,0.0,9.680001000000075
0.023001000000000014,2.207400564450525e-08,2.9999603551021568e-05,0.0,2.207400564450525e-08,0.0,9.680001000000075
0.024001000000000015,2.5080082345512935e-08,2.9999568344405652e-05,0.0,2.5080082345512935e-08,0.0,9.680001000000075
0.025001000000000016,2.8347387306816718e-08,2.9999531639711114e-05,0.0,2.8347387306816718e-08,0.0,9.680001000000075
0.026001000000000017,3.1886804481086123e-08,2.9999493436939246e-05,0.0,3.1886804481086123e-08,0.0,9.680001000000075
0.027001000000000018,3.570921780817406e-08,2.999945373609141e-05,0.0,3.570921780817406e-08,0.0,9.680001000000075
0.02800100000000002,3.982551121460418e-08,2.999941253716903e-05,0.0,3.982551121460418e-08,0.0,9.680001000000075
0.02900100000000002,4.424656861305826e-08,2.9999369840173594e-05,0.0,4.424656861305826e-08,0.0,9.680001000000075
0.03000100000000002,4.8983273901863554e-08,2.9999325645106657e-05,0.0,4.8983273901863554e-08,0.0,9.680001000000075
0.03100100000000002,5.404651096448017e-08,2.9999279951969828e-05,0.0,5.404651096448017e-08,0.0,9.680001000000075
0.03200100000000002,5.944716366898844e-08,2.9999232760764776e-05,0.0,5.944716366898844e-08,0.0,9.680001000000075
0.03300100000000002,6.519611586757629e-08,2.9999184071493235e-05,0.0,6.519611586757629e-08,0.0,9.680001000000075
0.034001000000000024,7.130425139602664e-08,2.999913388415699e-05,0.0,7.130425139602664e-08,0.0,9.680001000000075
0.035001000000000025,7.778245407320474e-08,2.999908219875789e-05,0.0,7.778245407320474e-08,0.0,9.680001000000075
0.036001000000000026,8.464160770054556e-08,2.9999029015297833e-05,0.0,8.464160770054556e-08,0.0,9.680001000000075
0.03700100000000003,9.18925960615412e-08,2.9998974333778785e-05,0.0,9.18925960615412e-08,0.0,9.680001000000075
0.03800100000000003,9.954630292122821e-08,2.999891815420276e-05,0.0,9.954630292122821e-08,0.0,9.680001000000075
0.03900100000000003,1.0761361202567505e-07,2.999886047657183e-05,0.0,1.0761361202567505e-07,0.0,9.680001000000075
0.04000100000000003,1.1610540710146939e-07,2.9998801300888133e-05,0.0,1.1610540710146939e-07,0.0,9.680001000000075
0.04100100000000003,1.2503257185520558e-07,2.999874062715385e-05,0.0,1.2503257185520558e-07,0.0,9.680001000000075
0.04200100000000003,1.3440598997297196e-07,2.999867845537123e-05,0.0,1.3440598997297196e-07,0.0,9.680001000000075
0.04300100000000003,1.4423654511983831e-07,2.9998614785542566e-05,0.0,1.4423654511983831e-07,0.0,9.680001000000075
0.04400100000000003,1.5453512093934322e-07,2.9998549617670216e-05,0.0,1.5453512093934322e-07,0.0,9.680001000000075
0.045001000000000034,1.6531260105298144e-07,2.9998482951756592e-05,0.0,1.6531260105298144e-07,0.0,9.680001000000075
0.046001000000000035,1.7657986905969138e-07,2.999841478780416e-05,0.0,1.7657986905969138e-07,0.0,9.680001000000075
0.047001000000000036,1.883478085353424e-07,2.9998345125815445e-05,0.0,1.883478085353424e-07,0.0,9.680001000000075
0.04800100000000004,2.0062730303222227e-07,2.9998273965793024e-05,0.0,2.0062730303222227e-07,0.0,9.680001000000075
0.04900100000000004,2.1342923607852457e-07,2.9998201307739534e-05,0.0,2.1342923607852457e-07,0.0,9.680001000000075
0.05000100000000004,2.2676449117783604e-07,2.9998127151657665e-05,0.0,2.2676449117783604e-07,0.0,9.680001000000075
0.05100100000000004,2.406439518086241e-07,2.999805149755016e-05,0.0,2.406439518086241e-07,0.0,9.680001000000075
0.05200100000000004,2.550785014237241e-07,2.9997974345419828e-05,0.0,2.550785014237241e-07,0.0,9.680001000000075
0.05300100000000004,2.700790234498269e-07,2.999789569526952e-05,0.0,2.700790234498269e-07,0.0,9.680001000000075
0.05400100000000004,2.8565640128696613e-07,2.9997815547102155e-05,0.0,2.8565640128696613e-07,0.0,9.680001000000075
0.05500100000000004,3.0182151830800573e-07,2.9997733900920698e-05,0.0,3.0182151830800573e-07,0.0,9.680001000000075
0.056001000000000044,3.1858525785812733e-07,2.9997650756728175e-05,0.0,3.1858525785812733e-07,0.0,9.680001000000075
0.057001000000000045,3.359585032543176e-07,2.999756611452767e-05,0.0,3.359585032543176e-07,0.0,9.680001000000075
0.058001000000000046,3.5395213778485574e-07,2.9997479974322312e-05,0.0,3.5395213778485574e-07,0.0,9.680001000000075
0.059001000000000046,3.7257704470880097e-07,2.9997392336115298e-05,0.0,3.7257704470880097e-07,0.0,9.680001000000075
0.06000100000000005,3.918441072554798e-07,2.9997303199909872e-05,0.0,3.918441072554798e-07,0.0,9.680001000000075
0.06100100000000005,4.1176420862397364e-07,2.9997212565709342e-05,0.0,4.1176420862397364e-07,0.0,9.680001000000075
0.06200100000000005,4.3234823198260604e-07,2.9997120433517062e-05,0.0,4.3234823198260604e-07,0.0,9.680001000000075
0.06300100000000004,4.536070604684303e-07,2.9997026803336447e-05,0.0,4.536070604684303e-07,0.0,9.680001000000075
0.06400100000000004,4.755515771867169e-07,2.9996931675170967e-05,0.0,4.755515771867169e-07,0.0,9.680001000000075
0.06500100000000004,4.981926652104408e-07,2.9996835049024146e-05,0.0,4.981926652104408e-07,0.0,9.680001000000075
0.06600100000000005,5.215412075797689e-07,2.9996736924899563e-05,0.0,5.215412075797689e-07,0.0,9.680001000000075
0.06700100000000005,5.456080873015479e-07,2.999663730280086e-05,0.0,5.456080873015479e-07,0.0,9.680001000000075
0.06800100000000005,5.704041873487909e-07,2.9996536182731724e-05,0.0,5.704041873487909e-07,0.0,9.680001000000075
0.06900100000000005,5.959403906601659e-07,2.9996433564695903e-05,0.0,5.959403906601659e-07,0.0,9.680001000000075
0.07000100000000005,6.222275801394823e-07,2.99963294486972e-05,0.0,6.222275801394823e-07,0.0,9.680001000000075
0.07100100000000005,6.492766386551791e-07,2.9996223834739476e-05,0.0,6.492766386551791e-07,0.0,9.680001000000075
0.07200100000000005,6.770984490398119e-07,2.999611672282664e-05,0.0,6.770984490398119e-07,0.0,9.680001000000075
0.07300100000000005,7.057038940895404e-07,2.9996008112962666e-05,0.0,7.057038940895404e-07,0.0,9.680001000000075
0.07400100000000005,7.351038565636164e-07,2.999589800515158e-05,0.0,7.351038565636164e-07,0.0,9.680001000000075
0.07500100000000005,7.653092191838706e-07,2.9995786399397458e-05,0.0,7.653092191838706e-07,0.0,9.680001000000075
0.07600100000000005,7.963308646342003e-07,2.9995673295704438e-05,0.0,7.963308646342003e-07,0.0,9.680001000000075
0.07700100000000006,8.281796755600572e-07,2.9995558694076713e-05,0.0,8.281796755600572e-07,0.0,9.680001000000075
0.07800100000000006,8.608665345679342e-07,2.9995442594518527e-05,0.0,8.608665345679342e-07,0.0,9.680001000000075
0.07900100000000006,8.944023242248538e-07,2.9995324997034184e-05,0.0,8.944023242248538e-07,0.0,9.680001000000075
0.08000100000000006,9.287979270578548e-07,2.9995205901628047e-05,0.0,9.287979270578548e-07,0.0,9.680001000000075
0.08100100000000006,9.640642255534803e-07,2.9995085308304522e-05,0.0,9.640642255534803e-07,0.0,9.680001000000075
0.08200100000000006,1.0002121021572646e-06,2.9994963217068082e-05,0.0,1.0002121021572646e-06,0.0,9.680001000000075
0.08300100000000006,1.0372524392732217e-06,2.9994839627923253e-05,0.0,1.0372524392732217e-06,0.0,9.680001000000075
0.08400100000000006,1.0751961192633316e-06,2.9994714540874614e-05,0.0,1.0751961192633316e-06,0.0,9.680001000000075
0.08500100000000006,1.1140540244470292e-06,2.9994587955926802e-05,0.0,1.1140540244470292e-06,0.0,9.680001000000075
0.08600100000000006,1.1538370371006903e-06,2.9994459873084506e-05,0.0,1.1538370371006903e-06,0.0,9.680001000000075
0.08700100000000006,1.1945560394571202e-06,2.9994330292352474e-05,0.0,1.1945560394571202e-06,0.0,9.680001000000075
0.08800100000000007,1.2362219137050409e-06,2.999419921373551e-05,0.0,1.2362219137050409e-06,0.0,9.680001000000075
0.08900100000000007,1.2788455419885786e-06,2.9994066637238467e-05,0.0,1.2788455419885786e-06,0.0,9.680001000000075
0.09000100000000007,1.3224378064067511e-06,2.9993932562866263e-05,0.0,1.3224378064067511e-06,0.0,9.680001000000075
0.09100100000000007,1.3670095890129557e-06,2.9993796990623866e-05,0.0,1.3670095890129557e-06,0.0,9.680001000000075
0.09200100000000007,1.4125717718144565e-06,2.9993659920516303e-05,0.0,1.4125717718144565e-06,0.0,9.680001000000075
0.09300100000000007,1.459135236771872e-06,2.999352135254865e-05,0.0,1.459135236771872e-06,0.0,9.680001000000075
0.09400100000000007,1.5067108657986623e-06,2.999338128672604e-05,0.0,1.5067108657986623e-06,0.0,9.680001000000075
0.09500100000000007,1.5553095407606174e-06,2.9993239723053673e-05,0.0,1.5553095407606174e-06,0.0,9.680001000000075
0.09600100000000007,1.6049421434753443e-06,2.999309666153679e-05,0.0,1.6049421434753443e-06,0.0,9.680001000000075
0.09700100000000007,1.6556195557117543e-06,2.9992952102180692e-05,0.0,1.6556195557117543e-06,0.0,9.680001000000075
0.09800100000000007,1.7073526591895512e-06,2.999280604499074e-05,0.0,1.7073526591895512e-06,0.0,9.680001000000075
0.09900100000000008,1.7601523355787182e-06,2.999265848997234e-05,0.0,1.7601523355787182e-06,0.0,9.680001000000075
0.10000100000000008,1.814029466499006e-06,2.999250943713097e-05,0.0,1.814029466499006e-06,0.0,9.680001000000075
0.10100100000000008,1.8689949335194205e-06,2.9992358886472146e-05,0.0,1.8689949335194205e-06,0.0,9.680001000000075
0.10200100000000008,1.9250596181577093e-06,2.9992206838001452e-05,0.0,1.9250596181577093e-06,0.0,9.680001000000075
0.10300100000000008,1.982234401879851e-06,2.9992053291724522e-05,0.0,1.982234401879851e-06,0.0,9.680001000000075
0.10400100000000008,2.040530166099541e-06,2.9991898247647048e-05,0.0,2.040530166099541e-06,0.0,9.680001000000075
0.10500100000000008,2.099957792177681e-06,2.9991741705774775e-05,0.0,2.099957792177681e-06,0.0,9.680001000000075
0.10600100000000008,2.1605281614218646e-06,2.9991583666113506e-05,0.0,2.1605281614218646e-06,0.0,9.680001000000075
0.10700100000000008,2.2222521550858663e-06,2.9991424128669093e-05,0.0,2.2222521550858663e-06,0.0,9.680001000000075
0.10800100000000008,2.2851406543691287e-06,2.9991263093447454e-05,0.0,2.2851406543691287e-06,0.0,9.680001000000075
0.10900100000000008,2.34920454041625e-06,2.9991100560454554e-05,0.0,2.34920454041625e-06,0.0,9.680001000000075
0.11000100000000008,2.4144546943164724e-06,2.9990936529696417e-05,0.0,2.4144546943164724e-06,0.0,9.680001000000075
0.11100100000000009,2.480901997103168e-06,2.9990771001179126e-05,0.0,2.480901997103168e-06,0.0,9.680001000000075
0.11200100000000009,2.548557329753328e-06,2.9990603974908812e-05,0.0,2.548557329753328e-06,0.0,9.680001000000075
0.11300100000000009,2.61743157318705e-06,2.9990435450891666e-05,0.0,2.61743157318705e-06,0.0,9.680001000000075
0.11400100000000009,2.6875356082670255e-06,2.9990265429133933e-05,0.0,2.6875356082670255e-06,0.0,9.680001000000075
0.11500100000000009,2.7588803157980272e-06,2.9990093909641913e-05,0.0,2.7588803157980272e-06,0.0,9.680001000000075
0.11600100000000009,2.831476576526397e-06,2.9989920892421967e-05,0.0,2.831476576526397e-06,0.0,9.680001000000075
0.11700100000000009,2.905335271139535e-06,2.99897463774805e-05,0.0,2.905335271139535e-06,0.0,9.680001000000075
0.11800100000000009,2.9804672802653835e-06,2.9989570364823988e-05,0.0,2.9804672802653835e-06,0.0,9.680001000000075
0.11900100000000009,3.0568834844719186e-06,2.998939285445895e-05,0.0,3.0568834844719186e-06,0.0,9.680001000000075
0.1200010000000001,3.1345947642666363e-06,2.9989213846391963e-05,0.0,3.1345947642666363e-06,0.0,9.680001000000075
0.1210010000000001,3.2136120000960395e-06,2.9989033340629665e-05,0.0,3.2136120000960395e-06,0.0,9.680001000000075
0.1220010000000001,3.293946072345127e-06,2.9988851337178744e-05,0.0,3.293946072345127e-06,0.0,9.680001000000075
0.1230010000000001,3.37560786133688e-06,2.9988667836045943e-05,0.0,3.37560786133688e-06,0.0,9.680001000000075
0.1240010000000001,3.4586082473317512e-06,2.9988482837238065e-05,0.0,3.4586082473317512e-06,0.0,9.680001000000075
