r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0,2.1851476530898365e-08,0.0,0.0,1e-06
0.001001,3.0747083516496873e-14,0.0,2.1851476321668333e-08,0.0,3.0747083516496873e-14,1e-06
0.002001,2.456082544593038e-13,0.0,2.1851475815809093e-08,0.0,2.456082544593038e-13,1e-06
0.003001,8.285136597322059e-13,0.0,2.1851474976736294e-08,0.0,8.285136597322059e-13,1e-06
0.004001,1.963393425433297e-12,0.0,2.1851473802850342e-08,0.0,1.963393425433297e-12,1e-06
0.005001,3.834177646481123e-12,0.0,2.1851472293874736e-08,0.0,3.834177646481123e-12,1e-06
0.006001,6.624796376225884e-12,0.0,2.1851470449731444e-08,0.0,6.624796376225884e-12,1e-06
0.007001,1.05191796160601e-11,0.0,2.1851468270391745e-08,0.0,1.05191796160601e-11,1e-06
0.008001000000000001,1.5701257305029207e-11,0.0,2.1851465755843118e-08,0.0,1.5701257305029207e-11,1e-06
0.009001000000000002,2.2354959309442133e-11,0.0,2.1851462906079452e-08,0.0,2.2354959309442133e-11,1e-06
0.010001000000000003,3.066421541248189e-11,0.0,2.1851459721097514e-08,0.0,3.066421541248189e-11,1e-06
0.011001000000000004,4.081295530381615e-11,0.0,2.1851456200895504e-08,0.0,4.081295530381615e-11,1e-06
0.012001000000000005,5.298510856920786e-11,0.0,2.1851452345472396e-08,0.0,5.298510856920786e-11,1e-06
0.013001000000000006,6.736460468012586e-11,0.0,2.185144815482761e-08,0.0,6.736460468012586e-11,1e-06
0.014001000000000006,8.413537298335548e-11,0.0,2.1851443628960828e-08,0.0,8.413537298335548e-11,1e-06
0.015001000000000007,1.0348134269060918e-10,0.0,2.1851438767871914e-08,0.0,1.0348134269060918e-10,1e-06
0.01600100000000001,1.2558644286813725e-10,0.0,2.1851433571560843e-08,0.0,1.2558644286813725e-10,1e-06
0.01700100000000001,1.5063460242633843e-10,0.0,2.185142804002768e-08,0.0,1.5063460242633843e-10,1e-06
0.01800100000000001,1.7880975010937062e-10,0.0,2.185142217327254e-08,0.0,1.7880975010937062e-10,1e-06
0.01900100000000001,2.1029581448476156e-10,0.0,2.1851415971295597e-08,0.0,2.1029581448476156e-10,1e-06
0.020001000000000012,2.4527672393301957e-10,0.0,2.1851409434097056e-08,0.0,2.4527672393301957e-10,1e-06
0.021001000000000013,2.8393640663724434e-10,0.0,2.1851402561677153e-08,0.0,2.8393640663724434e-10,1e-06
0.022001000000000014,3.2645879057273765e-10,0.0,2.1851395354036156e-08,0.0,3.2645879057273765e-10,1e-06
0.023001000000000014,3.730278034966141e-10,0.0,2.1851387811174353e-08,0.0,3.730278034966141e-10,1e-06
0.024001000000000015,4.238273729374122e-10,0.0,2.1851379933092057e-08,0.0,4.238273729374122e-10,1e-06
0.025001000000000016,4.790414261847047e-10,0.0,2.18513717197896e-08,0.0,4.790414261847047e-10,1e-06
0.026001000000000017,5.388538902787099e-10,0.0,2.1851363171267334e-08,0.0,5.388538902787099e-10,1e-06
0.027001000000000018,6.034486919999027e-10,0.0,2.1851354287525627e-08,0.0,6.034486919999027e-10,1e-06
0.02800100000000002,6.730097578586247e-10,0.0,2.1851345068564868e-08,0.0,6.730097578586247e-10,1e-06
0.02900100000000002,7.477210140846963e-10,0.0,2.185133551438546e-08,0.0,7.477210140846963e-10,1e-06
0.03000100000000002,8.277663866170266e-10,0.0,2.1851325624987822e-08,0.0,8.277663866170266e-10,1e-06
0.03100100000000002,9.133298010932251e-10,0.0,2.1851315400372393e-08,0.0,9.133298010932251e-10,1e-06
0.03200100000000002,1.0045951828392125e-09,0.0,2.1851304840539628e-08,0.0,1.0045951828392125e-09,1e-06
0.03300100000000002,1.101746456858832e-09,0.0,2.1851293945489995e-08,0.0,1.101746456858832e-09,1e-06
0.034001000000000024,1.2049675478234602e-09,0.0,2.1851282715223982e-08,0.0,1.2049675478234602e-09,1e-06
0.035001000000000025,1.3144423800616183e-09,0.0,2.1851271149742086e-08,0.0,1.3144423800616183e-09,1e-06
0.036001000000000026,1.4303548775485832e-09,0.0,2.1851259249044827e-08,0.0,1.4303548775485832e-09,1e-06
0.03700100000000003,1.5528889638959993e-09,0.0,2.1851247013132734e-08,0.0,1.5528889638959993e-09,1e-06
0.03800100000000003,1.682228562341489e-09,0.0,2.185123444200636e-08,0.0,1.682228562341489e-09,1e-06
0.03900100000000003,1.8185575957382648e-09,0.0,2.1851221535666262e-08,0.0,1.8185575957382648e-09,1e-06
0.04000100000000003,1.9620599865447395e-09,0.0,2.1851208294113022e-08,0.0,1.9620599865447395e-09,1e-06
0.04100100000000003,2.112919656814139e-09,0.0,2.185119471734723e-08,0.0,2.112919656814139e-09,1e-06
0.04200100000000003,2.271320528184113e-09,0.0,2.18511808053695e-08,0.0,2.271320528184113e-09,1e-06
0.04300100000000003,2.4374465218663472e-09,0.0,2.1851166558180453e-08,0.0,2.4374465218663472e-09,1e-06
0.04400100000000003,2.6114815586361732e-09,0.0,2.1851151975780728e-08,0.0,2.6114815586361732e-09,1e-06
0.045001000000000034,2.7936095588221816e-09,0.0,2.185113705817098e-08,0.0,2.7936095588221816e-09,1e-06
0.046001000000000035,2.9840144422958334e-09,0.0,2.185112180535188e-08,0.0,2.9840144422958334e-09,1e-06
0.047001000000000036,3.1828801284610715e-09,0.0,2.185110621732411e-08,0.0,3.1828801284610715e-09,1e-06
0.04800100000000004,3.3903905362439323e-09,0.0,2.185109029408837e-08,0.0,3.3903905362439323e-09,1e-06
0.04900100000000004,3.606729584082158e-09,0.0,2.1851074035645382e-08,0.0,3.606729584082158e-09,1e-06
0.05000100000000004,3.832081189914808e-09,0.0,2.185105744199587e-08,0.0,3.832081189914808e-09,1e-06
0.05100100000000004,4.066629271171872e-09,0.0,2.185104051314058e-08,0.0,4.066629271171872e-09,1e-06
0.05200100000000004,4.310557744763878e-09,0.0,2.1851023249080274e-08,0.0,4.310557744763878e-09,1e-06
0.05300100000000004,4.564050527071511e-09,0.0,2.1851005649815728e-08,0.0,4.564050527071511e-09,1e-06
0.05400100000000004,4.82729153393522e-09,0.0,2.185098771534773e-08,0.0,4.82729153393522e-09,1e-06
0.05500100000000004,5.100464680644829e-09,0.0,2.1850969445677087e-08,0.0,5.100464680644829e-09,1e-06
0.056001000000000044,5.3837538819291565e-09,0.0,2.185095084080462e-08,0.0,5.3837538819291565e-09,1e-06
0.057001000000000045,5.677343051945619e-09,0.0,2.1850931900731166e-08,0.0,5.677343051945619e-09,1e-06
0.058001000000000046,5.9814161042698495e-09,0.0,2.185091262545758e-08,0.0,5.9814161042698495e-09,1e-06
0.059001000000000046,6.296156951885308e-09,0.0,2.185089301498472e-08,0.0,6.296156951885308e-09,1e-06
0.06000100000000005,6.621749507172892e-09,0.0,2.1850873069313474e-08,0.0,6.621749507172892e-09,1e-06
0.06100100000000005,6.958377681900552e-09,0.0,2.1850852788444734e-08,0.0,6.958377681900552e-09,1e-06
0.06200100000000005,7.306225387212903e-09,0.0,2.1850832172379415e-08,0.0,7.306225387212903e-09,1e-06
0.06300100000000004,7.665476533620838e-09,0.0,2.185081122111844e-08,0.0,7.665476533620838e-09,1e-06
0.06400100000000004,8.036315030991137e-09,0.0,2.1850789934662755e-08,0.0,8.036315030991137e-09,1e-06
0.06500100000000004,8.418924788536086e-09,0.0,2.1850768313013313e-08,0.0,8.418924788536086e-09,1e-06
0.06600100000000005,8.813489714803085e-09,0.0,2.1850746356171088e-08,0.0,8.813489714803085e-09,1e-06
0.06700100000000005,9.220193717664263e-09,0.0,2.1850724064137066e-08,0.0,9.220193717664263e-09,1e-06
