r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0,1e-07,0.0,0.0,1e-06
0.001001,7.603234407958332e-14,0.0,9.999999870956515e-08,0.0,7.603234407958332e-14,1e-06
0.002001,6.073477266037621e-13,0.0,9.999999558516095e-08,0.0,6.073477266037621e-13,1e-06
0.003001,2.048774323981776e-12,0.0,9.999999040251152e-08,0.0,2.048774323981776e-12,1e-06
0.004001,4.855140244729469e-12,0.0,9.999998315181084e-08,0.0,4.855140244729469e-12,1e-06
0.005001,9.481273495616612e-12,0.0,9.999997383136391e-08,0.0,9.481273495616612e-12,1e-06
0.006001,1.6382001947765817e-11,0.0,9.999996244069256e-08,0.0,1.6382001947765817e-11,1e-06
0.007001,2.6012153302749724e-11,0.0,9.999994897962082e-08,0.0,2.6012153302749724e-11,1e-06
0.008001000000000001,3.8826555058687946e-11,0.0,9.999993344807216e-08,0.0,3.8826555058687946e-11,1e-06
0.009001000000000002,5.5280034476343965e-11,0.0,9.999991584600934e-08,0.0,5.5280034476343965e-11,1e-06
0.010001000000000003,7.582741854522203e-11,0.0,9.999989617341279e-08,0.0,7.582741854522203e-11,1e-06
0.011001000000000004,1.0092353394966409e-10,0.0,9.999987443027177e-08,0.0,1.0092353394966409e-10,1e-06
0.012001000000000005,1.310232070349467e-10,0.0,9.999985061658032e-08,0.0,1.310232070349467e-10,1e-06
0.013001000000000006,1.6658126377337804e-10,0.0,9.999982473233518e-08,0.0,1.6658126377337804e-10,1e-06
0.014001000000000006,2.0805252973039482e-10,0.0,9.999979677753482e-08,0.0,2.0805252973039482e-10,1e-06
0.015001000000000007,2.5589183003065947e-10,0.0,9.999976675217878e-08,0.0,2.5589183003065947e-10,1e-06
0.01600100000000001,3.1055398932415696e-10,0.0,9.999973465626736e-08,0.0,3.1055398932415696e-10,1e-06
0.01700100000000001,3.724938317522922e-10,0.0,9.99997004898014e-08,0.0,3.724938317522922e-10,1e-06
0.01800100000000001,4.42166180913987e-10,0.0,9.999966425278213e-08,0.0,4.42166180913987e-10,1e-06
0.01900100000000001,5.200258598317774e-10,0.0,9.99996259452111e-08,0.0,5.200258598317774e-10,1e-06
0.020001000000000012,6.065276909179107e-10,0.0,9.999958556709016e-08,0.0,6.065276909179107e-10,1e-06
