r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,7.58220152190006e-05,9.819639866481925e-06,0.0,0.0,12.026000999998775
0.001001,2.9775929387192817e-12,7.582201353728454e-05,9.819638738623652e-06,1.6791014656315372e-12,1.2984914730877447e-12,12.026000999998775
0.002001,2.378506487342582e-11,7.58220092578702e-05,9.819635868595583e-06,1.341269259146267e-11,1.0372372281963147e-11,12.026000999998775
0.003001,8.023447621332454e-11,7.582200215125981e-05,9.819631102483898e-06,4.524521792094374e-11,3.498925829238079e-11,12.026000999998775
0.004001,1.9013787429519463e-10,7.582199220741956e-05,9.81962443356092e-06,1.07221120651086e-10,8.29167536441086e-11,12.026000999998775
0.005001,3.7130728686153e-10,7.582197942461572e-05,9.819615860666167e-06,2.093848419607192e-10,1.6192244490081073e-10,12.026000999998775
0.006001,6.415547155317453e-10,7.58219638023599e-05,9.819605383475002e-06,3.6178082033803346e-10,2.797738951937119e-10,12.026000999998775
0.007001,1.0186921292731588e-09,7.582194534047325e-05,9.819593001870985e-06,5.744534909080958e-10,4.442386383650631e-10,12.026000999998775
0.008001000000000001,1.5205314578719718e-09,7.582192403887881e-05,9.819578715806686e-06,8.574472847603643e-10,6.630841731116076e-10,12.026000999998775
0.009001000000000002,2.1648845854042813e-09,7.582189989754004e-05,9.81956252526242e-06,1.220806628276202e-09,9.44077957128079e-10,12.026000999998775
0.010001000000000003,2.9695633437071375e-09,7.582187291643872e-05,9.819544430231429e-06,1.674575942456393e-09,1.2949874012507441e-09,12.026000999998775
0.011001000000000004,3.952379505849656e-09,7.582184309556587e-05,9.819524430713791e-06,2.2287996422486583e-09,1.7235798636009972e-09,12.026000999998775
0.012001000000000005,5.131144779604189e-09,7.582181043491758e-05,9.81950252671363e-06,2.8935221358751747e-09,2.2376226437290143e-09,12.026000999998775
0.013001000000000006,6.523670800917571e-09,7.582177493449298e-05,9.819478718237743e-06,3.6787878241600957e-09,2.8448829767574754e-09,12.026000999998775
0.014001000000000006,8.147769127382432e-09,7.58217365942931e-05,9.819453005294869e-06,4.594641099857074e-09,3.5531280275253575e-09,12.026000999998775
0.015001000000000007,1.0021251231708597e-08,7.582169541432037e-05,9.819425387895277e-06,5.6511263469767866e-09,4.37012488473181e-09,12.026000999998775
0.01600100000000001,1.2161928495194577e-08,7.582165139457812e-05,9.819395866050539e-06,6.858287940114462e-09,5.303640555080114e-09,12.026000999998775
0.01700100000000001,1.4587612201199152e-08,7.582160453507049e-05,9.819364439773375e-06,8.226170243777412e-09,6.36144195742174e-09,12.026000999998775
0.01800100000000001,1.731611352861306e-08,7.582155483580221e-05,9.819331109077568e-06,9.764817611712563e-09,7.551295916900499e-09,12.026000999998775
0.01900100000000001,2.0365243545330795e-08,7.582150229677858e-05,9.819295873977905e-06,1.1484274386233994e-08,8.880969159096802e-09,12.026000999998775
0.020001000000000012,2.3752813201722522e-08,7.582144691800538e-05,9.819258734490135e-06,1.3394584897550479e-08,1.0358228304172045e-08,12.026000999998775
0.021001000000000013,2.749663332410611e-08,7.582138869948879e-05,9.819219690630946e-06,1.5505793463093023e-08,1.1990839861013088e-08,12.026000999998775
0.022001000000000014,3.1614514608219306e-08,7.582132764123545e-05,9.819178742417941e-06,1.782794438684242e-08,1.3786570221376891e-08,12.026000999998775
0.023001000000000014,3.6124267612692047e-08,7.582126374325237e-05,9.819135889869636e-06,2.0371081958656796e-08,1.5753185654035258e-08,12.026000999998775
0.024001000000000015,4.10437027525189e-08,7.582119700554693e-05,9.819091133005438e-06,2.3145250453599166e-08,1.7898452298919738e-08,12.026000999998775
0.025001000000000016,4.639063029253166e-08,7.582112742812689e-05,9.819044471845645e-06,2.6160494131265e-08,2.023013616126667e-08,12.026000999998775
0.026001000000000017,5.218286034087213e-08,7.582105501100038e-05,9.818995906411441e-06,2.9426857235109777e-08,2.275600310576236e-08,12.026000999998775
0.027001000000000018,5.8438202842465026e-08,7.582097975417589e-05,9.81894543672489e-06,3.295438399177656e-08,2.5483818850688464e-08,12.026000999998775
0.02800100000000002,6.517446757249107e-08,7.582090165766225e-05,9.818893062808936e-06,3.675311861042359e-08,2.8421348962067488e-08,12.026000999998775
0.02900100000000002,7.240946412986029e-08,7.582082072146863e-05,9.818838784687396e-06,4.08331052820518e-08,3.157635884780849e-08,12.026000999998775
0.03000100000000002,8.016100193068545e-08,7.582073694560456e-05,9.818782602384966e-06,4.52043881788325e-08,3.495661375185296e-08,12.026000999998775
0.03100100000000002,8.844689020175574e-08,7.582065033007991e-05,9.81872451592721e-06,4.987701145343488e-08,3.856987874832087e-08,12.026000999998775
0.03200100000000002,9.728493797401058e-08,7.582056087490491e-05,9.818664525340567e-06,5.486101923835364e-08,4.2423918735656946e-08,12.026000999998775
0.03300100000000002,1.0669295407601371e-07,7.582046858009011e-05,9.818602630652347e-06,6.01664556452366e-08,4.652649843077711e-08,12.026000999998775
0.034001000000000024,1.1668874712742745e-07,7.58203734456464e-05,9.818538831890729e-06,6.580336476421231e-08,5.088538236321516e-08,12.026000999998775
0.035001000000000025,1.272901255324872e-07,7.582027547158501e-05,9.818473129084764e-06,7.178179066321762e-08,5.5508334869269604e-08,12.026000999998775
0.036001000000000026,1.385148974734762e-07,7.582017465791754e-05,9.81840552226437e-06,7.811177738732537e-08,6.040312008615082e-08,12.026000999998775
0.03700100000000003,1.503808709042003e-07,7.582007100465589e-05,9.818336011460338e-06,8.480336895807196e-08,6.557750194612833e-08,12.026000999998775
0.03800100000000003,1.629058535434634e-07,7.581996451181232e-05,9.818264596704322e-06,9.186660937278502e-08,7.103924417067837e-08,12.026000999998775
0.03900100000000003,1.7610765286854273e-07,7.581985517939944e-05,9.81819127802885e-06,9.931154260391104e-08,7.679611026463168e-08,12.026000999998775
0.04000100000000003,1.900040761086646e-07,7.581974300743015e-05,9.818116055467316e-06,1.0714821259834303e-07,8.285586351032158e-08,12.026000999998775
0.04100100000000003,2.0461293023848034e-07,7.581962799591772e-05,9.818038929053982e-06,1.1538666327674814e-07,8.922626696173219e-08,12.026000999998775
0.04200100000000003,2.1995202197154248e-07,7.581951014487577e-05,9.817959898823978e-06,1.2403693853289537e-07,9.591508343864708e-08,12.026000999998775
0.04300100000000003,2.360391577537813e-07,7.581938945431823e-05,9.817878964813302e-06,1.3310908223298323e-07,1.0293007552079805e-07,12.026000999998775
0.04400100000000003,2.5289214375698157e-07,7.581926592425939e-05,9.81779612705882e-06,1.4261313821496739e-07,1.1027900554201421e-07,12.026000999998775
0.045001000000000034,2.705287858722597e-07,7.581913955471387e-05,9.817711385598265e-06,1.5255915028788842e-07,1.1796963558437136e-07,12.026000999998775
0.046001000000000035,2.889668897035411e-07,7.58190103456966e-05,9.817624740470239e-06,1.6295716223119944e-07,1.260097274723417e-07,12.026000999998775
0.047001000000000036,3.082242605610375e-07,7.581887829722289e-05,9.817536191714207e-06,1.7381721779409386e-07,1.344070427669437e-07,12.026000999998775
0.04800100000000004,3.2831870345472553e-07,7.581874340930835e-05,9.817445739370508e-06,1.8514936069483309e-07,1.4316934275989247e-07,12.026000999998775
0.04900100000000004,3.492680230878245e-07,7.581860568196896e-05,9.817353383480342e-06,1.9696363462007427e-07,1.5230438846775024e-07,12.026000999998775
