r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0006150456620129873,0.0015376141550324683,0.0,0.0,7.5450010000008545
0.001001,4.7095153661380884e-11,0.0006150455455365426,0.0015376134248744771,5.13937446127083e-12,4.1955779200110057e-11,7.5450010000008545
0.002001,3.7619677205041126e-10,0.0006150452429866877,0.0015376115282755717,4.105341054868586e-11,3.3514336150172533e-10,7.5450010000008545
0.003001,1.2690286290630676e-09,0.0006150447403298802,0.0015376083772658533,1.3848599581901368e-10,1.130542633244054e-09,7.5450010000008545
0.004001,3.0073125624021563e-09,0.0006150440369531087,0.0015376039680065916,3.2818095740044884e-10,2.6791316050017073e-09,7.5450010000008545
0.005001,5.872767507396943e-09,0.0006150431327511421,0.0015375982998438145,6.408820318378937e-10,5.23188547555905e-09,7.5450010000008545
0.006001,1.0147108529950143e-08,0.0006150420276951268,0.0015375913726039631,1.1073328349107225e-09,9.039775695039421e-09,7.5450010000008545
0.007001,1.6112045859476622e-08,0.0006150407217753585,0.0015375831862351468,1.7582768314499078e-09,1.4353769028026715e-08,7.5450010000008545
0.008001000000000001,2.4049283921867263e-08,0.0006150392149885912,0.0015375737407275838,2.624457305155463e-09,2.1424826616711804e-08,7.5450010000008545
0.009001000000000002,3.424052037248754e-08,0.0006150375073342742,0.001537563036090015,3.736617328414398e-09,3.050390304407314e-08,7.5450010000008545
0.010001000000000003,4.696744512921754e-08,0.0006150355988132017,0.0015375510723412355,5.125499732119313e-09,4.184194539709823e-08,7.5450010000008545
0.011001000000000004,6.251173940553967e-08,0.0006150334894269568,0.001537537849506612,6.821847075487721e-09,5.568989233005195e-08,7.5450010000008545
0.012001000000000005,8.115507474368003e-08,0.0006150311791776577,0.00153752336761649,8.856401615882196e-09,7.229867312779784e-08,7.5450010000008545
0.013001000000000006,1.031791120478095e-07,0.0006150286680678317,0.001537507626705406,1.1259905278631446e-08,9.191920676917806e-08,7.5450010000008545
0.014001000000000006,1.288655006173105e-07,0.0006150259561003494,0.0015374906268116701,1.4063099626852394e-08,1.1480240099045809e-07,7.5450010000008545
0.015001000000000007,1.5849587718011536e-07,0.0006150230432783871,0.0015374723679771349,1.729672583127336e-08,1.41199151348842e-07,7.5450010000008545
0.01600100000000001,1.9235186492612252e-07,0.0006150199296054048,0.0015374528502470571,2.0991524640058456e-08,1.7136034028606408e-07,7.5450010000008545
0.01700100000000001,2.3071507254069597e-07,0.0006150166150851338,0.0015374320736700167,2.5178236348633237e-08,2.0553683619206277e-07,7.5450010000008545
0.01800100000000001,2.7386709323825464e-07,0.0006150130997215679,0.0015374100382978633,2.9887600769511765e-08,2.439794924687429e-07,7.5450010000008545
0.01900100000000001,3.2208950379595706e-07,0.0006150093835189581,0.0015373867441856833,3.515035720212514e-08,2.869391465938319e-07,7.5450010000008545
0.020001000000000012,3.756638635874875e-07,0.0006150054664818093,0.0015373621913917772,4.099724440265157e-08,3.346666191848359e-07,7.5450010000008545
0.021001000000000013,4.348717136169499e-07,0.0006150013486148774,0.001537336379977644,4.7459000553848125e-08,3.874127130631017e-07,7.5450010000008545
0.022001000000000014,4.999945755528748e-07,0.000614997029923168,0.0015373093100079702,5.4566363234884235e-08,4.454282123179905e-07,7.5450010000008545
0.023001000000000014,5.71313950762346e-07,0.0006149925104119351,0.0015372809815506225,6.235006939117702e-08,5.089638813711689e-07,7.5450010000008545
0.024001000000000015,6.491113193452523e-07,0.0006149877900866802,0.001537251394676642,7.084085530422854e-08,5.782704640410235e-07,7.5450010000008545
0.025001000000000016,7.336681391686706e-07,0.0006149828689531518,0.0015372205494602398,8.006945656146511e-08,6.535986826072054e-07,7.5450010000008545
0.026001000000000017,8.252658449013869e-07,0.0006149777470173445,0.0015371884459787944,9.006660802607868e-08,7.351992368753081e-07,7.5450010000008545
0.027001000000000018,9.241858470485592e-07,0.0006149724242854995,0.001537155084312848,1.0086304380687047e-07,8.233228032416886e-07,7.5450010000008545
0.02800100000000002,1.0307095309865308e-06,0.0006149669007641034,0.0015371204645461061,1.124894972280969e-07,9.182200337584338e-07,7.5450010000008545
0.02900100000000002,1.1451182559977983e-06,0.0006149611764598885,0.0015370845867654344,1.2497670079931785e-07,1.0201415551984804e-06,7.5450010000008545
0.03000100000000002,1.2676933543061406e-06,0.0006149552513798325,0.0015370474510608583,1.3835538618524748e-07,1.1293379681208932e-06,7.5450010000008545
0.03100100000000002,1.398716130111915e-06,0.0006149491255311583,0.0015370090575255611,1.5265628417560757e-07,1.2460598459363076e-06,7.5450010000008545
0.03200100000000002,1.5384678586275265e-06,0.0006149427989213343,0.0015369694062558835,1.6791012465498358e-07,1.3705577339725433e-06,7.5450010000008545
0.03300100000000002,1.6872297851130758e-06,0.0006149362715580736,0.0015369284973513226,1.8414763657268347e-07,1.5030821485403927e-06,7.5450010000008545
0.034001000000000024,1.8452831239121922e-06,0.0006149295434493345,0.0015368863309145305,2.0139954791259927e-07,1.6438835759995932e-06,7.5450010000008545
0.035001000000000025,2.0129090574880574e-06,0.0006149226146033202,0.0015368429070513141,2.1969658566307173e-07,1.793212471824986e-06,7.5450010000008545
0.036001000000000026,2.190388735459626e-06,0.0006149154850284787,0.001536798225870634,2.3906947578675786e-07,1.9513192596728685e-06,7.5450010000008545
0.03700100000000003,2.37800327363805e-06,0.0006149081547335029,0.0015367522874846044,2.5954894319050183e-07,2.1184543304475483e-06,7.5450010000008545
0.03800100000000003,2.5760337530633084e-06,0.0006149006237273303,0.0015367050920084913,2.811657116952088e-07,2.2948680413680996e-06,7.5450010000008545
0.03900100000000003,2.784761219041056e-06,0.0006148928920191436,0.0015366566395607125,3.039505040057222e-07,2.480810715035334e-06,7.5450010000008545
0.04000100000000003,3.00446668017969e-06,0.0006148849596183696,0.0015366069302628373,3.279340416807045e-07,2.6765326384989856e-06,7.5450010000008545
0.04100100000000003,3.235431107427643e-06,0.0006148768265346801,0.0015365559642395847,3.531470451025214e-07,2.8822840623251216e-06,7.5450010000008545
0.04200100000000003,3.477935433110909e-06,0.0006148684927779914,0.001536503741618824,3.796202334471294e-07,3.0983151996637797e-06,7.5450010000008545
0.04300100000000003,3.732260549970809e-06,0.0006148599583584646,0.0015364502625315728,4.0738432465396735e-07,3.324876225316842e-06,7.5450010000008545
0.04400100000000003,3.998687310201999e-06,0.0006148512232865049,0.0015363955271119976,4.3647003539585175e-07,3.5622172748061477e-06,7.5450010000008545
0.045001000000000034,4.2774965244907275e-06,0.0006148422875727625,0.001536339535497412,4.669080810488757e-07,3.8105884434418523e-06,7.5450010000008545
0.046001000000000035,4.568968961053353e-06,0.0006148331512281318,0.001536282287828277,4.98729175662312e-07,4.0702397853910415e-06,7.5450010000008545
0.047001000000000036,4.873385344675119e-06,0.0006148238142637517,0.0015362237842481993,5.319640319285202e-07,4.341421312746599e-06,7.5450010000008545
0.04800100000000004,5.1910263557492006e-06,0.0006148142766910058,0.0015361640249039311,5.666433611528575e-07,4.6243829945963435e-06,7.5450010000008545
0.04900100000000004,5.522172629316021e-06,0.0006148045385215217,0.0015361030099453696,6.027978732235948e-07,4.919374756092427e-06,7.5450010000008545
0.05000100000000004,5.867104754102853e-06,0.0006147945997671715,0.0015360407395255558,6.404582765818357e-07,5.226646477521018e-06,7.5450010000008545
0.05100100000000004,6.2261032715637005e-06,0.0006147844604400715,0.0015359772138006738,6.796552781914414e-07,5.54644799337226e-06,7.5450010000008545
0.05200100000000004,6.599448674919477e-06,0.0006147741205525828,0.00153591243293005,7.204195835089588e-07,5.879029091410519e-06,7.5450010000008545
0.05300100000000004,6.987421408198479e-06,0.00061476358011731,0.001535846397076153,7.62781896453554e-07,6.224639511744926e-06,7.5450010000008545
0.05400100000000004,7.390301865277161e-06,0.0006147528391471027,0.0015357791064045917,8.0677291937695e-07,6.583528945900211e-06,7.5450010000008545
