r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0007772085061098754,0.002331625518329626,0.0,0.0,7.5150010000008445
0.001001,6.380728643780656e-11,0.0007772083166439359,0.002331624104466557,5.818255549523815e-12,5.798903088828275e-11,7.5150010000008445
0.002001,5.096934510377082e-10,0.0007772078229625122,0.0023316204204400955,4.6476321653963725e-11,4.6321712938374446e-10,7.5150010000008445
0.003001,1.7193538937112346e-09,0.0007772070027038545,0.002331614299384952,1.567791546566028e-10,1.562574739054632e-09,7.5150010000008445
0.004001,4.07448044507262e-09,0.0007772058548915404,0.0023316057340250157,3.715316122905962e-10,3.7029488327820233e-09,7.5150010000008445
0.005001,7.956759585270473e-09,0.0007772043793584346,0.0023315947231274925,7.255384044695547e-10,7.231221180800921e-09,7.5150010000008445
0.006001,1.374787066126057e-08,0.0007772025760592627,0.002331581266373075,1.2536040440344548e-09,1.2494266617226117e-08,7.5150010000008445
0.007001,2.1829484104079622e-08,0.0007772004449794207,0.00233156536367545,1.99053279749977e-09,1.9838951306579857e-08,7.5150010000008445
0.008001000000000001,3.258325964618429e-08,0.0007771979861147516,0.002331547015030381,2.9711286358003937e-09,2.9612131010383902e-08,7.5150010000008445
0.009001000000000002,4.639084453887652e-08,0.0007771951994655493,0.0023315262204709683,4.230195185039741e-09,4.216064935383679e-08,7.5150010000008445
0.010001000000000003,6.363387176983145e-08,0.0007771920850344069,0.0023315029800515885,5.802535677239267e-09,5.783133609259219e-08,7.5150010000008445
0.011001000000000004,8.469395828074283e-08,0.0007771886428253311,0.0023314772938412822,7.72295290108962e-09,7.697100537965322e-08,7.5150010000008445
0.012001000000000005,1.099527031851011e-07,0.0007771848728433369,0.002331449161920737,1.0026249152703654e-08,9.992645403239746e-08,7.5150010000008445
0.013001000000000006,1.3979168598611854e-07,0.000777180775094248,0.002331418584380791,1.2747226186371464e-08,1.270444597997471e-07,7.5150010000008445
0.014001000000000006,1.7459246479481664e-07,0.0007771763495845906,0.0023313855613216437,1.5920685165317716e-08,1.5867177962949892e-07,7.5150010000008445
0.015001000000000007,2.1473657454828997e-07,0.0007771715963215341,0.002331350092852411,1.958142661246141e-08,1.9515514793582856e-07,7.5150010000008445
0.01600100000000001,2.606055252281618e-07,0.000777166515312857,0.002331312179090869,2.3764250361178323e-08,2.3684127486698347e-07,7.5150010000008445
0.01700100000000001,3.1258080007924565e-07,0.0007771611065669253,0.002331271820163297,2.8503955506066343e-08,2.840768445731793e-07,7.5150010000008445
0.01800100000000001,3.7104385382842794e-07,0.0007771553700926796,0.0023312290162043753,3.3835340353713846e-08,3.372085134747141e-07,7.5150010000008445
0.01900100000000001,4.363761109037862e-07,0.0007771493058996265,0.002331183767357125,3.979320237347139e-08,3.965829085303148e-07,7.5150010000008445
0.020001000000000012,5.089589636539574e-07,0.000777142913997833,0.002331136073772861,4.641233814822688e-08,4.625466255057306e-07,7.5150010000008445
0.021001000000000013,5.891737705677719e-07,0.0007771361943979224,0.0023310859356111633,5.372754332518445e-08,5.354462272425876e-07,7.5150010000008445
0.022001000000000014,6.774018544941663e-07,0.0007771291471110719,0.0023310333530398583,6.17736125666472e-08,6.156282419275192e-07,7.5150010000008445
0.023001000000000014,7.740245008623916e-07,0.0007771217721490103,0.002330978326235001,7.058533950080412e-08,7.034391613615875e-07,7.5150010000008445
0.024001000000000015,8.794229559025295e-07,0.0007771140695240169,0.002330920855380864,8.019751667252122e-08,7.992254392300084e-07,7.5150010000008445
0.025001000000000016,9.939784248663337e-07,0.0007771060392489205,0.0023308609406699314,9.064493549413723e-08,9.033334893721965e-07,7.5150010000008445
0.026001000000000017,1.1180720702484086e-06,0.0007770976813370982,0.002330798582302889,1.0196238619626408e-07,1.0161096840521447e-06,7.5150010000008445
0.027001000000000018,1.2520850100077424e-06,0.0007770889958024755,0.0023307337804886205,1.1418465777859217e-07,1.1379003522291503e-06,7.5150010000008445
0.02800100000000002,1.3963983157896065e-06,0.0007770799826595253,0.0023306665354442036,1.273465379607009e-07,1.2690517778289055e-06,7.5150010000008445
0.02900100000000002,1.5513930111478386e-06,0.0007770706419232678,0.002330596847394905,1.4148281313287444e-07,1.4099101980149643e-06,7.5150010000008445
0.03000100000000002,1.7174500697675236e-06,0.00077706097360927,0.002330524716574178,1.566282683069231e-07,1.5608218014606006e-06,7.5150010000008445
0.03100100000000002,1.894950413688084e-06,0.0007770509777336456,0.0023304501432236595,1.728176870670104e-07,1.7221327266210737e-06,7.5150010000008445
0.03200100000000002,2.0842749115267997e-06,0.0007770406543130549,0.0023303731275931662,1.9008585152048617e-07,1.8941890600063137e-06,7.5150010000008445
0.03300100000000002,2.2858043767027676e-06,0.0007770300033647043,0.002330293669940694,2.084675422487257e-07,2.077336834454042e-06,7.5150010000008445
0.034001000000000024,2.499919565661316e-06,0.0007770190249063465,0.002330211770532414,2.2799753825797534e-07,2.2719220274033403e-06,7.5150010000008445
0.035001000000000025,2.727001176098892e-06,0.0007770077189562803,0.0023301274296426712,2.487106169302045e-07,2.478290559168687e-06,7.5150010000008445
0.036001000000000026,2.9674298451884317e-06,0.0007769960855333502,0.002330040647553982,2.7064155397396477e-07,2.6967882912144664e-06,7.5150010000008445
0.03700100000000003,3.2215861478052323e-06,0.0007769841246569466,0.0023299514245570313,2.938251233752556e-07,2.927761024429976e-06,7.5150010000008445
0.03800100000000003,3.4898505947533367e-06,0.0007769718363470056,0.002329859760950671,3.1829609734839727e-07,3.1715544974049388e-06,7.5150010000008445
0.03900100000000003,3.772603630992448e-06,0.0007769592206240088,0.0023297656570419184,3.440892462869117e-07,3.4285143847055356e-06,7.5150010000008445
0.04000100000000003,4.070225633865387e-06,0.0007769462775089833,0.0023296691131459526,3.7123933871440994e-07,3.6989862951509764e-06,7.5150010000008445
0.04100100000000003,4.38309691132611e-06,0.0007769330070235016,0.0023295701295861135,3.997811412354884e-07,3.983315770090621e-06,7.5150010000008445
0.04200100000000003,4.7115977001682974e-06,0.0007769194091896815,0.002329468706693899,4.2974941848663245e-07,4.2818482816816645e-06,7.5150010000008445
