r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,5e-05,5.000000000000001e-07,0.0,0.0,9.511001000000169
0.001001,2.2763287253474663e-12,4.99999986073208e-05,4.999998735737564e-07,2.0713263316085092e-12,2.0500239373895686e-13,9.511001000000169
0.002001,1.8183354381755704e-11,4.999999509752056e-05,4.99999554957132e-07,1.6545791874557812e-11,1.6375625071978906e-12,9.511001000000169
0.003001,6.133815427760016e-11,4.9999989270231536e-05,4.999990259611403e-07,5.581414441497654e-11,5.524009862623613e-12,9.511001000000169
0.004001,1.4535780062177897e-10,4.999998111669318e-05,4.999982857908919e-07,1.322671303818187e-10,1.3090670239960282e-11,9.511001000000169
0.005001,2.8385935797985613e-10,4.9999970635391425e-05,4.999973343094808e-07,2.582954941698395e-10,2.5563863810016693e-11,9.511001000000169
0.006001,4.904598807273275e-10,4.9999957825899345e-05,4.999961714788449e-07,4.4628997746180263e-10,4.416990326552498e-11,9.511001000000169
0.007001,7.787764105027979e-10,4.999994268806009e-05,4.999947972855947e-07,7.086413185506605e-10,7.013509195213768e-11,9.511001000000169
0.008001000000000001,1.1624259736611627e-09,4.9999925221805705e-05,4.999932117245629e-07,1.0577402516617306e-09,1.0468572199943243e-10,9.511001000000169
0.009001000000000002,1.6550255787268085e-09,4.999990542710338e-05,4.999914147939282e-07,1.5059775062748724e-09,1.490480724519365e-10,9.511001000000169
0.010001000000000003,2.2701922138468404e-09,4.999988330393619e-05,4.999894064934648e-07,2.065743806446664e-09,2.0444840740017677e-10,9.511001000000169
0.011001000000000004,3.021542844244339e-09,4.999985885229515e-05,4.999871868238215e-07,2.74942987013258e-09,2.721129741117594e-10,9.511001000000169
0.012001000000000005,3.922694409671654e-09,4.999983207217558e-05,4.999847557861932e-07,3.569426408509171e-09,3.532680011624834e-10,9.511001000000169
0.013001000000000006,4.9872638218637335e-09,4.9999802963575324e-05,4.999821133821577e-07,4.5381241252962424e-09,4.4913969656749113e-10,9.511001000000169
0.014001000000000006,6.2288679619915e-09,4.9999771526493795e-05,4.999792596135895e-07,5.667913716079039e-09,5.60954245912461e-10,9.511001000000169
0.015001000000000007,7.661123678115269e-09,4.999973776093146e-05,4.999761944826121e-07,6.971185867630425e-09,6.899378104848441e-10,9.511001000000169
0.01600100000000001,9.297647782638219e-09,4.99997016668895e-05,4.999729179915692e-07,8.460331257233069e-09,8.37316525405151e-10,9.511001000000169
0.01700100000000001,1.1152057049759921e-08,4.9999663244369656e-05,4.999694301430081e-07,1.0147740552001632e-08,1.0043164977582895e-09,9.511001000000169
0.01800100000000001,1.3237968212929916e-08,4.999962249337408e-05,4.999657309396692e-07,1.2045804408204956e-08,1.1921638047249602e-09,9.511001000000169
0.01900100000000001,1.5568997962301364e-08,4.999957941390528e-05,4.999618203844784e-07,1.4166913470588254e-08,1.4020844917131114e-09,9.511001000000169
0.020001000000000012,1.8158762942184758e-08,4.999953400596607e-05,4.999576984805429e-07,1.65234583716953e-08,1.6353045704894579e-09,9.511001000000169
0.021001000000000013,2.1020879748501695e-08,4.99994862695595e-05,4.999533652311482e-07,1.912782973119063e-08,1.8930500173110673e-09,9.511001000000169
0.022001000000000014,2.416896492623874e-08,4.999943620468889e-05,4.999488206397554e-07,2.1992418155181727e-08,2.1765467710570183e-09,9.511001000000169
0.023001000000000014,2.7616634966901368e-08,4.999938381135778e-05,4.999440647100004e-07,2.5129614235541238e-08,2.487020731360133e-09,9.511001000000169
0.024001000000000015,3.137750630596795e-08,4.99993290895699e-05,4.99939097445692e-07,2.855180854922916e-08,2.82569775673879e-09,9.511001000000169
0.025001000000000016,3.546519532034387e-08,4.99992720393292e-05,4.999339188508116e-07,3.227139165761506e-08,3.193803662728817e-09,9.511001000000169
0.026001000000000017,3.989331832581573e-08,4.999921266063982e-05,4.999285289295127e-07,3.630075410580027e-08,3.5925642200154724e-09,9.511001000000169
0.027001000000000018,4.4675491574505605e-08,4.999915095350609e-05,4.999229276861199e-07,4.0652286421940097e-08,4.023205152565517e-09,9.511001000000169
0.02800100000000002,4.982533125232543e-08,4.999908691793253e-05,4.999171151251291e-07,4.533837911656606e-08,4.486952135759377e-09,9.511001000000169
0.02900100000000002,5.535645347643149e-08,4.999902055392384e-05,4.999110912512071e-07,5.037142268190808e-08,4.985030794523409e-09,9.511001000000169
0.03000100000000002,6.128247429267898e-08,4.999895186148491e-05,4.999048560691912e-07,5.576380759121671e-08,5.51866670146226e-09,9.511001000000169
0.03100100000000002,6.761700967307673e-08,4.99988808406208e-05,4.998984095840891e-07,6.152792429808538e-08,6.089085374991341e-09,9.511001000000169
0.03200100000000002,7.437367551324199e-08,4.9998807491336754e-05,4.99891751801079e-07,6.767616323577257e-08,6.6975122774694016e-09,9.511001000000169
0.03300100000000002,8.156608762985536e-08,4.99987318136382e-05,4.998848827255092e-07,7.422091481652412e-08,7.345172813331219e-09,9.511001000000169
0.034001000000000024,8.920786175811582e-08,4.999865380753072e-05,4.998778023628983e-07,8.11745694308954e-08,8.03329232722041e-09,9.511001000000169
0.035001000000000025,9.731261354919593e-08,4.9998573473020114e-05,4.998705107189348e-07,8.854951744707356e-08,8.763096102122353e-09,9.511001000000169
0.036001000000000026,1.0589395856769709e-07,4.999849081011231e-05,4.998630077994775e-07,9.635814921019982e-08,9.535809357497242e-09,9.511001000000169
0.03700100000000003,1.1496551228910496e-07,4.999840581881345e-05,4.998552936105548e-07,1.0461285504169168e-07,1.0352657247413263e-08,9.511001000000169
0.03800100000000003,1.2454089009724507e-07,4.9998318499129825e-05,4.998473681583654e-07,1.1332602523856515e-07,1.1214864858679905e-08,9.511001000000169
0.03900100000000003,1.346337072817385e-07,4.9998228851067916e-05,4.998392314492775e-07,1.2251005007275709e-07,1.2123657208981403e-08,9.511001000000169
0.04000100000000003,1.4525757903545767e-07,4.999813687463437e-05,4.998308834898295e-07,1.3217731979044733e-07,1.3080259245010325e-08,9.511001000000169
0.04100100000000003,1.5642612045198243e-07,4.9998042569836014e-05,4.998223242867295e-07,1.423402246113811e-07,1.40858958406013e-08,9.511001000000169
0.04200100000000003,1.6815294652305613e-07,4.9997945936679846e-05,4.998135538468555e-07,1.5301115472819123e-07,1.5141791794864883e-08,9.511001000000169
0.04300100000000003,1.8045167213604197e-07,4.999784697517304e-05,4.998045721772551e-07,1.6420250030572036e-07,1.6249171830321586e-08,9.511001000000169
0.04400100000000003,1.9333591207137942e-07,4.999774568532293e-05,4.997953792851458e-07,1.7592665148034332e-07,1.740926059103605e-08,9.511001000000169
0.045001000000000034,2.0681928100004082e-07,4.999764206713706e-05,4.997859751779149e-07,1.881959983592894e-07,1.8623282640751382e-08,9.511001000000169
0.046001000000000035,2.2091539348098828e-07,4.99975361206231e-05,4.997763598631193e-07,2.0102293101996457e-07,1.9892462461023654e-08,9.511001000000169
0.047001000000000036,2.356378639586305e-07,4.9997427845788924e-05,4.997665333484857e-07,2.1441983950927388e-07,2.1218024449356553e-08,9.511001000000169
0.04800100000000004,2.5100030676028e-07,4.999731724264258e-05,4.997564956419103e-07,2.283991138429437e-07,2.2601192917336225e-08,9.511001000000169
0.04900100000000004,2.670163360936104e-07,4.999720431119227e-05,4.997462467514591e-07,2.4297314400484406e-07,2.4043192088766268e-08,9.511001000000169
0.05000100000000004,2.8369956604411384e-07,4.999708905144638e-05,4.99735786685368e-07,2.581543199463109e-07,2.5545246097802908e-08,9.511001000000169
0.05100100000000004,3.0106361057255885e-07,4.9996971463413484e-05,4.997251154520422e-07,2.7395503158546846e-07,2.7108578987090374e-08,9.511001000000169
0.05200100000000004,3.1912208351244805e-07,4.99968515471023e-05,4.997142330600567e-07,2.903876688065516e-07,2.8734414705896427e-08,9.511001000000169
0.05300100000000004,3.3788859856747625e-07,4.999672930252175e-05,4.997031395181559e-07,3.0746462145922813e-07,3.042397710824809e-08,9.511001000000169
0.05400100000000004,3.5737676930898875e-07,4.99966047296809e-05,4.996918348352541e-07,3.2519827935792116e-07,3.217848995106757e-08,9.511001000000169
0.05500100000000004,3.7760020917343975e-07,4.9996477828589013e-05,4.99680319020435e-07,3.4360103228113136e-07,3.3999176892308396e-08,9.511001000000169
0.056001000000000044,3.985725314598511e-07,4.999634859925551e-05,4.99668592082952e-07,3.6268526997075944e-07,3.5887261489091696e-08,9.511001000000169
0.057001000000000045,4.203073493272711e-07,4.999621704168998e-05,4.996566540322279e-07,3.8246338213142837e-07,3.784396719584274e-08,9.511001000000169
0.058001000000000046,4.4281827579223365e-07,4.999608315590221e-05,4.99644504877855e-07,4.0294775842980597e-07,3.987051736242768e-08,9.511001000000169
0.059001000000000046,4.661189237262175e-07,4.9995946941902134e-05,4.996321446295954e-07,4.2415078849392704e-07,4.196813523229044e-08,9.511001000000169
0.06000100000000005,4.902229058531058e-07,4.9995808399699874e-05,4.996195732973805e-07,4.460848619125159e-07,4.413804394058989e-08,9.511001000000169
0.06100100000000005,5.151438347466459e-07,4.999566752930572e-05,4.996067908913111e-07,4.6876236823430867e-07,4.6381466512337235e-08,9.511001000000169
0.06200100000000005,5.408953228279093e-07,4.999552433073014e-05,4.995937974216577e-07,4.921956969673758e-07,4.8699625860533556e-08,9.511001000000169
0.06300100000000004,5.674909823627519e-07,4.9995378803983764e-05,4.995805928988601e-07,5.163972375784442e-07,5.109374478430765e-08,9.511001000000169
0.06400100000000004,5.949444254592742e-07,4.9995230949077406e-05,4.995671773335277e-07,5.413793794922201e-07,5.356504596705406e-08,9.511001000000169
0.06500100000000004,6.232692640652824e-07,4.999508076602205e-05,4.995535507364393e-07,5.671545120907111e-07,5.611475197457137e-08,9.511001000000169
0.06600100000000005,6.524791099657493e-07,4.999492825482885e-05,4.995397131185429e-07,5.937350247125486e-07,5.8744085253200684e-08,9.511001000000169
0.06700100000000005,6.82587574780275e-07,4.999477341550913e-05,4.995256644909561e-07,6.211333066523105e-07,6.145426812796439e-08,9.511001000000169
0.06800100000000005,7.136082699605488e-07,4.9994616248074396e-05,4.99511404864966e-07,6.493617471598436e-07,6.424652280070513e-08,9.511001000000169
0.06900100000000005,7.455548067878108e-07,4.9994456752536315e-05,4.994969342520288e-07,6.784327354395856e-07,6.712207134822512e-08,9.511001000000169
0.07000100000000005,7.784407963703138e-07,4.999429492890674e-05,4.9948225266377e-07,7.083586606498882e-07,7.008213572042553e-08,9.511001000000169
0.07100100000000005,8.122798496407855e-07,4.999413077719769e-05,4.994673601119848e-07,7.391519119023391e-07,7.312793773844632e-08,9.511001000000169
0.07200100000000005,8.47085577353891e-07,4.999396429742136e-05,4.994522566086374e-07,7.708248782610847e-07,7.626069909280616e-08,9.511001000000169
0.07300100000000005,8.828715900836954e-07,4.9993795489590114e-05,4.994369421658614e-07,8.033899487421526e-07,7.948164134154281e-08,9.511001000000169
0.07400100000000005,9.196514982211275e-07,4.999362435371649e-05,4.994214167959597e-07,8.368595123127738e-07,8.279198590835356e-08,9.511001000000169
0.07500100000000005,9.57438911971442e-07,4.999345088981319e-05,4.994056805114045e-07,8.712459578907057e-07,8.619295408073603e-08,9.511001000000169
0.07600100000000005,9.962474413516838e-07,4.9993275097893115e-05,4.993897333248371e-07,9.065616743435543e-07,8.968576700812935e-08,9.511001000000169
0.07700100000000006,1.0360906961881521e-06,4.9993096977969316e-05,4.993735752490681e-07,9.428190504880966e-07,9.327164570005539e-08,9.511001000000169
0.07800100000000006,1.076982286113864e-06,4.9992916530055015e-05,4.993572062970775e-07,9.800304750896034e-07,9.695181102426049e-08,9.511001000000169
0.07900100000000006,1.1189358205660193e-06,4.999273375416362e-05,4.993406264820141e-07,1.0182083368611619e-06,1.007274837048573e-07,9.511001000000169
0.08000100000000006,1.161964908783465e-06,4.999254865030871e-05,4.993238358171961e-07,1.0573650244629977e-06,1.0459988432046704e-07,9.511001000000169
0.08100100000000006,1.2060831598041606e-06,4.999236121850403e-05,4.993068343161109e-07,1.0975129265017984e-06,1.0857023330236201e-07,9.511001000000169
0.08200100000000006,1.2513041824626432e-06,4.999217145876349e-05,4.99289621992415e-07,1.1386644315300347e-06,1.1263975093260836e-07,9.511001000000169
0.08300100000000006,1.2976415853874937e-06,4.99919793711012e-05,4.992721988599339e-07,1.1808319280452845e-06,1.1680965734220914e-07,9.511001000000169
0.08400100000000006,1.3451089769988022e-06,4.999178495553142e-05,4.992545649326622e-07,1.2240278044895542e-06,1.2108117250924784e-07,9.511001000000169
0.08500100000000006,1.3937199655056346e-06,4.999158821206858e-05,4.992367202247637e-07,1.2682644492486026e-06,1.254555162570319e-07,9.511001000000169
0.08600100000000006,1.4434881589034992e-06,4.999138914072731e-05,4.992186647505712e-07,1.313554250651262e-06,1.2993390825223695e-07,9.511001000000169
0.08700100000000006,1.4944271649718135e-06,4.999118774152238e-05,4.992003985245865e-07,1.3599095969687626e-06,1.3451756800305092e-07,9.511001000000169
0.08800100000000007,1.546550591271372e-06,4.999098401446875e-05,4.991819215614805e-07,1.4073428764140532e-06,1.3920771485731885e-07,9.511001000000169
0.08900100000000007,1.599872045141813e-06,4.9990777959581555e-05,4.99163233876093e-07,1.4558664771411254e-06,1.4400556800068778e-07,9.511001000000169
0.09000100000000007,1.6544051336990875e-06,4.9990569576876096e-05,4.991443354834327e-07,1.5054927872443354e-06,1.489123464547521e-07,9.511001000000169
