r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,5e-05,1.321296340281869e-06,0.0,0.0,9.465001000000195
0.001001,2.4431764639520567e-12,4.999999851978072e-05,1.3212960954155064e-06,2.0713263307770037e-12,3.7185013317505356e-13,9.465001000000195
0.002001,1.9516137009541005e-11,4.9999994796281924e-05,1.3212954794530959e-06,1.654579186160778e-11,2.970345147933225e-12,9.465001000000195
0.003001,6.583404732409414e-11,4.999998861444956e-05,1.3212944568194855e-06,5.581414432619914e-11,1.001990299789499e-11,9.465001000000195
0.004001,1.5601206662637133e-10,4.999997996488103e-05,1.3212930259597832e-06,1.3226713001851048e-10,2.3744936607860846e-11,9.465001000000195
0.005001,3.0466534443980825e-10,4.999996884595137e-05,1.3212911866059356e-06,2.582954930745534e-10,4.636985136525484e-11,9.465001000000195
0.006001,5.264090173620647e-10,4.9999955257202455e-05,1.3212889386831336e-06,4.462899747533671e-10,8.011904260869758e-11,9.465001000000195
0.007001,8.358582058344542e-10,4.9999939198466076e-05,1.321286282164742e-06,7.086413127179637e-10,1.2721689311649054e-10,9.465001000000195
0.008001000000000001,1.2476280109113754e-09,4.999992066966944e-05,1.321283217040126e-06,1.057740240316271e-09,1.8988777059510439e-10,9.465001000000195
0.009001000000000002,1.7763335110297612e-09,4.999989967077751e-05,1.3212797433051142e-06,1.5059774858620745e-09,2.703560251676868e-10,9.465001000000195
0.010001000000000003,2.436589758778556e-09,4.999987620177232e-05,1.321275860958574e-06,2.06574377191596e-09,3.7084598686259626e-10,9.465001000000195
0.011001000000000004,3.2430117776682238e-09,4.9999850262644424e-05,1.3212715700010024e-06,2.7494298145662577e-09,4.935819631019661e-10,9.465001000000195
0.012001000000000005,4.210214558900291e-09,4.9999821853389055e-05,1.3212668704338834e-06,3.569426322709988e-09,6.407882361903033e-10,9.465001000000195
0.013001000000000006,5.352813058136932e-09,4.999979097400416e-05,1.3212617622593682e-06,4.538123997333806e-09,8.146890608031256e-10,9.465001000000195
0.014001000000000006,6.685422192270595e-09,4.999975762448941e-05,1.3212562454801075e-06,5.667913530794954e-09,1.0175086614756412e-09,9.465001000000195
0.015001000000000007,8.222656836193681e-09,4.99997218048456e-05,1.3212503200991574e-06,6.971185606102209e-09,1.251471230091474e-09,9.465001000000195
0.01600100000000001,9.979131819568273e-09,4.999968351507435e-05,1.3212439861199238e-06,8.460330896196833e-09,1.518800923371441e-09,9.465001000000195
0.01700100000000001,1.196946192359591e-08,4.999964275517786e-05,1.3212372435461298e-06,1.014774006323353e-08,1.8217218603623808e-09,9.465001000000195
0.01800100000000001,1.4208261877787447e-08,4.9999599525158834e-05,1.321230092381794e-06,1.2045803757861406e-08,2.162458119926042e-09,9.465001000000195
0.01900100000000001,1.6710146356732954e-08,4.999955382502036e-05,1.3212225326312174e-06,1.4166912618504921e-08,2.543233738228033e-09,9.465001000000195
0.020001000000000012,1.948972997687169e-08,4.999950565476589e-05,1.3212145642989743e-06,1.6523457270644853e-08,2.9662727062268365e-09,9.465001000000195
0.021001000000000013,2.2561627293262163e-08,4.999945501439915e-05,1.321206187389906e-06,1.9127828326099266e-08,3.4337989671628954e-09,9.465001000000195
0.022001000000000014,2.5940452796352244e-08,4.999940190392417e-05,1.3211974019091168e-06,2.1992416382304472e-08,3.9480364140477685e-09,9.465001000000195
0.023001000000000014,2.964082090874938e-08,4.999934632334523e-05,1.3211882078619706e-06,2.5129612021596008e-08,4.511208887153368e-09,9.465001000000195
0.024001000000000015,3.367734598199088e-08,4.999928827266687e-05,1.3211786052540895e-06,2.8551805810489597e-08,5.125540171501275e-09,9.465001000000195
0.025001000000000016,3.8064642293314283e-08,4.999922775189387e-05,1.3211685940913512e-06,3.227138829896214e-08,5.793253994352137e-09,9.465001000000195
0.026001000000000017,4.281732404242786e-08,4.999916476103123e-05,1.3211581743798888e-06,3.6300750019732686e-08,6.516574022695162e-09,9.465001000000195
0.027001000000000018,4.7950005348281135e-08,4.999909930008418e-05,1.3211473461260893e-06,4.065228148754342e-08,7.297723860737699e-09,9.465001000000195
0.02800100000000002,5.347730024583559e-08,4.999903136905819e-05,1.3211361093365933e-06,4.533837319844066e-08,8.138927047394915e-09,9.465001000000195
0.02900100000000002,5.941382268283541e-08,4.999896096795893e-05,1.3211244640182942e-06,5.037141562905582e-08,9.042407053779578e-09,9.465001000000195
0.03000100000000002,6.577418651657839e-08,4.999888809679231e-05,1.3211124101783378e-06,5.5763799235886435e-08,1.0010387280691933e-08,9.465001000000195
