r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0015771391534857848,0.002234130366069142,0.0,0.0,8.342001000000817
0.001001,6.055811061772955e-11,0.0015771388107658306,0.0022341290471736396,9.16709873150927e-12,5.139101188622028e-11,8.342001000000817
0.002001,4.837389979400498e-10,0.0015771379060170964,0.002234125565414354,7.322693402551042e-11,4.105120639145394e-10,8.342001000000817
0.003001,1.6318015545944128e-09,0.0015771364023401521,0.0022341197787961622,2.4701731431825834e-10,1.3847842402761544e-09,8.342001000000817
0.004001,3.867001420431857e-09,0.0015771342981240114,0.0022341116811289198,5.853758672762716e-10,3.2816255531555855e-09,8.342001000000817
0.005001,7.551589359077167e-09,0.0015771315930932,0.002234101271365734,1.1431399495738897e-09,6.4084494095032766e-09,8.342001000000817
0.006001,1.3047809633202912e-08,0.0015771282871734202,0.002234088549237677,1.9751465565988675e-09,1.1072663076604043e-08,8.342001000000817
0.007001,2.0717898379807874e-08,0.0015771243803410747,0.0022340735146747074,3.136232232156821e-09,1.7581666147651052e-08,8.342001000000817
0.008001000000000001,3.092408198555342e-08,0.0015771198725898965,0.0022340561676772504,4.681232978177153e-09,2.6242849007376268e-08,8.342001000000817
0.009001000000000002,4.402857546217607e-08,0.0015771147639210544,0.002234036508278122,6.6649841644211226e-09,3.736359129775494e-08,8.342001000000817
0.010001000000000003,6.039358082199034e-08,0.0015771090543396022,0.002234014536528862,9.1423204381925e-09,5.125126038379783e-08,8.342001000000817
0.011001000000000004,8.038128545349528e-08,0.001577102743853017,0.00223399025249411,1.2168075634051195e-08,6.821320981944409e-08,8.342001000000817
0.012001000000000005,1.0435386049709767e-07,0.0015770958324705319,0.0022339636562490367,1.5797082683530236e-08,8.855677781356743e-08,8.342001000000817
0.013001000000000006,1.3267345922096486e-07,0.0015770883202028045,0.002233934747878069,2.008417352485648e-08,1.1258928569610837e-07,8.342001000000817
0.014001000000000006,1.657022153970204e-07,0.001577080207061743,0.0022339035274742186,2.508417901267543e-08,1.4061803638434498e-07,8.342001000000817
0.015001000000000007,2.038022416770953e-07,0.0015770714930604087,0.002233869995138707,3.085192882778051e-08,1.7295031284931482e-07,8.342001000000817
0.01600100000000001,2.47335627969248e-07,0.0015770621782129582,0.002233834150980743,3.744225138684722e-08,2.0989337658240077e-07,8.342001000000817
0.01700100000000001,2.9666443981426566e-07,0.0015770522625346093,0.002233795995117391,4.490997375217249e-08,2.517544660620932e-07,8.342001000000817
0.01800100000000001,3.521507167623605e-07,0.0015770417460416188,0.002233755527673485,5.3309921541419605e-08,2.9884079522094094e-07,8.342001000000817
0.01900100000000001,4.1415647075007325e-07,0.0015770306287512688,0.002233712748781573,6.269691883736918e-08,3.514595519127041e-07,8.342001000000817
0.020001000000000012,4.830436844773972e-07,0.001577018910681857,0.002233667658581883,7.312578809767637e-08,4.099178963797209e-07,8.342001000000817
0.021001000000000013,5.591743097851359e-07,0.0015770065918526905,0.002233620257222295,8.465135006463491e-08,4.7452295972050097e-07,8.342001000000817
0.022001000000000014,6.429102660325066e-07,0.0015769936722840807,0.002233570544858325,9.732842367494809e-08,5.455818423575586e-07,8.342001000000817
0.023001000000000014,7.346134384750041e-07,0.001576980151997341,0.00223351852165311,1.1121182596950735e-07,6.234016125054968e-07,8.342001000000817
0.024001000000000015,8.346456766425358e-07,0.0015769660310147844,0.0022334641877774,1.2635637200317862e-07,7.082893046393573e-07,8.342001000000817
0.025001000000000016,9.433687927178426e-07,0.001576951309359721,0.002233407543409551,1.4281687475459682e-07,8.005519179632458e-07,8.342001000000817
0.026001000000000017,1.0611445599152175e-06,0.0015769359870564574,0.002233348588735518,1.6064814503596906e-07,9.004964148792485e-07,8.342001000000817
0.027001000000000018,1.1883347108595358e-06,0.0015769200641302958,0.0022332873239488504,1.799049914028867e-07,1.0084297194566493e-06,8.342001000000817
0.02800100000000002,1.3253009359656095e-06,0.0015769035406075329,0.0022332237492506896,2.0064222006414677e-07,1.124658715901463e-06,8.342001000000817
