r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0002227657193418788,0.001812935555738444,0.0,0.0,10.77100099999947
0.001001,6.37890059266204e-11,0.00022276566292741518,0.001812934275307952,2.1168795844880495e-12,6.167212634213235e-11,10.77100099999947
0.002001,5.095474096728726e-10,0.00022276551875848486,0.0018129310031298066,1.6909669606377388e-11,4.926377400664951e-10,10.77100099999947
0.003001,1.7188610924431016e-09,0.0002227652793219106,0.0018129255686846384,5.704160154249446e-11,1.661819490900607e-09,10.77100099999947
0.004001,4.073312068514773e-09,0.000222764944289589,0.001812917964535746,1.3517587536692615e-10,3.9381361931478466e-09,10.77100099999947
0.005001,7.954476555966611e-09,0.00022276451360530563,0.0018129081894215353,2.6397564383361406e-10,7.690500912133e-09,10.77100099999947
0.006001,1.374392304545994e-08,0.000222763987253772,0.001812896243013383,4.561039967428687e-10,1.3287819048717072e-08,10.77100099999947
0.007001,2.1823210369017395e-08,0.0002227633652299871,0.0018128821252202424,7.242239452075687e-10,2.109898642380983e-08,10.77100099999947
0.008001000000000001,3.2573885768878154e-08,0.00022276264753244286,0.0018128658360344258,1.0809984059196165e-09,3.149288736295854e-08,10.77100099999947
0.009001000000000002,4.637748296645505e-08,0.0002227618341611095,0.0018128473754858811,1.5390901854167849e-09,4.483839278103827e-08,10.77100099999947
0.010001000000000003,6.361552023141279e-08,0.00022276092511671258,0.0018128267436257814,2.1111619643500345e-09,6.150435826706276e-08,10.77100099999947
0.011001000000000004,8.466949845088508e-08,0.0002227599204004354,0.0018128039405197688,2.8098762817513785e-09,8.185962216913371e-08,10.77100099999947
0.012001000000000005,1.0992089919884836e-07,0.000222758820013783,0.0018127789662448698,3.6478955193023613e-09,1.0627300367954601e-07,10.77100099999947
0.013001000000000006,1.3975118280566943e-07,0.0002227576239585149,0.0018127518208879672,4.637881885603223e-09,1.3511330092006622e-07,10.77100099999947
