r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,1e-05,1.0000000000000001e-07,0.0,0.0,11.571000999999027
0.001001,1.5905048270580214e-12,9.999999422846259e-06,9.999997165099686e-08,1.5144724973279174e-12,7.603232973010422e-14,11.571000999999027
0.002001,1.2704980906336741e-11,9.999998009587312e-06,9.999990223366809e-08,1.2097633405074423e-11,6.073475012623166e-13,11.571000999999027
0.003001,4.285788339319762e-11,9.999995664707937e-06,9.999978705648913e-08,4.080911061671843e-11,2.0487727764791996e-12,11.571000999999027
0.004001,1.0156366415190954e-10,9.999992384032005e-06,9.999962591442354e-08,9.670853024348454e-11,4.855133908425006e-12,11.571000999999027
0.005001,1.9833677011444209e-10,9.999988166837787e-06,9.999941877214601e-08,1.8885551572556541e-10,9.48125438887665e-12,11.571000999999027
0.006001,3.4269164163705283e-10,9.999983012921805e-06,9.999916561982276e-08,3.2630968694214886e-10,1.638195469490396e-11,11.571000999999027
0.007001,5.441427108567981e-10,9.999976922209339e-06,9.999886645398002e-08,5.181306593214023e-10,2.6012051535395757e-11,11.571000999999027
0.008001000000000001,8.122044000480361e-10,9.999969894668043e-06,9.999852127326125e-08,7.733780429504525e-10,3.8826357097583615e-11,11.571000999999027
0.009001000000000002,1.1563911199789321e-09,9.999961930282345e-06,9.999813007716924e-08,1.1011114416853643e-09,5.527967829356792e-11,11.571000999999027
0.010001000000000003,1.5862172682679688e-09,9.999953029044242e-06,9.999769286561467e-08,1.510390452261121e-09,7.582681600684782e-11,11.571000999999027
0.011001000000000004,2.111197227740462e-09,9.99994319094953e-06,9.999720963873018e-08,2.0102746634016066e-09,1.0092256433885581e-10,11.571000999999027
0.012001000000000005,2.7408453647850857e-09,9.999932415996068e-06,9.999668039678557e-08,2.6098236549295886e-09,1.310217098554977e-10,11.571000999999027
0.013001000000000006,3.484676027710402e-09,9.999920704182921e-06,9.999610514014574e-08,3.318096996876704e-09,1.665790308336986e-10,11.571000999999027
0.014001000000000006,4.352203545101403e-09,9.999908055509919e-06,9.999548386924854e-08,4.144154248593448e-09,2.0804929650795556e-10,11.571000999999027
0.015001000000000007,5.3529422241760605e-09,9.999894469977389e-06,9.999481658459227e-08,5.097054957859164e-09,2.5588726631689744e-10,11.571000999999027
0.01600100000000001,6.496406349141889e-09,9.99987994758602e-06,9.999410328672848e-08,6.185858659992038e-09,3.105476891498525e-10,11.571000999999027
0.01700100000000001,7.792110179552515e-09,9.999864488336766e-06,9.999334397625759e-08,7.4196248769590925e-09,3.724853025934247e-10,11.571000999999027
0.01800100000000001,9.249567948664268e-09,9.999848092230794e-06,9.999253865382606e-08,8.807413116486191e-09,4.4215483217807887e-10,11.571000999999027
0.01900100000000001,1.0878293861792768e-08,9.999830759269442e-06,9.999168732012464e-08,1.0358282871168036e-08,5.200109906247355e-10,11.571000999999027
0.020001000000000012,1.268780209466955e-08,9.999812489454204e-06,9.99907899758872e-08,1.2081293617578177e-08,6.065084770913761e-10,11.571000999999027
0.021001000000000013,1.4687606791798682e-08,9.999793282786703e-06,9.998984662188988e-08,1.3985504815379026e-08,7.02101976419659e-10,11.571000999999027
0.022001000000000014,1.688722206481341e-08,9.999773139268686e-06,9.998885725895053e-08,1.6079975906431865e-08,8.072461583815469e-10,11.571000999999027
0.023001000000000014,1.929616199083282e-08,9.999752058902018e-06,9.998782188792837e-08,1.8373766313906874e-08,9.223956769259468e-10,11.571000999999027
0.024001000000000015,2.1923940610818503e-08,9.999730041688668e-06,9.998674050972364e-08,2.0875935441393144e-08,1.0480051694253615e-09,11.571000999999027
0.025001000000000016,2.4780071927931268e-08,9.999707087630713e-06,9.998561312527745e-08,2.3595542672008714e-08,1.184529255922556e-09,11.571000999999027
0.026001000000000017,2.787406990588783e-08,9.99968319673033e-06,9.998443973557156e-08,2.65416473675106e-08,1.3324225383772362e-09,11.571000999999027
0.027001000000000018,3.121544846731757e-08,9.999658368989793e-06,9.998322034162834e-08,2.972330886740483e-08,1.4921395999127439e-09,11.571000999999027
0.02800100000000002,3.4813721492119264e-08,9.99963260441148e-06,9.998195494451063e-08,3.31495864880565e-08,1.6641350040627644e-09,11.571000999999027
0.02900100000000002,3.867840281581787e-08,9.99960590299786e-06,9.99806435453217e-08,3.6829539521799826e-08,1.8488632940180527e-09,11.571000999999027
0.03000100000000002,4.281900622792133e-08,9.999578264751496e-06,9.99792861452052e-08,4.077222723604816e-08,2.0467789918731733e-09,11.571000999999027
0.03100100000000002,4.7245045470277366e-08,9.999549689675048e-06,9.997788274534505e-08,4.498670887240411e-08,2.2583365978732595e-09,11.571000999999027
0.03200100000000002,5.196603423543034e-08,9.99952017777127e-06,9.997643334696552e-08,4.948204364576956e-08,2.4839905896607875e-09,11.571000999999027
0.03300100000000002,5.6991486164978136e-08,9.999489729043007e-06,9.997493795133115e-08,5.426729074345577e-08,2.724195421522371e-09,11.571000999999027
0.034001000000000024,6.233091484792903e-08,9.9994583434932e-06,9.99733965597467e-08,5.935150932429345e-08,2.979405523635573e-09,11.571000999999027
0.035001000000000025,6.79938338190586e-08,9.99942602112488e-06,9.99718091735572e-08,6.474375851774285e-08,3.250075301315738e-09,11.571000999999027
0.036001000000000026,7.39897565572667e-08,9.999392761941169e-06,9.997017579414785e-08,7.045309742300384e-08,3.5366591342628436e-09,11.571000999999027
0.03700100000000003,8.032819648393443e-08,9.999358565945282e-06,9.99684964229441e-08,7.648858510812604e-08,3.839611375808372e-09,11.571000999999027
0.03800100000000003,8.701866696128113e-08,9.999323433140527e-06,9.996677106141158e-08,8.28592806091189e-08,4.159386352162204e-09,11.571000999999027
0.03900100000000003,9.40706812907214e-08,9.999287363530304e-06,9.99649997110561e-08,8.957424292906185e-08,4.4964383616595336e-09,11.571000999999027
0.04000100000000003,1.0149375271122221e-07,9.9992503571181e-06,9.996318237342369e-08,9.664253103721439e-08,4.851221674007805e-09,11.571000999999027
0.04100100000000003,1.0929739439765992e-07,9.999212413907498e-06,9.996131905010051e-08,1.0407320386812623e-07,5.2241905295336745e-09,11.571000999999027
0.04200100000000003,1.1749111945917747e-07,9.999173533902172e-06,9.995940974271293e-08,1.1187532032074746e-07,5.6157991384299925e-09,11.571000999999027
0.04300100000000003,1.2608444093754153e-07,9.999133717105883e-06,9.995745445292746e-08,1.200579392575387e-07,6.0265016800028135e-09,11.571000999999027
0.04400100000000003,1.3508687180549965e-07,9.999092963522489e-06,9.995545318245079e-08,1.286301195035812e-07,6.456752301918427e-09,11.571000999999027
0.045001000000000034,1.445079249651375e-07,9.999051273155933e-06,9.995340593302976e-08,1.3760091984568705e-07,6.907005119450417e-09,11.571000999999027
0.046001000000000035,1.543571132462362e-07,9.999008646010254e-06,9.995131270645137e-08,1.4697939903150944e-07,7.377714214726746e-09,11.571000999999027
0.047001000000000036,1.6464394940462955e-07,9.99896508208958e-06,9.994917350454277e-08,1.5677461576865265e-07,7.869333635976865e-09,11.571000999999027
