r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,1e-05,2.5000000000000004e-07,0.0,0.0,11.33000099999916
0.001001,1.5448854347610257e-12,9.99999943788611e-06,2.499999886372609e-07,1.5144724978127807e-12,3.041293694824541e-14,11.33000099999916
0.002001,1.2340572492090152e-11,9.999998060625958e-06,2.4999996079691115e-07,1.2097633412302448e-11,2.429390797877057e-13,11.33000099999916
0.003001,4.1628620320684134e-11,9.999995775443897e-06,2.499999146035581e-07,4.080911066579967e-11,8.195096548844612e-13,11.33000099999916
0.004001,9.86505862355366e-11,9.999992578283526e-06,2.4999984997520827e-07,9.670853044375436e-11,1.9420557917822376e-12,11.33000099999916
0.005001,1.9264802480349724e-10,9.999988468443751e-06,2.499997668976948e-07,1.888555163285787e-10,3.792508474918516e-12,11.33000099999916
0.006001,3.328624869276051e-10,9.999983445726844e-06,2.499996653670276e-07,3.263096884323292e-10,6.552798495275909e-12,11.33000099999916
0.007001,5.285355189313781e-10,9.999977510060118e-06,2.4999954538174566e-07,5.181306625293469e-10,1.0404856402031232e-11,11.33000099999916
0.008001000000000001,7.889086616430969e-10,9.99997066141203e-06,2.499994069412211e-07,7.733780491888926e-10,1.553061245420427e-11,11.33000099999916
0.009001000000000002,1.123223449480089e-09,9.999962899767303e-06,2.4999925004515656e-07,1.1011114529077822e-09,2.2111996572306517e-11,11.33000099999916
0.010001000000000003,1.5407214095330112e-09,9.999954225118003e-06,2.4999907469340443e-07,1.510390471243021e-09,3.0330938289989934e-11,11.33000099999916
0.011001000000000004,2.050644060650137e-09,9.999944637459857e-06,2.499988808858927e-07,2.0102746939444413e-09,4.036936670569578e-11,11.33000099999916
0.012001000000000005,2.6622329125216425e-09,9.99993413679058e-06,2.4999866862259105e-07,2.609823702087339e-09,5.240921043430352e-11,11.33000099999916
0.013001000000000006,3.3847294647638943e-09,9.999922723109043e-06,2.4999843790349403e-07,3.3180970672051142e-09,6.663239755877978e-11,11.33000099999916
0.014001000000000006,4.227375206003741e-09,9.99991039641483e-06,2.4999818872861216e-07,4.144154350421913e-09,8.32208555818274e-11,11.33000099999916
0.015001000000000007,5.199411612962803e-09,9.999897156708001e-06,2.49997921097967e-07,5.097055101585269e-09,1.0235651137753466e-10,11.33000099999916
0.01600100000000001,6.310080149541773e-09,9.999883003988936e-06,2.499976350115882e-07,6.185858858398749e-09,1.2422129114302448e-10,11.33000099999916
0.01700100000000001,7.568622265904706e-09,9.999867938258262e-06,2.499973304695118e-07,7.419625145554602e-09,1.4899712035010385e-10,11.33000099999916
0.01800100000000001,8.984279397563322e-09,9.999851959516786e-06,2.4999700747177907e-07,8.80741347386641e-09,1.7686592369691335e-10,11.33000099999916
0.01900100000000001,1.056629296446131e-08,9.99983506776547e-06,2.499966660184359e-07,1.0358283339401735e-08,2.0800962505957675e-10,11.33000099999916
0.020001000000000012,1.232390437005863e-08,9.999817263005399e-06,2.499963061095322e-07,1.208129422261478e-08,2.426101474438508e-10,11.33000099999916
0.021001000000000013,1.4266355000415825e-08,9.999798545237771e-06,2.499959277451216e-07,1.398550558747905e-08,2.808494129367753e-10,11.33000099999916
0.022001000000000014,1.6402886223278326e-08,9.999778914463882e-06,2.499955309252613e-07,1.6079976880620002e-08,3.2290934265832283e-10,11.33000099999916
0.023001000000000014,1.8742739387160775e-08,9.999758370685118e-06,2.499951156500118e-07,1.8373767530447724e-08,3.689718567130495e-10,11.33000099999916
0.024001000000000015,2.1295155820431338e-08,9.999736913902956e-06,2.4999468191943697e-07,2.0875936946289592e-08,4.1921887414174503e-10,11.33000099999916
0.025001000000000016,2.4069376830396032e-08,9.999714544118953e-06,2.4999422973360377e-07,2.3595544517522948e-08,4.738323128730834e-10,11.33000099999916
0.026001000000000017,2.7074643702383044e-08,9.999691261334742e-06,2.4999375909258224e-07,2.6541649612707772e-08,5.329940896752739e-10,11.33000099999916
0.027001000000000018,3.032019769882707e-08,9.999667065552037e-06,2.4999326999644557e-07,2.972331157871936e-08,5.968861201077116e-10,11.33000099999916
0.02800100000000002,3.381528005835365e-08,9.999641956772625e-06,2.499927624452699e-07,3.3149589739881017e-08,6.656903184726293e-10,11.33000099999916
0.02900100000000002,3.7569131994863486e-08,9.999615934998367e-06,2.499922364391345e-07,3.682954339709673e-08,7.395885977667483e-10,11.33000099999916
0.03000100000000002,4.159099469661682e-08,9.999589000231197e-06,2.499916919781214e-07,4.077223182698388e-08,8.187628696329304e-10,11.33000099999916
0.03100100000000002,4.5890109325317755e-08,9.999561152473122e-06,2.499911290623158e-07,4.498671428100592e-08,9.033950443118295e-10,11.33000099999916
0.03200100000000002,5.047571701519862e-08,9.999532391726218e-06,2.4999054769180575e-07,4.948204998460507e-08,9.936670305935442e-10,11.33000099999916
0.03300100000000002,5.535705887210433e-08,9.999502717992635e-06,2.4998994786668226e-07,5.426729813633506e-08,1.0897607357692695e-09,11.33000099999916
0.034001000000000024,6.054337597257675e-08,9.999472131274589e-06,2.4998932958703934e-07,5.9351517906993803e-08,1.1918580655829502e-09,11.33000099999916
0.035001000000000025,6.604390936293905e-08,9.999440631574371e-06,2.499886928529738e-07,6.474376843875612e-08,1.3001409241829328e-09,11.33000099999916
0.036001000000000026,7.18679000583801e-08,9.99940821889434e-06,2.4998803766458555e-07,7.045310884430649e-08,1.4147912140736197e-09,11.33000099999916
0.03700100000000003,7.802458904203886e-08,9.999374893236924e-06,2.4998736402197727e-07,7.648859820597173e-08,1.5359908360671222e-09,11.33000099999916
0.03800100000000003,8.45232172640887e-08,9.999340654604623e-06,2.499866719252546e-07,8.285929557485378e-08,1.6639216892349138e-09,11.33000099999916
0.03900100000000003,9.13730256408219e-08,9.999305503000002e-06,2.4998596137452614e-07,8.957425996996241e-08,1.7987656708594848e-09,11.33000099999916
0.04000100000000003,9.858325505373393e-08,9.999269438425698e-06,2.499852323699033e-07,9.664255037734793e-08,1.9407046763859965e-09,11.33000099999916
0.04100100000000003,1.0616314634860799e-07,9.999232460884418e-06,2.499844849115005e-07,1.0407322574923405e-07,2.089920599373936e-09,11.33000099999916
0.04200100000000003,1.1412194033459928e-07,9.999194570378937e-06,2.4998371899943504e-07,1.1187534500315052e-07,2.2465953314487706e-09,11.33000099999916
0.04300100000000003,1.2246887778331957e-07,9.999155766912098e-06,2.499829346338271e-07,1.2005796702106596e-07,2.410910762253604e-09,11.33000099999916
0.04400100000000003,1.3121319942792145e-07,9.999116050486815e-06,2.499821318147998e-07,1.286301506485206e-07,2.5830487794008305e-09,11.33000099999916
0.045001000000000034,1.4036414596218292e-07,9.99907542110607e-06,2.4998131054247913e-07,1.3760095469375911e-07,2.7631912684237928e-09,11.33000099999916
