r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,9.220337484587583e-05,2.189863578150531e-05,0.0,0.0,9.326001000000272
0.001001,4.122446176922779e-12,9.220337186294498e-05,2.1898633446384958e-05,2.193817631282214e-12,1.9286285456405643e-12,9.326001000000272
0.002001,3.293017285653926e-11,9.220336428388394e-05,2.1898627513288008e-05,1.752425456770277e-11,1.5405918288836494e-11,9.326001000000272
0.003001,1.1108379172726016e-10,9.220335169814048e-05,2.1898617660824538e-05,5.911480588048638e-11,5.196898584677376e-11,9.326001000000272
0.004001,2.632438980470394e-10,9.220333408776479e-05,2.189860387494575e-05,1.4008896516089689e-10,1.2315493288614247e-10,9.326001000000272
0.005001,5.140710624463141e-10,9.220331144965525e-05,2.1898586153227544e-05,2.73570223781893e-10,2.405008386644211e-10,9.326001000000272
0.006001,8.882258227221262e-10,9.2203283782938e-05,2.1898564494990885e-05,4.726820701589895e-10,4.1554375256313664e-10,9.326001000000272
0.007001,1.4103686756319374e-09,9.220325108729277e-05,2.1898538899991237e-05,7.505479890110901e-10,6.598206866208471e-10,9.326001000000272
0.008001000000000001,2.1051600686874173e-09,9.220321336258164e-05,2.189850936812791e-05,1.1202914606213176e-09,9.848686080660994e-10,9.326001000000272
0.009001000000000002,2.997260391948241e-09,9.22031706087389e-05,2.1898475899357885e-05,1.5950359600978444e-09,1.4022244318503962e-09,9.326001000000272
0.010001000000000003,4.111329969815907e-09,9.220312282573158e-05,2.1898438493664887e-05,2.187904956634723e-09,1.9234250131811833e-09,9.326001000000272
0.011001000000000004,5.472029052827584e-09,9.220307001354318e-05,2.189839715104666e-05,2.9120219127727186e-09,2.5600071400548642e-09,9.326001000000272
0.012001000000000005,7.104017809449988e-09,9.220301217216624e-05,2.189835187150915e-05,3.780510283660146e-09,3.3235075257898407e-09,9.326001000000272
0.013001000000000006,9.031956317873296e-09,9.220294930159867e-05,2.1898302655063615e-05,4.806493516313703e-09,4.225462801559592e-09,9.326001000000272
0.014001000000000006,1.1280504557805096e-08,9.22028814018418e-05,2.1898249501725123e-05,6.003095048879311e-09,5.277409508925785e-09,9.326001000000272
0.015001000000000007,1.3874322402264386e-08,9.220280847289929e-05,2.1898192411511687e-05,7.383438309892956e-09,6.4908840923714305e-09,9.326001000000272
0.01600100000000001,1.6838069609375613e-08,9.220273051477651e-05,2.1898131384443773e-05,8.960646717541534e-09,7.877422891834079e-09,9.326001000000272
0.01700100000000001,2.0196405814162756e-08,9.220264752748014e-05,2.1898066420544e-05,1.0747843678923694e-08,9.44856213523906e-09,9.326001000000272
0.01800100000000001,2.3973990520343484e-08,9.220255951101794e-05,2.1897997519836952e-05,1.2758152589310692e-08,1.1215837931032788e-08,9.326001000000272
0.01900100000000001,2.8195483092123347e-08,9.220246646539857e-05,2.189792468234905e-05,1.5004696831407244e-08,1.31907862607161e-08,9.326001000000272
0.020001000000000012,3.288554274599004e-08,9.220236839063153e-05,2.189784790810847e-05,1.7500599774612378e-08,1.538494297137766e-08,9.326001000000272
0.021001000000000013,3.8068828542507735e-08,9.220226528672703e-05,2.1897767197145094e-05,2.0258984774280296e-08,1.7809843768227432e-08,9.326001000000272
0.022001000000000014,4.376999937811146e-08,9.2202157153696e-05,2.1897682549490472e-05,2.3292975170981244e-08,2.047702420713021e-08,9.326001000000272
0.023001000000000014,5.0013713976901585e-08,9.220204399155002e-05,2.1897593965177787e-05,2.6615694289762374e-08,2.3398019687139204e-08,9.326001000000272
0.024001000000000015,5.6824630882438344e-08,9.22019258003013e-05,2.189750144424184e-05,3.024026543940862e-08,2.6584365443029713e-08,9.326001000000272
0.025001000000000016,6.422740844953645e-08,9.220180257996266e-05,2.189740498671904e-05,3.417981191170357e-08,3.004759653783287e-08,9.326001000000272
0.026001000000000017,7.224670483605982e-08,9.220167433054756e-05,2.1897304592647383e-05,3.844745698069035e-08,3.379924785536945e-08,9.326001000000272
0.027001000000000018,8.090717799471632e-08,9.220154105207e-05,2.189720026206646e-05,4.3056323901932526e-08,3.785085409278378e-08,9.326001000000272
0.02800100000000002,9.02334856648527e-08,9.22014027445446e-05,2.189709199501743e-05,4.801953591177497e-08,4.221394975307772e-08,9.326001000000272
0.02900100000000002,1.0025028536424949e-07,9.220125940798655e-05,2.1896979791543036e-05,5.335021622660476e-08,4.6900069137644715e-08,9.326001000000272
0.03000100000000002,1.109822343809161e-07,9.220111104241163e-05,2.189686365168759e-05,5.906148804211211e-08,5.1920746338803985e-08,9.326001000000272
