r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0001,2.4224257686409798e-05,0.0,0.0,9.36500100000025
0.001001,4.272675615745522e-12,9.999999679851816e-05,2.4224255081894372e-05,2.2236440885105675e-12,2.0490315272349546e-12,9.36500100000025
0.002001,3.413020822868466e-11,9.999998864827927e-05,2.42242484513958e-05,1.776250885058154e-11,1.636769937810312e-11,9.36500100000025
0.003001,1.1513188683651256e-10,9.999997511345296e-05,2.4224237440353e-05,5.99185123429306e-11,5.5213374493581966e-11,9.36500100000025
0.004001,2.728369829898115e-10,9.999995617498426e-05,2.4224222033267284e-05,1.4199357122260849e-10,1.3084341176720298e-10,9.36500100000025
0.005001,5.328047420875952e-10,9.999993182958061e-05,2.4224202227464497e-05,2.7728960004869773e-10,2.5551514203889746e-10,9.36500100000025
0.006001,9.205943746636094e-10,9.999990207631438e-05,2.4224178022195716e-05,4.791085105832691e-10,4.4148586408034026e-10,9.36500100000025
0.007001,1.4617650476723126e-09,9.999986691484564e-05,2.4224149417191402e-05,7.607522110923125e-10,7.010128365800001e-10,9.36500100000025
0.008001000000000001,2.1818758757748286e-09,9.999982634502802e-05,2.4224116412340746e-05,1.1355226056466643e-09,1.0463532701281643e-09,9.36500100000025
0.009001000000000002,3.1064859126249082e-09,9.999978036679183e-05,2.4224079007596605e-05,1.6167215934229354e-09,1.4897643192019728e-09,9.36500100000025
0.010001000000000003,4.261154142154916e-09,9.999972898010214e-05,2.4224037202941395e-05,2.2176510680044405e-09,2.043503074150476e-09,9.36500100000025
0.011001000000000004,5.671439469861847e-09,9.999967218494151e-05,2.4223990998373025e-05,2.9516129166821274e-09,2.7198265531797197e-09,9.36500100000025
0.012001000000000005,7.362900714093373e-09,9.999960998130212e-05,2.4223940393898496e-05,3.83190901975551e-09,3.5309916943378632e-09,9.36500100000025
0.013001000000000006,9.361096597333934e-09,9.999954236918185e-05,2.4223885389530723e-05,4.871841249833602e-09,4.489255347500331e-09,9.36500100000025
0.014001000000000006,1.1691585737490864e-08,9.99994693485822e-05,2.422382598528686e-05,6.084711471135854e-09,5.606874266355011e-09,9.36500100000025
0.015001000000000007,1.4379926639180575e-08,9.999939091950719e-05,2.422376218118735e-05,7.483821538793089e-09,6.896105100387485e-09,9.36500100000025
0.01600100000000001,1.745167768501477e-08,9.999930708196262e-05,2.422369397725539e-05,9.082473298148447e-09,8.369204386866322e-09,9.36500100000025
0.01700100000000001,2.0932397126886736e-08,9.999921783595572e-05,2.4223621373516593e-05,1.0893968584058327e-08,1.0038428542828407e-08,9.36500100000025
0.01800100000000001,2.484764307725767e-08,9.999912318149487e-05,2.422354436999878e-05,1.2931609220193332e-08,1.1916033857064337e-08,9.36500100000025
0.01900100000000001,2.922297350044309e-08,9.999902311858943e-05,2.4223462966731844e-05,1.5208697018339223e-08,1.4014276482103866e-08,9.36500100000025
0.020001000000000012,3.4083946203899285e-08,9.99989176472496e-05,2.4223377163747657e-05,1.7738533777697865e-08,1.634541242620142e-08,9.36500100000025
0.021001000000000013,3.945611882950986e-08,9.999880676748641e-05,2.4223286961080015e-05,2.053442128418819e-08,1.8921697545321673e-08,9.36500100000025
0.022001000000000014,4.5365048844872337e-08,9.999869047931163e-05,2.422319235876459e-05,2.360966130974715e-08,2.1755387535125187e-08,9.36500100000025
0.023001000000000014,5.183629353458484e-08,9.999856878273773e-05,2.4223093356838907e-05,2.6977555611630698e-08,2.4858737922954145e-08,9.36500100000025
0.024001000000000015,5.889540999153286e-08,9.999844167777788e-05,2.4222989955342317e-05,3.065140593171473e-08,2.8244004059818134e-08,9.36500100000025
0.025001000000000016,6.65679551081761e-08,9.999830916444588e-05,2.422288215431598e-05,3.464451399579608e-08,3.192344111238003e-08,9.36500100000025
0.026001000000000017,7.487948556783541e-08,9.99981712427562e-05,2.4222769953802863e-05,3.897018151289347e-08,3.5909304054941944e-08,9.36500100000025
0.027001000000000018,8.385555783597983e-08,9.999802791272394e-05,2.4222653353847718e-05,4.364171017454854e-08,4.021384766143129e-08,9.36500100000025
0.02800100000000002,9.352172815151371e-08,9.999787917436486e-05,2.4222532354497086e-05,4.867240165412678e-08,4.484932649738692e-08,9.36500100000025
0.02900100000000002,1.039035525180639e-07,9.999772502769528e-05,2.422240695579929e-05,5.407555760611855e-08,4.982799491194535e-08,9.36500100000025
0.03000100000000002,1.1502658669526715e-07,9.99975654727322e-05,2.422227715780442e-05,5.986447966544007e-08,5.516210702982708e-08,9.36500100000025
0.03100100000000002,1.2691638619005748e-07,9.99974005094932e-05,2.4222142960564352e-05,6.605246944673442e-08,6.086391674332306e-08,9.36500100000025
0.03200100000000002,1.395985062479538e-07,9.99972301379965e-05,2.4222004364132725e-05,7.265282854367256e-08,6.694567770428122e-08,9.36500100000025
0.03300100000000002,1.5309850184434743e-07,9.999705435826088e-05,2.422186136856495e-05,7.967885852825433e-08,7.341964331609309e-08,9.36500100000025
0.034001000000000024,1.674419276757901e-07,9.999687317030578e-05,2.4221713973918203e-05,8.714386095010947e-08,8.029806672568062e-08,9.36500100000025
0.035001000000000025,1.8265433815128167e-07,9.999668657415123e-05,2.4221562180251428e-05,9.506113733579866e-08,8.759320081548301e-08,9.36500100000025
0.036001000000000026,1.9876128738355825e-07,9.999649456981786e-05,2.4221405987625334e-05,1.0344398918811451e-07,9.531729819544374e-08,9.36500100000025
0.03700100000000003,2.1578832918038033e-07,9.99962971573269e-05,2.4221245396102395e-05,1.1230571798538267e-07,1.0348261119499767e-07,9.36500100000025
0.03800100000000003,2.337610170358211e-07,9.999609433670019e-05,2.422108040574685e-05,1.216596251807628e-07,1.1210139185505831e-07,9.36500100000025
0.03900100000000003,2.5270490412155493e-07,9.999588610796018e-05,2.4220911016624696e-05,1.3151901220154968e-07,1.2118589192000524e-07,9.36500100000025
0.04000100000000003,2.726455432781458e-07,9.999567247112992e-05,2.42207372288037e-05,1.4189718044847423e-07,1.3074836282967154e-07,9.36500100000025
0.04100100000000003,2.9360848700633613e-07,9.999545342623305e-05,2.4220559042353383e-05,1.528074312950046e-07,1.408010557113315e-07,9.36500100000025
0.04200100000000003,3.1561928745833575e-07,9.999522897329381e-05,2.4220376457345035e-05,1.6426306608664726e-07,1.5135622137168846e-07,9.36500100000025
0.04300100000000003,3.387034964291107e-07,9.999499911233707e-05,2.4220189473851707e-05,1.76277386140248e-07,1.624261102888627e-07,9.36500100000025
0.04400100000000003,3.628866653476727e-07,9.999476384338826e-05,2.4219998091948204e-05,1.8886369274329313e-07,1.740229726043795e-07,9.36500100000025
0.045001000000000034,3.881943452683681e-07,9.999452316647345e-05,2.4219802311711103e-05,2.020352871532105e-07,1.8615905811515754e-07,9.36500100000025
0.046001000000000035,4.1465208686216786e-07,9.999427708161926e-05,2.4219602133218733e-05,2.1580547059667068e-07,1.9884661626549712e-07,9.36500100000025
0.047001000000000036,4.422854404079569e-07,9.999402558885298e-05,2.421939755655119e-05,2.30187544268888e-07,2.1209789613906885e-07,9.36500100000025
0.04800100000000004,4.7111995578382406e-07,9.999376868820244e-05,2.4219188581790327e-05,2.4519480933292166e-07,2.2592514645090233e-07,9.36500100000025
0.04900100000000004,5.011811824583521e-07,9.999350637969609e-05,2.4218975209019757e-05,2.6084056691897695e-07,2.4034061553937507e-07,9.36500100000025
0.05000100000000004,5.32494669481908e-07,9.999323866336299e-05,2.4218757438324858e-05,2.7713811812370636e-07,2.5535655135820157e-07,9.36500100000025
0.05100100000000004,5.650859654779333e-07,9.999296553923278e-05,2.4218535269792765e-05,2.941007640095107e-07,2.709852014684225e-07,9.36500100000025
0.05200100000000004,5.989806186342346e-07,9.999268700733573e-05,2.4218308703512373e-05,3.1174180560384025e-07,2.8723881303039425e-07,9.36500100000025
0.05300100000000004,6.342041766942745e-07,9.999240306770268e-05,2.421807773957434e-05,3.3007454389849603e-07,3.041296327957784e-07,9.36500100000025
0.05400100000000004,6.707821869484625e-07,9.999211372036508e-05,2.421784237807108e-05,3.491122798489308e-07,3.2166990709953164e-07,9.36500100000025
0.05500100000000004,7.087401962254461e-07,9.999181896535498e-05,2.421760261909677e-05,3.688683143735505e-07,3.398718818518956e-07,9.36500100000025
0.056001000000000044,7.481037508834022e-07,9.999151880270502e-05,2.4217358462747345e-05,3.893559483530151e-07,3.587478025303872e-07,9.36500100000025
0.057001000000000045,7.88898396801329e-07,9.999121323244846e-05,2.42171099091205e-05,4.1058848262954027e-07,3.783099141717888e-07,9.36500100000025
0.058001000000000046,8.311496793703373e-07,9.999090225461914e-05,2.421685695831569e-05,4.325792180061982e-07,3.985704613641392e-07,9.36500100000025
0.059001000000000046,8.748831434849427e-07,9.999058586925152e-05,2.421659961043413e-05,4.55341455246219e-07,4.1954168823872373e-07,9.36500100000025
0.06000100000000005,9.201243335343579e-07,9.999026407638063e-05,2.4216337865578793e-05,4.78888495072292e-07,4.41235838462066e-07,9.36500100000025
0.06100100000000005,9.668987933937852e-07,9.998993687604213e-05,2.4216071723854415e-05,5.032336381658668e-07,4.6366515522791854e-07,9.36500100000025
0.06200100000000005,1.015232066415709e-06,9.998960426827225e-05,2.421580118536749e-05,5.283901851664548e-07,4.868418812492545e-07,9.36500100000025
0.06300100000000004,1.0651496954211892e-06,9.998926625310785e-05,2.4215526250226272e-05,5.543714366709301e-07,5.107782587502592e-07,9.36500100000025
0.06400100000000004,1.1166772226911533e-06,9.998892283058637e-05,2.4215246918540767e-05,5.811906932328315e-07,5.354865294583218e-07,9.36500100000025
0.06500100000000004,1.1698401899576908e-06,9.998857400074584e-05,2.421496319042275e-05,6.088612553616629e-07,5.609789345960279e-07,9.36500100000025
0.06600100000000005,1.2246641383953465e-06,9.99882197636249e-05,2.4214675065985752e-05,6.373964235221953e-07,5.872677148731513e-07,9.36500100000025
0.06700100000000005,1.2811746086124143e-06,9.99878601192628e-05,2.4214382545345064e-05,6.668094981337676e-07,6.143651104786466e-07,9.36500100000025
0.06800100000000005,1.3393971406422312e-06,9.998749506769938e-05,2.421408562861773e-05,6.971137795695885e-07,6.422833610726426e-07,9.36500100000025
0.06900100000000005,1.399357273934472e-06,9.998712460897507e-05,2.4213784315922562e-05,7.283225681560375e-07,6.710347057784344e-07,9.36500100000025
0.07000100000000005,1.4610805473464438e-06,9.99867487431309e-05,2.4213478607380124e-05,7.604491641719663e-07,7.006313831744774e-07,9.36500100000025
