r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,1e-05,2.228424055685126e-06,0.0,0.0,11.464000999999087
0.001001,2.214077737501989e-12,9.999999202874652e-06,2.2284236926005405e-06,1.5144724904622827e-12,6.996052470397058e-13,11.464000999999087
0.002001,1.7686091982871744e-11,9.999997254430097e-06,2.2284228050988692e-06,1.2097633298960098e-11,5.588458683911643e-12,11.464000999999087
0.003001,5.966072935871463e-11,9.999994021703579e-06,2.2284213326169276e-06,4.080910989044425e-11,1.885161946827038e-11,11.464000999999087
0.004001,1.413826660656148e-10,9.999989498881932e-06,2.2284192725074563e-06,9.670852727279274e-11,4.4674138792822054e-11,11.464000999999087
0.005001,2.7609656268497687e-10,9.999983684960829e-06,2.2284166243138218e-06,1.8885550677153967e-10,8.72410559134372e-11,11.464000999999087
0.006001,4.770470589748153e-10,9.999976579657479e-06,2.2284133879082824e-06,3.263096648029409e-10,1.5073739417187445e-10,11.464000999999087
0.007001,7.574787686653008e-10,9.999968182868432e-06,2.228409563245022e-06,5.181306116469814e-10,2.3934815701831946e-10,11.464000999999087
0.008001000000000001,1.1306362742542861e-09,9.99995849454933e-06,2.2284051503053774e-06,7.733779502203773e-10,3.572583240339087e-10,11.464000999999087
0.009001000000000002,1.6097641218028403e-09,9.999947514679264e-06,2.2284001490816033e-06,1.1011112748495782e-09,5.086528469532622e-10,11.464000999999087
0.010001000000000003,2.2081068157308047e-09,9.999935243247974e-06,2.2283945595710412e-06,1.510390170043773e-09,6.977166456870318e-10,11.464000999999087
0.011001000000000004,2.938908813612371e-09,9.99992168025058e-06,2.228388381773722e-06,2.0102742092679004e-09,9.286346043444706e-10,11.464000999999087
0.012001000000000005,3.8154145209716874e-09,9.999906825685183e-06,2.2283816156912696e-06,2.6098229537156623e-09,1.2055915672560251e-09,11.464000999999087
0.013001000000000006,4.8508682860785e-09,9.999890679551667e-06,2.228374261326359e-06,3.318095951082546e-09,1.5327723349959535e-09,11.464000999999087
0.014001000000000006,6.058514394743821e-09,9.999873241851075e-06,2.2283663186824296e-06,4.1441527343388485e-09,1.9143616604049723e-09,11.464000999999087
0.015001000000000007,7.451597065115646e-09,9.999854512585254e-06,2.228357787763524e-06,5.09705282050271e-09,2.354544244612936e-09,11.464000999999087
0.01600100000000001,9.043360442474701e-09,9.999834491756655e-06,2.2283486685741954e-06,6.1858557094131535e-09,2.857504733061548e-09,11.464000999999087
0.01700100000000001,1.0847048594030243e-08,9.999813179368198e-06,2.228338961119451e-06,7.419620882503131e-09,3.427427711527111e-09,11.464000999999087
0.01800100000000001,1.2875905503715897e-08,9.999790575423205e-06,2.2283286654047145e-06,8.807407801572583e-09,4.068497702143315e-09,11.464000999999087
0.01900100000000001,1.5143175066985564e-08,9.99976667992534e-06,2.228317781435806e-06,1.0358275907561496e-08,4.78489915942407e-09,11.464000999999087
0.020001000000000012,1.7662101085609354e-08,9.999741492878583e-06,2.228306309218924e-06,1.2081284619322981e-08,5.5808164662863755e-09,11.464000999999087
0.021001000000000013,2.0445927262469603e-08,9.999715014287199e-06,2.2282942487606354e-06,1.3985493332396358e-08,6.4604339300732495e-09,11.464000999999087
0.022001000000000014,2.3507897196356933e-08,9.99968724415573e-06,2.22828160006787e-06,1.607996141778024e-08,7.427935778576697e-09,11.464000999999087
0.023001000000000014,2.6861254376766386e-08,9.999658182488981e-06,2.228268363147913e-06,1.8373748220705656e-08,8.487506156060734e-09,11.464000999999087
0.024001000000000015,3.051924217869361e-08,9.999627829292009e-06,2.228254538008404e-06,2.0875913059409144e-08,9.643329119284472e-09,11.464000999999087
0.025001000000000016,3.449510385743114e-08,9.999596184570118e-06,2.2282401246573306e-06,2.3595515223905896e-08,1.0899588633525246e-08,11.464000999999087
0.026001000000000017,3.880208254336471e-08,9.999563248328861e-06,2.228225123103031e-06,2.654161397476289e-08,1.2260468568601821e-08,11.464000999999087
0.027001000000000018,4.34534212367697e-08,9.999529020574028e-06,2.228209533354189e-06,2.972326854187205e-08,1.3730152694897649e-08,11.464000999999087
0.02800100000000002,4.846236280260761e-08,9.99949350131165e-06,2.228193355419834e-06,3.314953812322341e-08,1.5312824679384196e-08,11.464000999999087
0.02900100000000002,5.3842149965322625e-08,9.999456690547992e-06,2.22817658930934e-06,3.682948188367828e-08,1.7012668081644336e-08,11.464000999999087
0.03000100000000002,5.96060253036383e-08,9.999418588289558e-06,2.2281592350324267e-06,4.077215895374248e-08,1.8833866349895816e-08,11.464000999999087
0.03100100000000002,6.57672312453543e-08,9.999379194543082e-06,2.2281412925991557e-06,4.498662842833951e-08,2.0780602817014793e-08,11.464000999999087
0.03200100000000002,7.233901006214324e-08,9.999338509315532e-06,2.2281227620199325e-06,4.94819493655838e-08,2.2857060696559447e-08,11.464000999999087
0.03300100000000002,7.933460386434763e-08,9.99929653261411e-06,2.228103643305506e-06,5.426718078555394e-08,2.5067423078793683e-08,11.464000999999087
0.034001000000000024,8.676725459577687e-08,9.99925326444625e-06,2.2280839364669664e-06,5.935138166906597e-08,2.74158729267109e-08,11.464000999999087
0.035001000000000025,9.465020402850445e-08,9.999208704819616e-06,2.2280636415157474e-06,6.47436109564466e-08,2.9906593072057844e-08,11.464000999999087
0.036001000000000026,1.0299669375766515e-07,9.999162853742104e-06,2.2280427584636247e-06,7.04529275463066e-08,3.254376621135856e-08,11.464000999999087
0.03700100000000003,1.118199651962524e-07,9.99911571122184e-06,2.228021287322716e-06,7.648839029431397e-08,3.533157490193842e-08,11.464000999999087
0.03800100000000003,1.211332595699157e-07,9.999067277267179e-06,2.2279992281054813e-06,8.285905801196744e-08,3.827420155794827e-08,11.464000999999087
