r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,1e-05,1.6790355613502908e-06,0.0,0.0,11.175000999999247
0.001001,1.9275526060865913e-12,9.999999302473204e-06,1.6790353730704408e-06,1.5144724935925561e-12,4.130801124940352e-13,11.175000999999247
0.002001,1.5397324465048973e-11,9.999997595518427e-06,1.67903491232089e-06,1.2097633346968311e-11,3.2996911180806587e-12,11.175000999999247
0.003001,5.194000145367807e-11,9.999994763379624e-06,1.6790341478563173e-06,4.08091102184793e-11,1.1130891235198757e-11,11.175000999999247
0.004001,1.2308626405568166e-10,9.999990800995765e-06,1.679033078310828e-06,9.670852861387596e-11,2.6377735441805697e-11,11.175000999999247
0.005001,2.40366784672273e-10,9.999985707492287e-06,1.6790317034486376e-06,1.8885551081285205e-10,5.151127385942096e-11,11.175000999999247
0.006001,4.1531222492913107e-10,9.99997948262273e-06,1.6790300232035836e-06,3.263096747941411e-10,8.900255013498989e-11,11.175000999999247
0.007001,6.594532329832333e-10,9.999972126296704e-06,1.679028037551712e-06,5.18130633160562e-10,1.4132259982267125e-10,11.175000999999247
0.008001000000000001,9.843204408296752e-10,9.99996363847521e-06,1.6790257464830205e-06,7.733779920640584e-10,2.1094244876561683e-10,11.175000999999247
0.009001000000000002,1.4014444616084904e-09,9.999954019139602e-06,1.6790231499930806e-06,1.1011113501307381e-09,3.003331114777522e-10,11.175000999999247
0.010001000000000003,1.9223558869114764e-09,9.999943268280442e-06,1.6790202480800316e-06,1.5103902973859148e-09,4.1196558952556175e-10,11.175000999999247
0.011001000000000004,2.5585852840890296e-09,9.999931385892922e-06,1.6790170407433423e-06,2.0102744141791513e-09,5.483108699098785e-10,11.175000999999247
0.012001000000000005,3.3216631935569873e-09,9.999918371974768e-06,1.6790135279832458e-06,2.6098232701093072e-09,7.118399234476802e-10,11.175000999999247
0.013001000000000006,4.22312012610348e-09,9.999904226525199e-06,1.67900970980046e-06,3.3180964229495885e-09,9.050237031538923e-10,11.175000999999247
0.014001000000000006,5.274486560195799e-09,9.999888949544384e-06,1.6790055861960395e-06,4.1441534175726e-09,1.1303331426231985e-09,11.175000999999247
0.015001000000000007,6.487292939287265e-09,9.999872541033136e-06,1.6790011571712925e-06,5.097053784875405e-09,1.390239154411859e-09,11.175000999999247
