r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0,8.998246363898972e-06,0.0,0.0,1e-06
0.001001,1.1310854602059424e-12,0.0,8.998246050969163e-06,0.0,1.1310854602059424e-12,1e-06
0.002001,9.035130782051244e-12,0.0,8.998245282137186e-06,0.0,9.035130782051244e-12,1e-06
0.003001,3.047832825651394e-11,0.0,8.998244006392351e-06,0.0,3.047832825651394e-11,1e-06
0.004001,7.222686741158249e-11,0.0,8.998242221504436e-06,0.0,7.222686741158249e-11,1e-06
0.005001,1.4104693363434907e-10,0.0,8.998239927088106e-06,0.0,1.4104693363434907e-10,1e-06
0.006001,2.437047067912837e-10,0.0,8.998237123034828e-06,0.0,2.437047067912837e-10,1e-06
0.007001,3.8696635984844384e-10,0.0,8.998233809304865e-06,0.0,3.8696635984844384e-10,1e-06
0.008001000000000001,5.775980574916757e-10,0.0,8.998229985881143e-06,0.0,5.775980574916757e-10,1e-06
0.009001000000000002,8.223659547468153e-10,0.0,8.998225652755575e-06,0.0,8.223659547468153e-10,1e-06
0.010001000000000003,1.1280361955998909e-09,0.0,8.998220809924149e-06,0.0,1.1280361955998909e-09,1e-06
0.011001000000000004,1.501374911617327e-09,0.0,8.998215457384909e-06,0.0,1.501374911617327e-09,1e-06
0.012001000000000005,1.949148220566152e-09,0.0,8.998209595137034e-06,0.0,1.949148220566152e-09,1e-06
0.013001000000000006,2.478122225034208e-09,0.0,8.998203223180379e-06,0.0,2.478122225034208e-09,1e-06
0.014001000000000006,3.0950630110503637e-09,0.0,8.998196341515235e-06,0.0,3.0950630110503637e-09,1e-06
0.015001000000000007,3.806736646704732e-09,0.0,8.99818895014219e-06,0.0,3.806736646704732e-09,1e-06
0.01600100000000001,4.6199091807688905e-09,0.0,8.998181049062059e-06,0.0,4.6199091807688905e-09,1e-06
0.01700100000000001,5.541346641316106e-09,0.0,8.998172638275824e-06,0.0,5.541346641316106e-09,1e-06
0.01800100000000001,6.577815034341565e-09,0.0,8.998163717784615e-06,0.0,6.577815034341565e-09,1e-06
0.01900100000000001,7.736080342382607e-09,0.0,8.998154287589685e-06,0.0,7.736080342382607e-09,1e-06
0.020001000000000012,9.022908523138965e-09,0.0,8.998144347692396e-06,0.0,9.022908523138965e-09,1e-06
0.021001000000000013,1.044506550809301e-08,0.0,8.998133898094216e-06,0.0,1.044506550809301e-08,1e-06
0.022001000000000014,1.2009317201130002e-08,0.0,8.998122938796703e-06,0.0,1.2009317201130002e-08,1e-06
0.023001000000000014,1.3722429477158345e-08,0.0,8.998111469801515e-06,0.0,1.3722429477158345e-08,1e-06
0.024001000000000015,1.5591168180729853e-08,0.0,8.998099491110392e-06,0.0,1.5591168180729853e-08,1e-06
0.025001000000000016,1.7622299124660013e-08,0.0,8.998087002725165e-06,0.0,1.7622299124660013e-08,1e-06
0.026001000000000017,1.9822588088648274e-08,0.0,8.998074004647746e-06,0.0,1.9822588088648274e-08,1e-06
0.027001000000000018,2.2198800817898314e-08,0.0,8.998060496880133e-06,0.0,2.2198800817898314e-08,1e-06
0.02800100000000002,2.475770302173835e-08,0.0,8.998046479424407e-06,0.0,2.475770302173835e-08,1e-06
0.02900100000000002,2.7506060372241418e-08,0.0,8.998031952282731e-06,0.0,2.7506060372241418e-08,1e-06
0.03000100000000002,3.04506385028457e-08,0.0,8.998016915457348e-06,0.0,3.04506385028457e-08,1e-06
0.03100100000000002,3.359820300697481e-08,0.0,8.998001368950583e-06,0.0,3.359820300697481e-08,1e-06
0.03200100000000002,3.695551943665816e-08,0.0,8.99798531276484e-06,0.0,3.695551943665816e-08,1e-06
