r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0,1.302493986162911e-06,0.0,0.0,1e-06
0.001001,3.68630357481967e-13,0.0,1.302493954871534e-06,0.0,3.68630357481967e-13,1e-06
0.002001,2.944625877055294e-12,0.0,1.3024938787197318e-06,0.0,2.944625877055294e-12,1e-06
0.003001,9.933146251264708e-12,0.0,1.302493752386739e-06,0.0,9.933146251264708e-12,1e-06
0.004001,2.3539350551411602e-11,0.0,1.3024935756399214e-06,0.0,2.3539350551411602e-11,1e-06
0.005001,4.5968396917773913e-11,0.0,1.3024933484390765e-06,0.0,4.5968396917773913e-11,1e-06
0.006001,7.942544224939517e-11,0.0,1.3024930707728713e-06,0.0,7.942544224939517e-11,1e-06
0.007001,1.2611564189385833e-10,0.0,1.3024927426371462e-06,0.0,1.2611564189385833e-10,1e-06
0.008001000000000001,1.8824414933705785e-10,0.0,1.3024923640301026e-06,0.0,1.8824414933705785e-10,1e-06
0.009001000000000002,2.6801611589297144e-10,0.0,1.3024919349508764e-06,0.0,2.6801611589297144e-10,1e-06
0.010001000000000003,3.6763669039343266e-10,0.0,1.3024914553990263e-06,0.0,3.6763669039343266e-10,1e-06
0.011001000000000004,4.893110188779037e-10,0.0,1.3024909253743225e-06,0.0,4.893110188779037e-10,1e-06
0.012001000000000005,6.352442442832492e-10,0.0,1.3024903448766509e-06,0.0,6.352442442832492e-10,1e-06
0.013001000000000006,8.076415061335109e-10,0.0,1.3024897139059651e-06,0.0,8.076415061335109e-10,1e-06
0.014001000000000006,1.008707940229683e-09,0.0,1.3024890324622617e-06,0.0,1.008707940229683e-09,1e-06
0.015001000000000007,1.2406486783394889e-09,0.0,1.3024883005455656e-06,0.0,1.2406486783394889e-09,1e-06
0.01600100000000001,1.5056688478871583e-09,0.0,1.302487518155922e-06,0.0,1.5056688478871583e-09,1e-06
0.01700100000000001,1.8059735716432068e-09,0.0,1.302486685293392e-06,0.0,1.8059735716432068e-09,1e-06
0.01800100000000001,2.1437679674142154e-09,0.0,1.3024858019580483e-06,0.0,2.1437679674142154e-09,1e-06
0.01900100000000001,2.521257147732612e-09,0.0,1.3024848681499744e-06,0.0,2.521257147732612e-09,1e-06
0.020001000000000012,2.9406462195464547e-09,0.0,1.302483883869262e-06,0.0,2.9406462195464547e-09,1e-06
