r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,3e-05,7.862639704780345e-07,0.0,0.0,12.10600099999873
0.001001,1.2922203270369128e-12,2.9999999522113824e-05,7.862639490727236e-07,1.2345792803179413e-12,5.764104671897127e-14,12.10600099999873
0.002001,1.0322279150236758e-11,2.9999998314720457e-05,7.862638949915821e-07,9.861841441681074e-12,4.604377085556822e-13,12.10600099999873
0.003001,3.482028449312997e-11,2.9999996309982962e-05,7.862638051960849e-07,3.3267083759866795e-11,1.553200733263165e-12,12.10600099999873
0.004001,8.25163436488182e-11,2.9999993504935278e-05,7.862636795533824e-07,7.883560289364565e-11,3.6807407551725235e-12,12.10600099999873
0.005001,1.611405628155906e-10,2.999998989906468e-05,7.862635180405162e-07,1.539526945769796e-10,7.187868238610964e-12,12.10600099999873
0.006001,2.7842304673213313e-10,2.999998549222649e-05,7.862633206510154e-07,2.660036533108765e-10,1.241939342125661e-11,12.10600099999873
0.007001,4.4209389831272306e-10,2.9999980284367425e-05,7.86263087382505e-07,4.2237377205523203e-10,1.9720126257491055e-11,12.10600099999873
0.008001000000000001,6.598832182824218e-10,2.9999974275464272e-05,7.862628182339589e-07,6.304483419206701e-10,2.9434876361751614e-11,12.10600099999873
0.009001000000000002,9.395211048122667e-10,2.9999967465505683e-05,7.862625132048846e-07,8.976126518603832e-10,4.1908452951883504e-11,12.10600099999873
0.010001000000000003,1.2887376531544643e-09,2.9999959854485657e-05,7.862621722950313e-07,1.2312519883619721e-09,5.748566479249206e-11,12.10600099999873
0.011001000000000004,1.715262955277582e-09,2.9999951442400843e-05,7.86261795504269e-07,1.6387516351392868e-09,7.6511320138295e-11,12.10600099999873
0.012001000000000005,2.2268270995017405e-09,2.9999942229249327e-05,7.86261382832534e-07,2.1274968728242658e-09,9.933022667747464e-11,12.10600099999873
0.013001000000000006,2.831160170133809e-09,2.999993221503001e-05,7.862609342798013e-07,2.7048729786587784e-09,1.262871914750303e-10,12.10600099999873
0.014001000000000006,3.535992247102596e-09,2.9999921399742296e-05,7.862604498460707e-07,3.3782652261864647e-09,1.577270209161307e-10,12.10600099999873
0.015001000000000007,4.349053405594044e-09,2.999990978338591e-05,7.862599295313582e-07,4.155058884944577e-09,1.939945206494663e-10,12.10600099999873
0.01600100000000001,5.278073715686425e-09,2.999989736596079e-05,7.862593733356915e-07,5.042639220155822e-09,2.3543449553060203e-10,12.10600099999873
0.01700100000000001,6.330783241985534e-09,2.9999884147467027e-05,7.862587812591077e-07,6.048391492420204e-09,2.8239174956532965e-10,12.10600099999873
0.01800100000000001,7.514912043259883e-09,2.9999870127904823e-05,7.862581533016505e-07,7.179700957406862e-09,3.352110858530206e-10,12.10600099999873
0.01900100000000001,8.838190172075898e-09,2.999985530727447e-05,7.862574894633697e-07,8.443952865545918e-09,3.942373065299787e-10,12.10600099999873
0.020001000000000012,1.0308347674433117e-08,2.9999839685576328e-05,7.862567897443206e-07,9.848532461720322e-09,4.5981521271279303e-10,12.10600099999873
0.021001000000000013,1.193311458939938e-08,2.999982326281081e-05,7.862560541445628e-07,1.1400824984957687e-08,5.322896044416908e-10,12.10600099999873
0.022001000000000014,1.3720220948746034e-08,2.9999806038978383e-05,7.862552826641604e-07,1.3108215668122142e-08,6.120052806238903e-10,12.10600099999873
0.023001000000000014,1.5677396776583125e-08,2.9999788014079555e-05,7.862544753031816e-07,1.497808973760617e-08,6.993070389769546e-10,12.10600099999873
0.024001000000000015,1.7812372088994606e-08,2.9999769188114876e-05,7.862536320616983e-07,1.701783241302246e-08,7.945396759721439e-10,12.10600099999873
0.025001000000000016,2.013287689367352e-08,2.999974956108493e-05,7.862527529397864e-07,1.9234828906895748e-08,8.980479867777699e-10,12.10600099999873
0.026001000000000017,2.264664118955721e-08,2.9999729132990335e-05,7.862518379375251e-07,2.1636464424354664e-08,1.0101767652025483e-09,12.10600099999873
0.027001000000000018,2.536139496646253e-08,2.9999707903831744e-05,7.862508870549975e-07,2.4230124162823578e-08,1.1312708036389534e-09,12.10600099999873
0.02800100000000002,2.828486820472102e-08,2.9999685873609842e-05,7.862499002922899e-07,2.7023193311714453e-08,1.261674893006571e-09,12.10600099999873
0.02900100000000002,3.142479087481414e-08,2.999966304232534e-05,7.862488776494925e-07,3.0023057052118684e-08,1.4017338226954532e-09,12.10600099999873
