r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0003,2.9999999999999997e-06,0.0,0.0,10.360000999999698
0.001001,3.279031906455905e-12,0.00029999999387430643,2.9999998037189983e-06,3.150306705517262e-12,1.287252009386446e-13,10.360000999999698
0.002001,2.619296553075904e-11,0.000299999977367213,2.9999992747946187e-06,2.5164706368120313e-11,1.0282591626387202e-12,10.360000999999698
0.003001,8.835708559257635e-11,0.00029999994992070336,2.9999983953468497e-06,8.488844531009479e-11,3.4686402824815536e-12,10.360000999999698
0.004001,2.0938667338352105e-10,0.00029999991151038053,2.9999971645941017e-06,2.0116676707585281e-10,8.219906307668248e-12,10.360000999999698
0.005001,4.0889700505581076e-10,0.0002999998621320289,2.9999955824015033e-06,3.9284491104517193e-10,1.6052094010638847e-11,10.360000999999698
0.006001,7.065033499097784e-10,0.00029999980178446094,2.9999936487312638e-06,6.787681110455044e-10,2.7735238864273986e-11,10.360000999999698
0.007001,1.1218209686813425e-09,0.0002999997304672415,2.9999913635697624e-06,1.0777815939642536e-09,4.403937471708893e-11,10.360000999999698
0.008001000000000001,1.6744651118294744e-09,0.00029999964818018337,2.999988726911378e-06,1.6087305783610473e-09,6.573453346842695e-11,10.360000999999698
0.009001000000000002,2.3840510178236637e-09,0.00029999955492319747,2.999985738753694e-06,2.290460273080011e-09,9.359074474365282e-11,10.360000999999698
0.010001000000000003,3.2701939114313886e-09,0.0002999994506962393,2.9999823990957802e-06,3.141815875862042e-09,1.2837803556934677e-10,10.360000999999698
0.011001000000000004,4.352509002005585e-09,0.0002999993354992868,2.999978707937482e-06,4.181642571957086e-09,1.7086643004849912e-10,10.360000999999698
0.012001000000000005,5.650611481772123e-09,0.00029999920933233013,2.999974665279098e-06,5.428785532736417e-09,2.2182594903570557e-10,10.360000999999698
0.013001000000000006,7.18411652411728e-09,0.0002999990721953669,2.999970271121221e-06,6.902089914304917e-09,2.8202660981236323e-10,10.360000999999698
0.014001000000000006,8.972639281875228e-09,0.00029999892408839933,2.9999655254646508e-06,8.62040085611336e-09,3.522384257618676e-10,10.360000999999698
0.015001000000000007,1.103579488561551e-08,0.0002999987650114329,2.999960428310349e-06,1.0602563479570699e-08,4.3323140604481035e-10,10.360000999999698
0.01600100000000001,1.339319844193054e-08,0.00029999859496447536,2.999954979659411e-06,1.286742288665636e-08,5.257755552741785e-10,10.360000999999698
