r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0001,5e-06,0.0,0.0,9.88900099999996
0.001001,2.488732557642395e-12,9.999999794426393e-05,4.999999777539648e-06,2.2236440932226374e-12,2.6508846441975736e-13,9.88900099999996
0.002001,1.9880040273837535e-11,9.99999926248588e-05,4.99999920190316e-06,1.77625089260515e-11,2.117531347786034e-12,9.88900099999996
0.003001,6.706160972789227e-11,9.999998378792346e-05,4.999998245619152e-06,5.991851286333156e-11,7.143096864560707e-12,9.88900099999996
0.004001,1.58921125711715e-10,9.999997142235826e-05,4.999996907486594e-06,1.4199357335605902e-10,1.6927552355655968e-11,9.88900099999996
0.005001,3.103462703379097e-10,9.999995552624462e-05,4.999995187298017e-06,2.772896064853738e-10,3.3056663852535947e-11,9.88900099999996
0.006001,5.362247221470246e-10,9.999993609904126e-05,4.99999308499504e-06,4.791085265061196e-10,5.711619564090511e-11,9.88900099999996
0.007001,8.514441552147703e-10,9.999991314054899e-05,4.9999906005563475e-06,7.607522453903884e-10,9.069190982438195e-11,9.88900099999996
0.008001000000000001,1.2708922382592344e-09,9.999988665068114e-05,4.99998773397284e-06,1.1355226723710635e-09,1.3536956588817086e-10,9.88900099999996
0.009001000000000002,1.8094566337480953e-09,9.999985662939551e-05,4.999984485240276e-06,1.6167217134853616e-09,1.9273492026273382e-10,9.88900099999996
0.010001000000000003,2.482024997005837e-09,9.999982307666993e-05,4.999980854356623e-06,2.2176512711183744e-09,2.6437372588746247e-10,9.88900099999996
0.011001000000000004,3.3034849753209632e-09,9.99997859924922e-05,4.99997684132097e-06,2.951613243546613e-09,3.5187173177435044e-10,9.88900099999996
0.012001000000000005,4.2887242070532146e-09,9.99997453768555e-05,4.999972446133034e-06,3.8319095244815485e-09,4.5681468257166643e-10,9.88900099999996
0.013001000000000006,5.452630320740786e-09,9.99997012297561e-05,4.999967668792909e-06,4.8718420026131585e-09,5.807883181276279e-10,9.88900099999996
0.014001000000000006,6.810090934207543e-09,9.99996535511922e-05,4.99996250930094e-06,6.084712561153468e-09,7.253783730540753e-10,9.88900099999996
0.015001000000000007,8.375993653670244e-09,9.999960234116324e-05,4.999956967657647e-06,7.483823077380097e-09,8.921705762901474e-10,9.88900099999996
0.01600100000000001,1.0165226072845758e-08,9.999954759966947e-05,4.999951043863687e-06,9.082475422179802e-09,1.082750650665957e-09,9.88900099999996
0.01700100000000001,1.219267577205829e-08,9.999948932671176e-05,4.999944737919823e-06,1.0893971459592023e-08,1.2987043124662676e-09,9.88900099999996
0.01800100000000001,1.4473230317346605e-08,9.999942752229144e-05,4.9999380498269104e-06,1.2931613046352432e-08,1.5416172709941722e-09,9.88900099999996
0.01900100000000001,1.7021777259571252e-08,9.99993621864102e-05,4.9999309795858885e-06,1.520870203143648e-08,1.8130752281347712e-09,9.88900099999996
0.020001000000000012,1.9853204133521792e-08,9.999929331907e-05,4.999923527197769e-06,1.773854025560294e-08,2.114663877918852e-09,9.88900099999996
0.021001000000000013,2.2982398457024026e-08,9.999922092027307e-05,4.999915692663635e-06,2.0534429550937455e-08,2.4479689060865722e-09,9.88900099999996
0.022001000000000014,2.6424247730047237e-08,9.999914499002184e-05,4.999907475984636e-06,2.3609671740396097e-08,2.8145759896511388e-09,9.88900099999996
0.023001000000000014,3.0193639433811404e-08,9.999906552831894e-05,4.999898877161987e-06,2.697756863734891e-08,3.216070796462495e-09,9.88900099999996
0.024001000000000015,3.430546102989446e-08,9.999898253516721e-05,4.999889896196964e-06,3.0651422045123453e-08,3.654038984771003e-09,9.88900099999996
0.025001000000000016,3.877459995933951e-08,9.999889601056963e-05,4.999880533090907e-06,3.464453375654838e-08,4.1300662027911316e-09,9.88900099999996
0.026001000000000017,4.361594364176209e-08,9.999880595452935e-05,4.999870787845214e-06,3.897020555349695e-08,4.645738088265143e-09,9.88900099999996
0.027001000000000018,4.88443794744574e-08,9.999871236704968e-05,4.999860660461345e-06,4.364173920643062e-08,5.202640268026783e-09,9.88900099999996
0.02800100000000002,5.447479483150755e-08,9.999861524813407e-05,4.99985015094082e-06,4.867243647394258e-08,5.802358357564973e-09,9.88900099999996
0.02900100000000002,6.052207706288881e-08,9.999851459778614e-05,4.9998392592852165e-06,5.407559910230132e-08,6.446477960587501e-09,9.88900099999996
0.03000100000000002,6.700111349357889e-08,9.999841041600964e-05,4.999827985496173e-06,5.986452882499418e-08,7.136584668584717e-09,9.88900099999996
