r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,3e-06,0.0,0.0,0.0,15.942000999996605
0.001001,8.329118618054812e-13,2.9999998400980863e-06,0.0,8.329118618054812e-13,0.0,15.942000999996605
0.002001,6.653314667456322e-12,2.999999450895142e-06,0.0,6.653314667456322e-12,0.0,15.942000999996605
0.003001,2.2443715134905902e-11,2.999998805219755e-06,0.0,2.2443715134905902e-11,0.0,15.942000999996605
0.004001,5.318661653525446e-11,2.99999790188404e-06,0.0,5.318661653525446e-11,0.0,15.942000999996605
0.005001,1.0386451697399022e-10,2.999996740682838e-06,0.0,1.0386451697399022e-10,0.0,15.942000999996605
0.006001,1.794599076698443e-10,2.999995321558462e-06,0.0,1.794599076698443e-10,0.0,15.942000999996605
0.007001,2.8495527123356404e-10,2.9999936444898966e-06,0.0,2.8495527123356404e-10,0.0,15.942000999996605
0.008001000000000001,4.253330799466792e-10,2.9999917094682254e-06,0.0,4.253330799466792e-10,0.0,15.942000999996605
0.009001000000000002,6.055757940402726e-10,2.999989516489345e-06,0.0,6.055757940402726e-10,0.0,15.942000999996605
0.010001000000000003,8.306658599737572e-10,2.999987065551352e-06,0.0,8.306658599737572e-10,0.0,15.942000999996605
0.011001000000000004,1.105585708713663e-09,2.9999843566534652e-06,0.0,1.105585708713663e-09,0.0,15.942000999996605
0.012001000000000005,1.4353177540124334e-09,2.999981389795535e-06,0.0,1.4353177540124334e-09,0.0,15.942000999996605
0.013001000000000006,1.8248443906872334e-09,2.9999781649777984e-06,0.0,1.8248443906872334e-09,0.0,15.942000999996605
0.014001000000000006,2.279147992898771e-09,2.999974682200753e-06,0.0,2.279147992898771e-09,0.0,15.942000999996605
0.015001000000000007,2.8032109124301326e-09,2.9999709414650834e-06,0.0,2.8032109124301326e-09,0.0,15.942000999996605
0.01600100000000001,3.402015476965631e-09,2.999966942771619e-06,0.0,3.402015476965631e-09,0.0,15.942000999996605
0.01700100000000001,4.080543988369673e-09,2.9999626861213087e-06,0.0,4.080543988369673e-09,0.0,15.942000999996605
0.01800100000000001,4.843778720965644e-09,2.9999581715152066e-06,0.0,4.843778720965644e-09,0.0,15.942000999996605
0.01900100000000001,5.696701919814808e-09,2.9999533989544585e-06,0.0,5.696701919814808e-09,0.0,15.942000999996605
0.020001000000000012,6.64429579899523e-09,2.9999483684402983e-06,0.0,6.64429579899523e-09,0.0,15.942000999996605
