r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,4e-05,0.0,0.0,0.0,9.67200100000008
0.001001,1.908314974343777e-12,3.999999894812921e-05,0.0,1.908314974343777e-12,0.0,9.67200100000008
0.002001,1.5243654247653526e-11,3.999999630233291e-05,0.0,1.5243654247653526e-11,0.0,9.67200100000008
0.003001,5.142162599476373e-11,3.9999991909732276e-05,0.0,5.142162599476373e-11,0.0,9.67200100000008
0.004001,1.218578373567839e-10,3.99999857636429e-05,0.0,1.218578373567839e-10,0.0,9.67200100000008
0.005001,2.379678939254379e-10,3.9999977862909327e-05,0.0,2.379678939254379e-10,0.0,9.67200100000008
0.006001,4.1116739922681064e-10,3.9999968207205505e-05,0.0,4.1116739922681064e-10,0.0,9.67200100000008
0.007001,6.528719542050737e-10,3.999995679641139e-05,0.0,6.528719542050737e-10,0.0,9.67200100000008
0.008001000000000001,9.74497156706208e-10,3.999994363047467e-05,0.0,9.74497156706208e-10,0.0,9.67200100000008
0.009001000000000002,1.3874586009617257e-09,3.9999928709369805e-05,0.0,1.3874586009617257e-09,0.0,9.67200100000008
0.010001000000000003,1.9031718770723926e-09,3.999991203308329e-05,0.0,1.9031718770723926e-09,0.0,9.67200100000008
0.011001000000000004,2.5330525704919505e-09,3.999989360160761e-05,0.0,2.5330525704919505e-09,0.0,9.67200100000008
0.012001000000000005,3.2885162615108404e-09,3.999987341493848e-05,0.0,3.2885162615108404e-09,0.0,9.67200100000008
0.013001000000000006,4.180978524739925e-09,3.999985147307346e-05,0.0,4.180978524739925e-09,0.0,9.67200100000008
0.014001000000000006,5.221854928594215e-09,3.999982777601125e-05,0.0,5.221854928594215e-09,0.0,9.67200100000008
0.015001000000000007,6.422561034776589e-09,3.999980232375127e-05,0.0,6.422561034776589e-09,0.0,9.67200100000008
0.01600100000000001,7.794512397761525e-09,3.999977511629342e-05,0.0,7.794512397761525e-09,0.0,9.67200100000008
0.01700100000000001,9.349124564278817e-09,3.9999746153637955e-05,0.0,9.349124564278817e-09,0.0,9.67200100000008
0.01800100000000001,1.1097813072797311e-08,3.999971543578539e-05,0.0,1.1097813072797311e-08,0.0,9.67200100000008
0.01900100000000001,1.3051993453008627e-08,3.999968296273643e-05,0.0,1.3051993453008627e-08,0.0,9.67200100000008
0.020001000000000012,1.5223081225310886e-08,3.9999648734491935e-05,0.0,1.5223081225310886e-08,0.0,9.67200100000008
0.021001000000000013,1.7622491900292438e-08,3.9999612751052915e-05,0.0,1.7622491900292438e-08,0.0,9.67200100000008
