r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0001,0.0001,0.0,0.0,9.698001000000065
0.001001,2.7575416821236066e-11,9.999998285790473e-05,9.999983289659093e-05,2.223644029267225e-12,2.535177279196884e-11,9.698001000000065
0.002001,2.2027269607368208e-10,9.999994080293255e-05,9.999942293986048e-05,1.7762507935681666e-11,2.0251018813800041e-10,9.698001000000065
0.003001,7.430472589388662e-10,9.999987102237055e-05,9.999874271299966e-05,5.99185060822296e-11,6.831287528566365e-10,9.698001000000065
0.004001,1.7608515481247289e-09,9.999977339341253e-05,9.999779102207027e-05,1.4199354561577369e-10,1.618858002508955e-09,9.698001000000065
0.005001,3.4386335425588843e-09,9.999964789505046e-05,9.999656766675412e-05,2.7728952286848066e-10,3.161344019690403e-09,9.698001000000065
0.006001,5.941335270149129e-09,9.999949452160833e-05,9.999507259746835e-05,4.791083197545273e-10,5.4622269503946015e-09,9.698001000000065
0.007001,9.433891320532703e-09,9.999931327127204e-05,9.999330580355312e-05,7.607518001667279e-10,8.673139520365973e-09,9.698001000000065
0.008001000000000001,1.4081227357890361e-08,9.999910414354568e-05,9.99912672884747e-05,1.1355218063732537e-09,1.2945705551517106e-08,9.698001000000065
0.009001000000000002,2.0048258633848285e-08,9.999886713849732e-05,9.99889570624739e-05,1.6167201554144884e-09,1.8431538478433793e-08,9.698001000000065
0.010001000000000003,2.749988850048459e-08,9.999860225648837e-05,9.998637513992718e-05,2.217648635500045e-09,2.528223986498454e-08,9.698001000000065
0.011001000000000004,3.6601006923455965e-08,9.999830949806216e-05,9.998352153826031e-05,2.9516090024059735e-09,3.364939792104999e-08,9.698001000000065
0.012001000000000005,4.7516488995259686e-08,9.9997988863893e-05,9.998039627745223e-05,3.831902975872177e-09,4.368458601938751e-08,9.698001000000065
0.013001000000000006,6.041119344864604e-08,9.999764035476108e-05,9.997699937978928e-05,4.871832236000063e-09,5.553936121264598e-08,9.698001000000065
