r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0005,5e-09,0.0,0.0,10.252000999999758
0.001001,3.736225804820427e-12,0.000499999988766646,4.999997928162929e-09,3.7351704688342656e-12,1.0553359861615474e-15,10.252000999999758
0.002001,2.98450385733012e-11,0.0004999999578937324,4.999992234082643e-09,2.983660853357141e-11,8.430039729789099e-15,10.252000999999758
0.003001,1.0067667314581577e-10,0.0004999999065400014,4.999982762608181e-09,1.0064823599708821e-10,2.843714872756726e-14,10.252000999999758
0.004001,2.3858136058606256e-10,0.0004999998346686739,4.999969506968579e-09,2.3851397092003095e-10,6.738966603161719e-14,10.252000999999758
0.005001,4.659093262952946e-10,0.0004999997422733973,4.999952466009495e-09,4.65777725752244e-10,1.316005430506705e-13,10.252000999999758
0.006001,8.050107881255313e-10,0.0004999996293523841,4.99993163942361e-09,8.047834054631893e-10,2.273826623420109e-13,10.252000999999758
0.007001,1.278235954492735e-09,0.0004999994959049822,4.999907027117919e-09,1.2778749056723319e-09,3.610488204031646e-13,10.252000999999758
0.008001000000000001,1.9079350224899845e-09,0.0004999993419309139,4.999878629073416e-09,1.9073961107795215e-09,5.389117104636481e-13,10.252000999999758
0.009001000000000002,2.716458176000651e-09,0.0004999991674300501,4.999846445303492e-09,2.7156908920953744e-09,7.672839052768307e-13,10.252000999999758
0.010001000000000003,3.726155583811574e-09,0.0004999989724023295,4.9998104758390015e-09,3.7251031059716617e-09,1.0524778399119423e-12,10.252000999999758
0.011001000000000004,4.959377397726242e-09,0.0004999987568477256,4.999770720722121e-09,4.9579765919316965e-09,1.4008057945462493e-12,10.252000999999758
0.012001000000000005,6.438473750677983e-09,0.0004999985207662308,4.9997271800035365e-09,6.436655170800726e-09,1.8185798772574208e-12,10.252000999999758
0.013001000000000006,8.185794754843147e-09,0.0004999982641578493,4.999679853741059e-09,8.183482642836332e-09,2.3121120068161063e-12,10.252000999999758
0.014001000000000006,1.0223690499754304e-08,0.0004999979870225933,4.999628741998886e-09,1.0220802785858826e-08,2.8877138954787473e-12,10.252000999999758
0.015001000000000007,1.2574511050413445e-08,0.0004999976893604802,4.999573844847195e-09,1.2570959353381665e-08,3.5516970317806412e-12,10.252000999999758
0.01600100000000001,1.5260606445405185e-08,0.0004999973711715321,4.9995151623618985e-09,1.5256296072741856e-08,4.310372663329285e-12,10.252000999999758
0.01700100000000001,1.830432669500998e-08,0.0004999970324557739,4.999452694624503e-09,1.829915664323038e-08,5.170051779598009e-12,10.252000999999758
0.01800100000000001,2.1728021779317336e-08,0.000499996673213234,4.999386441722015e-09,2.1721884734222615e-08,6.137045094719936e-12,10.252000999999758
0.01900100000000001,2.555404164633905e-08,0.0004999962934439432,4.999316403746882e-09,2.5546823983308766e-08,7.217663030282278e-12,10.252000999999758
0.020001000000000012,2.980473621012243e-08,0.0004999958931479348,4.999242580796953e-09,2.9796317994424306e-08,8.418215698120986e-12,10.252000999999758
0.021001000000000013,3.450245534886354e-08,0.0004999954723252441,4.999164972975452e-09,3.4492710335980426e-08,9.74501288311579e-12,10.252000999999758
0.022001000000000014,3.966954890302046e-08,0.0004999950309759088,4.9990835803909614e-09,3.965834453899448e-08,1.1204364025985643e-11,10.252000999999758
0.023001000000000014,4.5328366673426535e-08,0.0004999945690999688,4.998998403157405e-09,4.531556409522046e-08,1.2802578206084577e-11,10.252000999999758
0.024001000000000015,5.150125841940365e-08,0.0004999940866974657,4.998909441394041e-09,5.148671245527946e-08,1.454596412419802e-11,10.252000999999758
0.025001000000000016,5.8210573856875494e-08,0.0004999935837684435,4.998816695225456e-09,5.819413302679017e-08,1.6440830085339566e-11,10.252000999999758
0.026001000000000017,6.547866265648087e-08,0.0004999930603129479,4.998720164781555e-09,6.546016917249934e-08,1.8493483981548244e-11,10.252000999999758
0.027001000000000018,7.3327874441687e-08,0.0004999925163310266,4.998619850197565e-09,7.330716420841233e-08,2.0710233274686287e-11,10.252000999999758
0.02800100000000002,8.17805587869028e-08,0.0004999919518227294,4.998515751614024e-09,8.175746140192358e-08,2.3097384979237436e-11,10.252000999999758
0.02900100000000002,9.085906521559223e-08,0.0004999913667881079,4.998407869176786e-09,9.083340396994714e-08,2.566124564510579e-11,10.252000999999758
0.03000100000000002,1.0058574319838763e-07,0.0004999907612272157,4.998296203037013e-09,1.0055733507704723e-07,2.8408121340415237e-11,10.252000999999758
0.03100100000000002,1.1098294215120307e-07,0.000499990135140108,4.998180753351178e-09,1.1095159783356877e-07,3.134431763430948e-11,10.252000999999758
0.03200100000000002,1.220730114333477e-07,0.0004999894885268425,4.9980615202810625e-09,1.2203853529376795e-07,3.447613957975265e-11,10.252000999999758
0.03300100000000002,1.3387830034563908e-07,0.0004999888213874784,4.9979385039937535e-09,1.3384049045394276e-07,3.78098916963306e-11,10.252000999999758
0.034001000000000024,1.4642115812851668e-07,0.0004999881337220767,4.997811704661645e-09,1.4637980625056365e-07,4.135187795305283e-11,10.252000999999758
0.035001000000000025,1.5972393396015523e-07,0.0004999874255307008,4.9976811224624365e-09,1.5967882555840407e-07,4.510840175115508e-11,10.252000999999758
0.036001000000000026,1.7380897695457806e-07,0.0004999866968134155,4.997546757579134e-09,1.7375989118867115e-07,4.9085765906902664e-11,10.252000999999758
0.03700100000000003,1.8869863615977063e-07,0.0004999859475702876,4.9974086102000464e-09,1.886453458871362e-07,5.329027263439446e-11,10.252000999999758
0.03800100000000003,2.0441526055579394e-07,0.0004999851778013861,4.997266680518787e-09,2.0435753233226557e-07,5.772822352836771e-11,10.252000999999758
0.03900100000000003,2.2098119905289802e-07,0.0004999843875067815,4.997120968734273e-09,2.2091879313335103e-07,6.240591954700354e-11,10.252000999999758
0.04000100000000003,2.384188004896354e-07,0.0004999835766865465,4.996971475050726e-09,2.3835147082864068e-07,6.732966099473328e-11,10.252000999999758
0.04100100000000003,2.5675041363097457e-07,0.0004999827453407553,4.996818199677667e-09,2.566779078834696e-07,7.250574750504562e-11,10.252000999999758
0.04200100000000003,2.7599838716641355e-07,0.0004999818934694845,4.9966611428299235e-09,2.759204466883903e-07,7.794047802329447e-11,10.252000999999758
0.04300100000000003,2.961850697080934e-07,0.0004999810210728122,4.996500304727624e-09,2.9610142955730396e-07,8.364015078950789e-11,10.252000999999758
0.04400100000000003,3.173328097889118e-07,0.0004999801281508184,4.996335685596198e-09,3.1724319872559066e-07,8.961106332119764e-11,10.252000999999758
0.045001000000000034,3.3946395586063656e-07,0.0004999792147035854,4.996167285666379e-09,3.3936809634824047e-07,9.585951239616981e-11,10.252000999999758
0.046001000000000035,3.626008562920193e-07,0.000499978280731197,4.995995105174199e-09,3.62498464497984e-07,1.0239179403533627e-10,10.252000999999758
0.047001000000000036,3.867658593669089e-07,0.0004999773262337388,4.995819144360993e-09,3.8665664516342347e-07,1.0921420348552707e-10,10.252000999999758
0.04800100000000004,4.119813132823654e-07,0.0004999763512112986,4.9956394034733965e-09,4.1186498024716315e-07,1.1633303520230381e-10,10.252000999999758
0.04900100000000004,4.382695661467733e-07,0.000499975355663966,4.995455882763345e-09,4.3814581156394065e-07,1.2375458283277396e-10,10.252000999999758
0.05000100000000004,4.6565296597795565e-07,0.0004999743395918323,4.995268582488076e-09,4.6552148083875735e-07,1.3148513919840622e-10,10.252000999999758
0.05100100000000004,4.941538607012874e-07,0.000499973302994991,4.995077502910125e-09,4.940143297050096e-07,1.395309962778468e-10,10.252000999999758
0.05200100000000004,5.237945981478091e-07,0.0004999722458735371,4.994882644297328e-09,5.236466997026195e-07,1.4789844518973693e-10,10.252000999999758
0.05300100000000004,5.545975260523411e-07,0.0004999711682275679,4.994684006922822e-09,5.544409322761657e-07,1.565937761755312e-10,10.252000999999758
0.05400100000000004,5.865849920515968e-07,0.0004999700700571824,4.994481591065041e-09,5.864193687730146e-07,1.6562327858231712e-10,10.252000999999758
0.05500100000000004,6.197793436822966e-07,0.0004999689513624812,4.99427539700772e-09,6.19604350441451e-07,1.7499324084563578e-10,10.252000999999758
0.056001000000000044,6.542029283792817e-07,0.0004999678121435675,4.99406542503989e-09,6.540182184288094e-07,1.847099504723036e-10,10.252000999999758
0.057001000000000045,6.898780934736281e-07,0.0004999666524005456,4.993851675455883e-09,6.896833137796049e-07,1.947796940232352e-10,10.252000999999758
0.058001000000000046,7.268271861907602e-07,0.0004999654721335222,4.993634148555327e-09,7.26621977433664e-07,2.0520875709626752e-10,10.252000999999758
0.059001000000000046,7.650725536485649e-07,0.0004999642713426056,4.993412844643151e-09,7.64856550224256e-07,2.1600342430898504e-10,10.252000999999758
0.06000100000000005,8.046365428555055e-07,0.0004999630500279062,4.993187764029577e-09,8.04409372876224e-07,2.2716997928154625e-10,10.252000999999758
0.06100100000000005,8.455415007087354e-07,0.0004999618081895361,4.992958907030128e-09,8.45302786004116e-07,2.387147046195114e-10,10.252000999999758
