r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,3e-05,1.1589142891784593e-06,0.0,0.0,13.599000999997903
0.001001,1.062320082465691e-12,2.9999999663438266e-05,1.1589142657626763e-06,9.895719872943644e-13,7.274809517132658e-14,13.599000999997903
0.002001,8.485831892672803e-12,2.9999998806325904e-05,1.1589142061303574e-06,7.904718809016784e-12,5.811130836560196e-13,13.599000999997903
0.003001,2.8625372145809924e-11,2.9999997382937072e-05,1.1589141071001977e-06,2.6665095522174308e-11,1.9602766236356188e-12,13.599000999997903
0.004001,6.783577720486581e-11,2.9999995391272457e-05,1.158913968533103e-06,6.319035693868096e-11,4.645420266184858e-12,13.599000999997903
0.005001,1.3247188290491418e-10,2.9999992830986432e-05,1.1589137904050332e-06,1.2340015750307896e-10,9.071725401835258e-12,13.599000999997903
0.006001,2.2888852437721222e-10,2.999998970198144e-05,1.1589135727092096e-06,2.1321415117013022e-10,1.5674373207082043e-11,13.599000999997903
0.007001,3.634405358732921e-10,2.9999986004221527e-05,1.1589133154431415e-06,3.3855199128240313e-10,2.4888544590889023e-11,13.599000999997903
0.008001000000000001,5.424827505890521e-10,2.9999981737690998e-05,1.1589130186057493e-06,5.053333304478588e-10,3.7149420141193194e-11,13.599000999997903
0.009001000000000002,7.723700004888468e-10,2.999997690238215e-05,1.1589126821965113e-06,7.194778204174374e-10,5.28921800714093e-11,13.599000999997903
0.010001000000000003,1.059457116129578e-09,2.9999971498290877e-05,1.1589123062151582e-06,9.869051119626436e-10,7.255200416693437e-11,13.599000999997903
0.011001000000000004,1.4100989264847853e-09,2.9999965525414847e-05,1.1589118906615463e-06,1.3135348547531328e-09,9.656407173165228e-11,13.599000999997903
0.012001000000000005,1.8306502587687367e-09,2.9999958983752694e-05,1.1589114355356004e-06,1.705286697234298e-09,1.253635615344384e-10,13.599000999997903
0.013001000000000006,2.3274659382605195e-09,2.9999951873303596e-05,1.1589109408372852e-06,2.168080286504855e-09,1.5938565175566414e-10,13.599000999997903
0.014001000000000006,2.906900788128131e-09,2.9999944194067057e-05,1.1589104065665904e-06,2.707835268194429e-09,1.9906551993370172e-10,13.599000999997903
0.015001000000000007,3.5753096292525703e-09,2.999993594604279e-05,1.1589098327235221e-06,3.3304712863411412e-09,2.4483834291142885e-10,13.599000999997903
0.01600100000000001,4.339047280051928e-09,2.9999927129230652e-05,1.1589092193080978e-06,4.041907983269194e-09,2.971392967827334e-10,13.599000999997903
0.01700100000000001,5.204468556305478e-09,2.999991774363059e-05,1.1589085663203436e-06,4.848064999466459e-09,3.5640355683901833e-10,13.599000999997903
0.01800100000000001,6.1779282709777704e-09,2.9999907789242623e-05,1.1589078737602922e-06,5.754861973462064e-09,4.230662975157065e-10,13.599000999997903
0.01900100000000001,7.265781234042722e-09,2.9999897266066814e-05,1.158907141627982e-06,6.768218541703976e-09,4.975626923387456e-10,13.599000999997903
0.020001000000000012,8.474382252307705e-09,2.999988617410327e-05,1.1589063699234558e-06,7.894054338436592e-09,5.80327913871113e-10,13.599000999997903
0.021001000000000013,9.810086129237646e-09,2.999987451335213e-05,1.1589055586467606e-06,9.138288995578324e-09,6.717971336593211e-10,13.599000999997903
0.022001000000000014,1.1279247664779109e-08,2.9999862283813558e-05,1.158904707797947e-06,1.0506842142599186e-08,7.72405522179922e-10,13.599000999997903
0.023001000000000014,1.2888221655184396e-08,2.999984948548774e-05,1.1589038173770692e-06,1.2005633406398383e-08,8.825882487860132e-10,13.599000999997903
0.024001000000000015,1.4643362892835634e-08,2.999983611837488e-05,1.1589028873841845e-06,1.3640582411181892e-08,1.002780481653742e-09,13.599000999997903
0.025001000000000016,1.655102616606887e-08,2.99998221824752e-05,1.1589019178193535e-06,1.5417608778340058e-08,1.1334173877288122e-09,13.599000999997903
0.026001000000000017,1.8617566258998167e-08,2.9999807677788944e-05,1.1589009086826399e-06,1.7342632126325177e-08,1.2749341326729877e-09,13.599000999997903
0.027001000000000018,2.0849337951339683e-08,2.999979260431636e-05,1.15889985997411e-06,1.942157207052908e-08,1.4277658808105997e-09,13.599000999997903
0.02800100000000002,2.325269601823578e-08,2.9999776962057712e-05,1.158898771693833e-06,2.1660348223160728e-08,1.5923477950750513e-09,13.599000999997903
0.02900100000000002,2.583399523007912e-08,2.9999760751013283e-05,1.1588976438418814e-06,2.4064880193123795e-08,1.7691150369553235e-09,13.599000999997903
0.03000100000000002,2.8599590352336738e-08,2.9999743971183367e-05,1.1588964764183298e-06,2.6641087585894256e-08,1.9585027664424806e-09,13.599000999997903
0.03100100000000002,3.1555836145374156e-08,2.999972662256827e-05,1.1588952694232564e-06,2.939489000339798e-08,2.1609461419761765e-09,13.599000999997903
0.03200100000000002,3.470908736427947e-08,2.9999708705168304e-05,1.1588940228567414e-06,3.233220704388831e-08,2.3768803203911604e-09,13.599000999997903
0.03300100000000002,3.8065698758687445e-08,2.99996902189838e-05,1.1588927367188681e-06,3.545895830182366e-08,2.606740456863783e-09,13.599000999997903
0.034001000000000024,4.1632025072603604e-08,2.9999671164015097e-05,1.1588914110097226e-06,3.8781063367745097e-08,2.8509617048585036e-09,13.599000999997903
0.035001000000000025,4.541442104422833e-08,2.999965154026255e-05,1.1588900457293934e-06,4.230444182815394e-08,3.1099792160743934e-09,13.599000999997903
0.036001000000000026,4.9419241405780975e-08,2.9999631347726518e-05,1.1588886408779722e-06,4.603501326538933e-08,3.384228140391645e-09,13.599000999997903
