r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,3e-05,0.0,0.0,0.0,13.852000999997763
0.001001,9.895719874328456e-13,2.9999999684079754e-05,0.0,9.895719874328456e-13,0.0,13.852000999997763
0.002001,7.904718811285761e-12,2.9999998878453216e-05,0.0,7.904718811285761e-12,0.0,13.852000999997763
0.003001,2.6665095537892054e-11,2.9999997540525865e-05,0.0,2.6665095537892054e-11,0.0,13.852000999997763
0.004001,6.319035700320756e-11,2.9999995668435295e-05,0.0,6.319035700320756e-11,0.0,13.852000999997763
0.005001,1.2340015769787185e-10,2.999999326185955e-05,0.0,1.2340015769787185e-10,0.0,13.852000999997763
0.006001,2.1321415165214855e-10,2.999999032070774e-05,0.0,2.1321415165214855e-10,0.0,13.852000999997763
0.007001,3.3855199232086134e-10,2.9999986844946376e-05,0.0,3.3855199232086134e-10,0.0,13.852000999997763
0.008001000000000001,5.053333324683295e-10,2.9999982834560822e-05,0.0,5.053333324683295e-10,0.0,13.852000999997763
0.009001000000000002,7.194778240533028e-10,2.9999978289543895e-05,0.0,7.194778240533028e-10,0.0,13.852000999997763
0.010001000000000003,9.869051181138971e-10,2.9999973209891756e-05,0.0,9.869051181138971e-10,0.0,13.852000999997763
0.011001000000000004,1.3135348646525297e-09,2.999996759560223e-05,0.0,1.3135348646525297e-09,0.0,13.852000999997763
0.012001000000000005,1.7052867125208543e-09,2.9999961446674023e-05,0.0,1.7052867125208543e-09,0.0,13.852000999997763
0.013001000000000006,2.168080309304696e-09,2.9999954763106356e-05,0.0,2.168080309304696e-09,0.0,13.852000999997763
0.014001000000000006,2.7078353012089883e-09,2.9999947544898754e-05,0.0,2.7078353012089883e-09,0.0,13.852000999997763
0.015001000000000007,3.330471332942706e-09,2.9999939792050935e-05,0.0,3.330471332942706e-09,0.0,13.852000999997763
0.01600100000000001,4.041908047603804e-09,2.9999931504562743e-05,0.0,4.041908047603804e-09,0.0,13.852000999997763
0.01700100000000001,4.848065086564149e-09,2.9999922682434107e-05,0.0,4.848065086564149e-09,0.0,13.852000999997763
0.01800100000000001,5.7548620893544585e-09,2.9999913325665028e-05,0.0,5.7548620893544585e-09,0.0,13.852000999997763
0.01900100000000001,6.7682186935492345e-09,2.9999903434255542e-05,0.0,6.7682186935492345e-09,0.0,13.852000999997763
0.020001000000000012,7.894054534651701e-09,2.9999893008205728e-05,0.0,7.894054534651701e-09,0.0,13.852000999997763
0.021001000000000013,9.138289245978737e-09,2.9999882047515687e-05,0.0,9.138289245978737e-09,0.0,13.852000999997763
0.022001000000000014,1.0506842458545816e-08,2.9999870552185547e-05,0.0,1.0506842458545816e-08,0.0,13.852000999997763
0.023001000000000014,1.200563380095194e-08,2.9999858522215452e-05,0.0,1.200563380095194e-08,0.0,13.852000999997763
0.024001000000000015,1.3640582899264577e-08,2.9999845957605567e-05,0.0,1.3640582899264577e-08,0.0,13.852000999997763
0.025001000000000016,1.5417609376904595e-08,2.9999832858356068e-05,0.0,1.5417609376904595e-08,0.0,13.852000999997763
0.026001000000000017,1.7342632854531198e-08,2.999981922446715e-05,0.0,1.7342632854531198e-08,0.0,13.852000999997763
0.027001000000000018,1.9421572949926866e-08,2.9999805055939012e-05,0.0,1.9421572949926866e-08,0.0,13.852000999997763
0.02800100000000002,2.1660349277882293e-08,2.999979035277187e-05,0.0,2.1660349277882293e-08,0.0,13.852000999997763
0.02900100000000002,2.4064881450081315e-08,2.9999775114965954e-05,0.0,2.4064881450081315e-08,0.0,13.852000999997763
0.03000100000000002,2.6641089074985857e-08,2.9999759342521497e-05,0.0,2.6641089074985857e-08,0.0,13.852000999997763
0.03100100000000002,2.939489175772086e-08,2.9999743035438745e-05,0.0,2.939489175772086e-08,0.0,13.852000999997763
0.03200100000000002,3.233220909995923e-08,2.9999726193717958e-05,0.0,3.233220909995923e-08,0.0,13.852000999997763
0.03300100000000002,3.545896069980676e-08,2.99997088173594e-05,0.0,3.545896069980676e-08,0.0,13.852000999997763
0.034001000000000024,3.878106615168709e-08,2.9999690906363346e-05,0.0,3.878106615168709e-08,0.0,13.852000999997763
0.035001000000000025,4.230444504622662e-08,2.9999672460730084e-05,0.0,4.230444504622662e-08,0.0,13.852000999997763
0.036001000000000026,4.6035016970139445e-08,2.999965348045991e-05,0.0,4.6035016970139445e-08,0.0,13.852000999997763
0.03700100000000003,4.997870150611234e-08,2.999963396555312e-05,0.0,4.997870150611234e-08,0.0,13.852000999997763
0.03800100000000003,5.4141418232689634e-08,2.9999613916010037e-05,0.0,5.4141418232689634e-08,0.0,13.852000999997763
0.03900100000000003,5.8529086724158194e-08,2.9999593331830975e-05,0.0,5.8529086724158194e-08,0.0,13.852000999997763
0.04000100000000003,6.314762655043234e-08,2.999957221301627e-05,0.0,6.314762655043234e-08,0.0,13.852000999997763
0.04100100000000003,6.80029572769388e-08,2.9999550559566258e-05,0.0,6.80029572769388e-08,0.0,13.852000999997763
0.04200100000000003,7.310099846450164e-08,2.999952837148129e-05,0.0,7.310099846450164e-08,0.0,13.852000999997763
0.04300100000000003,7.844766966922718e-08,2.9999505648761725e-05,0.0,7.844766966922718e-08,0.0,13.852000999997763
0.04400100000000003,8.4048890442389e-08,2.9999482391407925e-05,0.0,8.4048890442389e-08,0.0,13.852000999997763
0.045001000000000034,8.991058033031278e-08,2.9999458599420268e-05,0.0,8.991058033031278e-08,0.0,13.852000999997763
0.046001000000000035,9.603865887426134e-08,2.9999434272799137e-05,0.0,9.603865887426134e-08,0.0,13.852000999997763
0.047001000000000036,1.0243904561031952e-07,2.9999409411544924e-05,0.0,1.0243904561031952e-07,0.0,13.852000999997763
0.04800100000000004,1.0911766006927912e-07,2.999938401565803e-05,0.0,1.0911766006927912e-07,0.0,13.852000999997763
0.04900100000000004,1.1608042177652388e-07,2.9999358085138867e-05,0.0,1.1608042177652388e-07,0.0,13.852000999997763
0.05000100000000004,1.233332502519144e-07,2.9999331619987854e-05,0.0,1.233332502519144e-07,0.0,13.852000999997763
0.05100100000000004,1.30882065009673e-07,2.9999304620205415e-05,0.0,1.30882065009673e-07,0.0,13.852000999997763
0.05200100000000004,1.3873278555826884e-07,2.9999277085791993e-05,0.0,1.3873278555826884e-07,0.0,13.852000999997763
0.05300100000000004,1.468913314003027e-07,2.9999249016748026e-05,0.0,1.468913314003027e-07,0.0,13.852000999997763
0.05400100000000004,1.55363622032392e-07,2.999922041307397e-05,0.0,1.55363622032392e-07,0.0,13.852000999997763
0.05500100000000004,1.6415557694505568e-07,2.999919127477029e-05,0.0,1.6415557694505568e-07,0.0,13.852000999997763
0.056001000000000044,1.7327311562259922e-07,2.9999161601837454e-05,0.0,1.7327311562259922e-07,0.0,13.852000999997763
0.057001000000000045,1.8272215754299955e-07,2.999913139427594e-05,0.0,1.8272215754299955e-07,0.0,13.852000999997763
0.058001000000000046,1.9250862217778994e-07,2.9999100652086243e-05,0.0,1.9250862217778994e-07,0.0,13.852000999997763
0.059001000000000046,2.0263842899194505e-07,2.9999069375268854e-05,0.0,2.0263842899194505e-07,0.0,13.852000999997763
0.06000100000000005,2.1311749744376577e-07,2.9999037563824283e-05,0.0,2.1311749744376577e-07,0.0,13.852000999997763
0.06100100000000005,2.239517469847642e-07,2.999900521775304e-05,0.0,2.239517469847642e-07,0.0,13.852000999997763
0.06200100000000005,2.3514709705954863e-07,2.9998972337055652e-05,0.0,2.3514709705954863e-07,0.0,13.852000999997763
0.06300100000000004,2.4670946710570843e-07,2.999893892173265e-05,0.0,2.4670946710570843e-07,0.0,13.852000999997763
0.06400100000000004,2.58644776553699e-07,2.9998904971784572e-05,0.0,2.58644776553699e-07,0.0,13.852000999997763
0.06500100000000004,2.7095894482672673e-07,2.9998870487211972e-05,0.0,2.7095894482672673e-07,0.0,13.852000999997763
0.06600100000000005,2.83657891340634e-07,2.9998835468015404e-05,0.0,2.83657891340634e-07,0.0,13.852000999997763
0.06700100000000005,2.9674753550378403e-07,2.9998799914195435e-05,0.0,2.9674753550378403e-07,0.0,13.852000999997763
0.06800100000000005,3.1023379671694584e-07,2.999876382575264e-05,0.0,3.1023379671694584e-07,0.0,13.852000999997763
0.06900100000000005,3.2412259437317927e-07,2.9998727202687603e-05,0.0,3.2412259437317927e-07,0.0,13.852000999997763
0.07000100000000005,3.384198478577198e-07,2.9998690045000916e-05,0.0,3.384198478577198e-07,0.0,13.852000999997763
0.07100100000000005,3.531314765478637e-07,2.9998652352693183e-05,0.0,3.531314765478637e-07,0.0,13.852000999997763
0.07200100000000005,3.682633998128527e-07,2.999861412576501e-05,0.0,3.682633998128527e-07,0.0,13.852000999997763
0.07300100000000005,3.8382153701375917e-07,2.9998575364217014e-05,0.0,3.8382153701375917e-07,0.0,13.852000999997763
0.07400100000000005,3.998118075033709e-07,2.9998536068049827e-05,0.0,3.998118075033709e-07,0.0,13.852000999997763
0.07500100000000005,4.1624013062607627e-07,2.9998496237264083e-05,0.0,4.1624013062607627e-07,0.0,13.852000999997763
0.07600100000000005,4.3311242571774893e-07,2.9998455871860426e-05,0.0,4.3311242571774893e-07,0.0,13.852000999997763
0.07700100000000006,4.504346121056329e-07,2.9998414971839507e-05,0.0,4.504346121056329e-07,0.0,13.852000999997763
0.07800100000000006,4.6821260910822754e-07,2.999837353720199e-05,0.0,4.6821260910822754e-07,0.0,13.852000999997763
0.07900100000000006,4.864523360351724e-07,2.9998331567948546e-05,0.0,4.864523360351724e-07,0.0,13.852000999997763
0.08000100000000006,5.051597121871323e-07,2.9998289064079852e-05,0.0,5.051597121871323e-07,0.0,13.852000999997763
0.08100100000000006,5.24340656855682e-07,2.9998246025596596e-05,0.0,5.24340656855682e-07,0.0,13.852000999997763
0.08200100000000006,5.440010893231916e-07,2.9998202452499477e-05,0.0,5.440010893231916e-07,0.0,13.852000999997763
0.08300100000000006,5.64146928862711e-07,2.9998158344789195e-05,0.0,5.64146928862711e-07,0.0,13.852000999997763
0.08400100000000006,5.847840947378554e-07,2.999811370246647e-05,0.0,5.847840947378554e-07,0.0,13.852000999997763
0.08500100000000006,6.059185062026896e-07,2.9998068525532016e-05,0.0,6.059185062026896e-07,0.0,13.852000999997763
0.08600100000000006,6.275560825016135e-07,2.999802281398657e-05,0.0,6.275560825016135e-07,0.0,13.852000999997763
0.08700100000000006,6.497027428692468e-07,2.999797656783087e-05,0.0,6.497027428692468e-07,0.0,13.852000999997763
0.08800100000000007,6.72364406530314e-07,2.9997929787065666e-05,0.0,6.72364406530314e-07,0.0,13.852000999997763
0.08900100000000007,6.955469926995292e-07,2.9997882471691713e-05,0.0,6.955469926995292e-07,0.0,13.852000999997763
0.09000100000000007,7.192564205814815e-07,2.9997834621709775e-05,0.0,7.192564205814815e-07,0.0,13.852000999997763
0.09100100000000007,7.434986093705194e-07,2.9997786237120627e-05,0.0,7.434986093705194e-07,0.0,13.852000999997763
0.09200100000000007,7.682794782506362e-07,2.9997737317925055e-05,0.0,7.682794782506362e-07,0.0,13.852000999997763
0.09300100000000007,7.936049463953546e-07,2.9997687864123846e-05,0.0,7.936049463953546e-07,0.0,13.852000999997763
0.09400100000000007,8.194809329676118e-07,2.9997637875717803e-05,0.0,8.194809329676118e-07,0.0,13.852000999997763
0.09500100000000007,8.459133571196447e-07,2.9997587352707735e-05,0.0,8.459133571196447e-07,0.0,13.852000999997763
0.09600100000000007,8.729081379928743e-07,2.9997536295094458e-05,0.0,8.729081379928743e-07,0.0,13.852000999997763
0.09700100000000007,9.004711947177912e-07,2.9997484702878797e-05,0.0,9.004711947177912e-07,0.0,13.852000999997763
0.09800100000000007,9.286084464138404e-07,2.9997432576061587e-05,0.0,9.286084464138404e-07,0.0,13.852000999997763
0.09900100000000008,9.57325812189306e-07,2.9997379914643674e-05,0.0,9.57325812189306e-07,0.0,13.852000999997763
