x	y
0.01730013106159895	0
0.03302752293577981	0.0068846815834767644
0.05032765399737876	0.0068846815834767644
0.0692005242463958	0.0068846815834767644
0.08650065530799475	0.0068846815834767644
0.10222804718217561	0.0068846815834767644
0.12110091743119265	0.013769363166953529
0.14154652686762778	0.013769363166953529
0.1604193971166448	0.013769363166953529
0.17771952817824377	0.013769363166953529
0.1950196592398427	0.013769363166953529
0.21546526867627783	0.027538726333907058
0.23433813892529487	0.034423407917383825
0.2516382699868938	0.034423407917383825
0.28309305373525556	0.04130808950086059
0.3129750982961992	0.04819277108433735
0.33656618610747047	0.055077452667814115
0.3585845347313237	0.06196213425129088
0.3916120576671035	0.06884681583476765
0.42306684141546524	0.08261617900172118
0.44351245085190033	0.08261617900172118
0.47653997378768015	0.08950086058519793
0.5017038007863696	0.0963855421686747
0.5221494102228047	0.117039586919105
0.5410222804718217	0.14457831325301204
0.5630406290956749	0.17211703958691912
0.5819134993446919	0.22030981067125646
0.6055045871559632	0.26161790017211706
0.6275229357798164	0.3373493975903615
0.6448230668414154	0.3924268502581756
0.6715596330275229	0.4819277108433735
0.6857142857142856	0.557659208261618
0.7030144167758846	0.6265060240963856
0.7140235910878112	0.6953528399311532
0.728178243774574	0.7641996557659209
0.7423328964613367	0.8330464716006885
0.7549148099606815	0.9156626506024097
0.7643512450851899	0.9982788296041308
0.7800786369593709	10.877.796.901.893.200
0.7910878112712975	11.703.958.691.910.400
0.7989515072083878	1.232.358.003.442.340
0.8052424639580602	13.012.048.192.771.000
0.8131061598951507	13.631.669.535.283.900
0.820969855832241	14.388.984.509.466.400
0.8272608125819134	1.493.975.903.614.450
0.83826998689384	15.903.614.457.831.300
0.8492791612057666	16.729.776.247.848.500
0.8602883355176932	17.349.397.590.361.400
0.876015727391874	18.175.559.380.378.600
0.8901703800786369	18.795.180.722.891.500
0.9027522935779816	1.927.710.843.373.490
0.9106159895150719	19.827.882.960.413.000
0.9231979030144167	2.044.750.430.292.590
0.9326343381389252	2.099.827.882.960.410
0.9452162516382699	21.686.746.987.951.800
0.9577981651376146	2.244.406.196.213.420
0.9750982961992135	23.545.611.015.490.500
0.9908256880733944	2.423.407.917.383.820
1.000.262.123.197.900	24.991.394.148.020.600
10.159.895.150.720.800	25.748.709.122.203.000
10.254.259.501.965.900	26.506.024.096.385.500
10.411.533.420.707.700	27.332.185.886.402.700
10.537.352.555.701.100	28.089.500.860.585.100
10.678.899.082.568.800	29.122.203.098.106.700
10.788.990.825.688.000	2.974.182.444.061.960
10.961.992.136.304.000	31.118.760.757.314.900
1.111.926.605.504.580	3.215.146.299.483.640
11.260.812.581.913.400	33.046.471.600.688.400
11.418.086.500.655.300	34.010.327.022.375.200
1.151.245.085.190.030	3.476.764.199.655.760
11.638.269.986.893.800	3.566.265.060.240.960
11.779.816.513.761.400	3.662.650.602.409.630
11.905.635.648.754.900	3.738.382.099.827.880
11.968.545.216.251.600	3.807.228.915.662.650
